origin,destination,volume
100268,106843,3833.75
100268,106882,48.75
100268,106892,143.75
100268,106932,112123.75
100268,106940,37338.75
100268,106977,29056.25
100268,106987,34311.25
100268,106997,22972.5
100268,110970,5642.5
100268,111036,1735.0
100268,111052,10123.75
100268,111059,10456.25
100268,111069,8693.75
100268,111077,25862.5
100268,111084,11285.0
100268,111164,20046.25
100268,111186,5267.5
100268,111208,13010.0
100268,111217,36697.5
100268,111241,883.75
100268,111243,5317.5
100268,111283,5817.5
100268,111322,922.5
100268,111349,9627.5
100268,111359,8547.5
100268,111366,4312.5
100268,111428,768.75
100268,111442,31246.25
100268,111465,1325.0
100268,111496,920.0
100268,111529,17952.5
100268,111588,3602.5
100268,111603,3265.0
100268,111657,64131.25
100268,111699,3306.25
100268,181083,1970.0
100268,181085,886.25
100268,195727,1261.25
100268,195913,8835.0
100268,195938,55143.75
106843,106882,2740.0
106843,106892,9522.5
106843,106932,493.75
106843,106968,21458.75
106843,106987,31853.75
106843,106997,12315.0
106843,110970,100063.75
106843,111052,20440.0
106843,111059,4315.0
106843,111069,8583.75
106843,111077,9340.0
106843,111084,14680.0
106843,111186,18321.25
106843,111208,12276.25
106843,111241,7105.0
106843,111283,23970.0
106843,111322,4663.75
106843,111359,9252.5
106843,111366,16763.75
106843,111428,22356.25
106843,111465,7177.5
106843,111588,10177.5
106843,111603,29063.75
106843,111621,59792.5
106843,111699,7817.5
106843,181085,6237.5
106843,195913,25452.5
106843,195938,17995.0
106882,106899,415.0
106882,106932,538.75
106882,106940,4512.5
106882,106968,438.75
106882,106977,571.25
106882,110970,3290.0
106882,111036,1033.75
106882,111059,148.75
106882,111164,3915.0
106882,111186,2.5
106882,111217,1187.5
106882,111243,1710.0
106882,111322,3018.75
106882,111349,1196.25
106882,111359,1285.0
106882,111442,9787.5
106882,111471,795.0
106882,111496,2171.25
106882,111529,5030.0
106882,111555,2750.0
106882,111603,1430.0
106882,111621,333.75
106882,111657,3582.5
106882,111699,673.75
106882,181083,2996.25
106882,181085,921.25
106882,195913,1390.0
106882,195938,1247.5
106886,106892,5057.5
106886,106899,4595.0
106886,106932,3673.75
106886,106968,3340.0
106886,106987,9681.25
106886,106997,3801.25
106886,110970,6052.5
106886,111052,5556.25
106886,111059,730.0
106886,111069,1938.75
106886,111077,2405.0
106886,111084,3500.0
106886,111186,1073.75
106886,111208,2721.25
106886,111217,413.75
106886,111241,1837.5
106886,111283,9833.75
106886,111322,1367.5
106886,111359,4038.75
106886,111366,4677.5
106886,111428,6558.75
106886,111465,1867.5
106886,111621,1541.25
106886,111699,4153.75
106886,181085,1533.75
106886,195913,992.5
106886,195938,3028.75
106892,106899,11003.75
106892,106932,20053.75
106892,106940,26477.5
106892,106968,15685.0
106892,106977,3136.25
106892,110970,32087.5
106892,111036,7886.25
106892,111059,9423.75
106892,111164,22920.0
106892,111186,2535.0
106892,111217,10818.75
106892,111243,12131.25
106892,111322,6658.75
106892,111349,8776.25
106892,111359,7255.0
106892,111442,68397.5
106892,111471,6736.25
106892,111496,30561.25
106892,111529,31507.5
106892,111555,14335.0
106892,111603,8417.5
106892,111621,56882.5
106892,111657,15093.75
106892,111699,9283.75
106892,181083,28922.5
106892,181085,16977.5
106892,195727,5852.5
106892,195913,18767.5
106892,195938,50505.0
106899,106932,1528578.75
106899,106940,57643.75
106899,106987,9623.75
106899,106997,35748.75
106899,110970,71432.5
106899,111052,28221.25
106899,111069,16461.25
106899,111077,53621.25
106899,111084,55743.75
106899,111164,124470.0
106899,111186,27692.5
106899,111208,47625.0
106899,111217,138263.75
106899,111241,3082.5
106899,111283,22935.0
106899,111322,14238.75
106899,111349,20053.75
106899,111359,50685.0
106899,111366,19578.75
106899,111428,3363.75
106899,111465,4362.5
106899,111529,34975.0
106899,111551,5726.25
106899,111588,26107.5
106899,111603,46650.0
106899,111699,100110.0
106899,181085,2767.5
106899,195727,2642.5
106932,106940,188880.0
106932,106977,14291.25
106932,106987,77523.75
106932,106997,138470.0
106932,110970,1648.75
106932,111052,59450.0
106932,111069,1408.75
106932,111077,4781.25
106932,111084,1342.5
106932,111164,152191.25
106932,111186,1285.0
106932,111208,13605.0
106932,111217,33217.5
106932,111241,476.25
106932,111243,41.25
106932,111283,3422.5
106932,111322,235531.25
106932,111359,7647.5
106932,111366,22093.75
106932,111428,357.5
106932,111442,4095.0
106932,111465,378.75
106932,111471,172.5
106932,111496,851.25
106932,111529,43636.25
106932,111551,14773.75
106932,111555,238508.75
106932,111588,53908.75
106932,111603,51062.5
106932,111621,515826.25
106932,111657,55292.5
106932,111699,53355.0
106932,181083,8382.5
106932,181085,162.5
106932,195727,2797.5
106940,106968,82553.75
106940,106987,76606.25
106940,106997,20281.25
106940,110970,59698.75
106940,111052,33892.5
106940,111059,2227.5
106940,111069,36867.5
106940,111077,93150.0
106940,111084,11502.5
106940,111186,36712.5
106940,111208,95355.0
106940,111217,96143.75
106940,111241,10208.75
106940,111283,65031.25
106940,111322,17542.5
106940,111359,23785.0
106940,111366,22707.5
106940,111428,40957.5
106940,111465,8780.0
106940,111551,6468.75
106940,111588,28625.0
106940,111603,16293.75
106940,111621,45622.5
106940,111699,63850.0
106940,181083,12120.0
106940,181085,8076.25
106940,195913,57.5
106940,195938,31532.5
106968,106977,61118.75
106968,106987,77337.5
106968,106997,87852.5
106968,110970,75816.25
106968,111036,10285.0
106968,111052,89156.25
106968,111059,205096.25
106968,111069,51401.25
106968,111077,179227.5
106968,111084,60937.5
106968,111164,94488.75
106968,111186,10888.75
106968,111208,79696.25
106968,111241,15337.5
106968,111243,10986.25
106968,111283,110697.5
106968,111322,41666.25
106968,111349,16533.75
106968,111359,46087.5
106968,111366,20115.0
106968,111428,9533.75
106968,111442,217225.0
106968,111465,12665.0
106968,111471,6036.25
106968,111496,32027.5
106968,111529,77643.75
106968,111551,10666.25
106968,111555,18240.0
106968,111588,28541.25
106968,111603,26785.0
106968,111621,629216.25
106968,111657,93796.25
106968,111699,3636.25
106968,181083,20477.5
106968,181085,21142.5
106968,195727,5017.5
106968,195913,89758.75
106968,195938,609961.25
106977,106987,8580.0
106977,106997,64305.0
106977,110970,3312.5
106977,111052,3298.75
106977,111059,2535.0
106977,111069,1051.25
106977,111077,1732.5
106977,111084,1621.25
106977,111186,820.0
106977,111208,1591.25
106977,111217,33200.0
106977,111241,981.25
106977,111283,5588.75
106977,111322,1530.0
106977,111359,1976.25
106977,111366,2550.0
106977,111428,4537.5
106977,111465,708.75
106977,111551,721.25
106977,111588,1445.0
106977,111603,1952.5
106977,111621,20748.75
106977,111699,10581.25
106977,181083,51.25
106977,181085,923.75
106977,195938,18771.25
106987,110970,42541.25
106987,111036,10587.5
106987,111059,14925.0
106987,111164,51451.25
106987,111186,718.75
106987,111217,55180.0
106987,111243,18712.5
106987,111322,35185.0
106987,111349,14470.0
106987,111359,14551.25
106987,111442,104997.5
106987,111471,9248.75
106987,111496,24545.0
106987,111529,35052.5
106987,111555,73333.75
106987,111603,18237.5
106987,111621,37557.5
106987,111657,31645.0
106987,111699,15216.25
106987,181083,40416.25
106987,181085,10965.0
106987,195727,12766.25
106987,195913,16971.25
106987,195938,87047.5
106997,110970,34352.5
106997,111036,6295.0
106997,111059,25068.75
106997,111164,44025.0
106997,111186,1092.5
106997,111217,103238.75
106997,111243,9562.5
106997,111322,14330.0
106997,111349,8088.75
106997,111359,4415.0
106997,111442,49557.5
106997,111471,4336.25
106997,111496,12952.5
106997,111529,35518.75
106997,111555,12925.0
106997,111603,13952.5
106997,111621,43438.75
106997,111657,74301.25
106997,111699,51245.0
106997,181083,38300.0
106997,181085,5540.0
106997,195727,5042.5
106997,195913,15127.5
106997,195938,121842.5
110970,111052,53216.25
110970,111059,23315.0
110970,111069,24882.5
110970,111077,66562.5
110970,111164,40531.25
110970,111186,79796.25
110970,111208,24123.75
110970,111217,14960.0
110970,111243,19756.25
110970,111283,89313.75
110970,111322,57647.5
110970,111359,273820.0
110970,111366,59475.0
110970,111428,26065.0
110970,111442,185510.0
