origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
100268,106843,3436.25,3833.75,4386.25,46733.0,52139.0,59653.0
100268,106882,43.75,48.75,57.5,595.0,663.0,782.0
100268,106892,127.5,143.75,167.5,1734.0,1955.0,2278.0
100268,106932,89831.25,112123.75,149797.5,1221705.0,1524883.0,2037246.0
100268,106940,33458.75,37338.75,42712.5,455039.0,507807.0,580890.0
100268,106977,26033.75,29056.25,33248.75,354059.0,395165.0,452183.0
100268,106987,29991.25,34311.25,40676.25,407881.0,466633.0,553197.0
100268,106997,20048.75,22972.5,27367.5,272663.0,312426.0,372198.0
100268,110970,5023.75,5642.5,6508.75,68323.0,76738.0,88519.0
100268,111036,1555.0,1735.0,1983.75,21148.0,23596.0,26979.0
100268,111052,8948.75,10123.75,11772.5,121703.0,137683.0,160106.0
100268,111059,9126.25,10456.25,12351.25,124117.0,142205.0,167977.0
100268,111069,7685.0,8693.75,10111.25,104516.0,118235.0,137513.0
100268,111077,22857.5,25862.5,30076.25,310862.0,351730.0,409037.0
100268,111084,9975.0,11285.0,13122.5,135660.0,153476.0,178466.0
100268,111164,17957.5,20046.25,22927.5,244222.0,272629.0,311814.0
100268,111186,4653.75,5267.5,6126.25,63291.0,71638.0,83317.0
100268,111208,11497.5,13010.0,15127.5,156366.0,176936.0,205734.0
100268,111217,32220.0,36697.5,43031.25,438192.0,499086.0,585225.0
100268,111241,781.25,883.75,1027.5,10625.0,12019.0,13974.0
100268,111243,4763.75,5317.5,6081.25,64787.0,72318.0,82705.0
100268,111283,5142.5,5817.5,6765.0,69938.0,79118.0,92004.0
100268,111322,813.75,922.5,1071.25,11067.0,12546.0,14569.0
100268,111349,8625.0,9627.5,11012.5,117300.0,130934.0,149770.0
100268,111359,7585.0,8547.5,9888.75,103156.0,116246.0,134487.0
100268,111366,3811.25,4312.5,5013.75,51833.0,58650.0,68187.0
100268,111428,681.25,768.75,895.0,9265.0,10455.0,12172.0
100268,111442,27990.0,31246.25,35738.75,380664.0,424949.0,486047.0
100268,111465,1171.25,1325.0,1540.0,15929.0,18020.0,20944.0
100268,111496,825.0,920.0,1053.75,11220.0,12512.0,14331.0
100268,111529,16072.5,17952.5,20530.0,218586.0,244154.0,279208.0
100268,111588,3185.0,3602.5,4190.0,43316.0,48994.0,56984.0
100268,111603,2920.0,3265.0,3742.5,39712.0,44404.0,50898.0
100268,111657,57460.0,64131.25,73356.25,781456.0,872185.0,997645.0
100268,111699,2921.25,3306.25,3845.0,39729.0,44965.0,52292.0
100268,181083,1766.25,1970.0,2257.5,24021.0,26792.0,30702.0
100268,181085,783.75,886.25,1030.0,10659.0,12053.0,14008.0
100268,195727,1130.0,1261.25,1441.25,15368.0,17153.0,19601.0
100268,195913,7915.0,8835.0,10105.0,107644.0,120156.0,137428.0
100268,195938,48668.75,55143.75,64247.5,661895.0,749955.0,873766.0
106843,106882,2827.5,2740.0,2636.25,38454.0,37264.0,35853.0
106843,106892,9827.5,9522.5,9161.25,133654.0,129506.0,124593.0
106843,106932,442.5,493.75,565.0,6018.0,6715.0,7684.0
106843,106968,20157.5,21458.75,23302.5,274142.0,291839.0,316914.0
106843,106987,32875.0,31853.75,30650.0,447100.0,433211.0,416840.0
106843,106997,12711.25,12315.0,11851.25,172873.0,167484.0,161177.0
106843,110970,103268.75,100063.75,96281.25,1404455.0,1360867.0,1309425.0
106843,111052,21095.0,20440.0,19666.25,286892.0,277984.0,267461.0
106843,111059,3866.25,4315.0,4936.25,52581.0,58684.0,67133.0
106843,111069,8858.75,8583.75,8258.75,120479.0,116739.0,112319.0
106843,111077,9638.75,9340.0,8987.5,131087.0,127024.0,122230.0
106843,111084,15150.0,14680.0,14125.0,206040.0,199648.0,192100.0
106843,111186,17006.25,18321.25,20163.75,231285.0,249169.0,274227.0
106843,111208,12670.0,12276.25,11812.5,172312.0,166957.0,160650.0
106843,111241,7332.5,7105.0,6836.25,99722.0,96628.0,92973.0
106843,111283,24737.5,23970.0,23063.75,336430.0,325992.0,313667.0
106843,111322,4812.5,4663.75,4487.5,65450.0,63427.0,61030.0
