origin,destination,volume
100030,100052,2966.25
100030,100055,195.0
100030,100059,2383.75
100030,100061,5151.25
100030,100063,2286.25
100030,100108,13646.25
100030,100173,3307.5
100030,100176,14447.5
100030,100177,49346.25
100030,100228,612.5
100030,106388,1115.0
100030,106398,5132.5
100030,106501,4936.25
100030,106507,2011.25
100030,106514,262.5
100030,106544,21700.0
100030,106547,19250.0
100030,106573,91797.5
100030,106646,12821.25
100030,106651,17510.0
100030,106652,3046.25
100030,106687,14205.0
100030,106709,21482.5
100030,107292,63895.0
100030,123515,4361.25
100030,123594,7626.25
100030,197853,2200.0
100030,197935,8678.75
100030,250206,5575.0
100052,100030,2070.0
100052,100059,93918.75
100052,100061,43737.5
100052,100063,129945.0
100052,100108,20365.0
100052,100173,5046.25
100052,100176,11555.0
100052,100177,3216.25
100052,100228,7678.75
100052,106388,1062.5
100052,106398,7043.75
100052,106501,8950.0
100052,106507,746.25
100052,106514,411.25
100052,106544,5707.5
100052,106547,7317.5
100052,106573,10300.0
100052,106646,450.0
100052,106651,2446.25
100052,106652,3128.75
100052,106687,10882.5
100052,106709,104097.5
100052,107292,1895.0
100052,123515,430.0
100052,123594,11145.0
100052,197853,17695.0
100052,250206,2613.75
100052,250225,14497.5
100055,100030,180.0
100055,100063,5113.75
100055,100108,5071.25
100055,106388,12.5
100055,106398,530.0
100055,106501,4155.0
100055,106507,182.5
100055,106514,47.5
100055,106544,600.0
100055,106547,592.5
100055,106573,2853.75
100055,107292,228.75
100055,197853,11622.5
100055,250206,121.25
100059,100030,2168.75
100059,100052,69621.25
100059,100061,12588.75
100059,100063,12117.5
100059,100108,14380.0
100059,100173,6336.25
100059,100176,14275.0
100059,100177,3982.5
100059,100228,2401.25
100059,106388,698.75
100059,106398,4905.0
100059,106501,1762.5
100059,106507,655.0
100059,106544,5008.75
100059,106547,7692.5
100059,106573,8851.25
100059,106646,155.0
100059,106651,726.25
100059,106652,3440.0
100059,106687,7292.5
100059,106709,54100.0
100059,123515,85.0
