origin,destination,volume
100268,106833,20383.75
100268,106843,336.25
100268,106940,5765.0
100268,106968,14303.75
100268,106987,23361.25
100268,106997,22240.0
100268,110970,1926.25
100268,110989,4235.0
100268,110992,1657.5
100268,111052,4273.75
100268,111060,4068.75
100268,111077,18400.0
100268,111084,11285.0
100268,111164,9615.0
100268,111208,3395.0
100268,111217,51253.75
100268,111241,883.75
100268,111243,792.5
100268,111283,2898.75
100268,111366,3961.25
100268,111428,533.75
100268,111442,4271.25
100268,111529,2732.5
100268,111555,3602.5
100268,111603,398.75
100268,111657,8487.5
100268,195727,78.75
100268,195913,6301.25
100268,195938,14800.0
106833,100268,20416.25
106833,106886,2087.5
106833,106899,1086.25
106833,106940,57045.0
106833,106968,14166.25
106833,106987,21075.0
106833,106997,27551.25
106833,111208,18995.0
106833,111217,23492.5
106833,111322,3292.5
106833,111366,4000.0
106833,111529,17392.5
106833,111555,12540.0
106833,111560,51596.25
106833,111603,2546.25
106833,111657,9172.5
106833,111699,265417.5
106833,195727,1157.5
106843,100268,1625.0
106843,106899,3873.75
106843,106920,60862.5
106843,106940,11546.25
106843,106955,16126.25
106843,106968,803.75
106843,106987,10130.0
106843,106997,3357.5
106843,110970,63067.5
106843,110989,6827.5
106843,110992,9252.5
106843,111052,8250.0
106843,111060,3662.5
106843,111077,9340.0
106843,111084,14680.0
106843,111164,7643.75
106843,111186,18862.5
106843,111208,4632.5
106843,111217,3326.25
106843,111241,7105.0
106843,111243,36996.25
106843,111283,8155.0
106843,111322,5648.75
106843,111366,13371.25
106843,111428,14543.75
106843,111442,19407.5
106843,111465,7177.5
106843,111471,4663.75
106843,111496,8597.5
106843,111529,14778.75
106843,111555,10177.5
106843,111603,29063.75
106843,111657,6945.0
106843,111699,15330.0
106843,181083,7812.5
106843,181085,6237.5
106843,195727,2740.0
106843,195913,22741.25
106843,195938,18647.5
106886,106833,413.75
106886,106899,1162.5
106886,106920,1515.0
106886,106940,3466.25
106886,106955,3401.25
106886,106968,550.0
106886,106987,3945.0
106886,106997,1143.75
106886,110970,3412.5
106886,110989,1700.0
106886,110992,2327.5
106886,111052,2560.0
106886,111060,730.0
106886,111077,2405.0
106886,111084,3500.0
106886,111164,1561.25
106886,111186,1073.75
106886,111208,1160.0
106886,111217,4513.75
106886,111241,1837.5
106886,111243,2640.0
106886,111283,5712.5
106886,111322,3895.0
106886,111366,3318.75
106886,111428,4058.75
106886,111442,4983.75
106886,111465,1867.5
106886,111471,1367.5
106886,111496,2133.75
106886,111529,4042.5
106886,111560,4568.75
106886,111657,1693.75
106886,111699,3320.0
106886,181083,2500.0
106886,181085,1533.75
106886,195913,2920.0
106886,195938,3028.75
106899,106833,250.0
106899,106843,1745.0
106899,106886,840.0
106899,106920,1740.0
106899,106940,3525.0
106899,106955,1115.0
106899,106968,317.5
106899,106987,3588.75
106899,106997,952.5
106899,110970,9476.25
106899,110989,2670.0
106899,110992,2086.25
106899,111052,2002.5
106899,111060,362.5
106899,111077,2887.5
106899,111084,3285.0
106899,111164,1451.25
106899,111186,1298.75
106899,111208,1113.75
106899,111217,3122.5
106899,111241,1642.5
106899,111243,2061.25
106899,111283,5530.0
106899,111322,3366.25
106899,111366,2686.25
106899,111428,3830.0
106899,111442,5436.25
106899,111465,1560.0
106899,111471,1642.5
106899,111496,2341.25
106899,111529,3115.0
106899,111555,3056.25
106899,111560,2505.0
106899,111603,3206.25
106899,111657,1317.5
106899,111699,1628.75
106899,181083,2298.75
106899,181085,1398.75
106899,195727,660.0
106899,195913,2635.0
106899,195938,1947.5
106920,106843,16930.0
106920,106886,5462.5
106920,106899,4161.25
106920,106940,16881.25
106920,106955,284165.0
106920,106968,13532.5
106920,106987,20363.75
106920,106997,14570.0
106920,110970,24152.5
106920,110989,14012.5
106920,110992,5555.0
106920,111052,16131.25
106920,111060,8388.75
106920,111077,59415.0
106920,111084,34192.5
106920,111164,29997.5
106920,111186,27171.25
106920,111208,9712.5
106920,111217,204636.25
106920,111241,6617.5
106920,111243,6036.25
106920,111283,34011.25
106920,111322,52812.5
106920,111366,11362.5
106920,111428,6988.75
106920,111442,37240.0
106920,111465,10616.25
106920,111471,21736.25
106920,111496,12498.75
106920,111529,9123.75
106920,111555,25827.5
106920,111603,8863.75
106920,111657,6323.75
106920,111699,107290.0
106920,181085,5842.5
106920,195727,333.75
106920,195913,136323.75
106920,195938,87300.0
106940,100268,8741.25
106940,106833,97875.0
106940,106843,7081.25
106940,106886,4457.5
106940,106899,4986.25
106940,106920,32088.75
106940,106955,63376.25
106940,106968,2798.75
106940,106987,18711.25
106940,106997,6240.0
106940,110970,19363.75
106940,110989,5115.0
106940,110992,19207.5
106940,111052,9787.5
106940,111060,11108.75
106940,111077,29842.5
106940,111084,9711.25
106940,111164,58491.25
106940,111208,10148.75
106940,111217,116586.25
106940,111241,7163.75
106940,111243,9275.0
106940,111283,23666.25
106940,111322,12385.0
106940,111366,9771.25
106940,111428,17676.25
106940,111442,22165.0
106940,111465,5920.0
106940,111471,4750.0
106940,111496,7486.25
106940,111529,20042.5
106940,111555,22650.0
106940,111560,51093.75
106940,111603,11387.5
106940,111657,19415.0
106940,111699,51545.0
106940,181083,22213.75
106940,181085,5352.5
106940,195727,3028.75
106940,195913,19197.5
106940,195938,13733.75
106955,106843,6271.25
106955,106886,10670.0
106955,106899,2607.5
106955,106920,345051.25
106955,106940,37883.75
106955,106968,71418.75
106955,106987,63346.25
106955,106997,57946.25
106955,110970,39513.75
106955,110989,23251.25
106955,110992,9545.0
106955,111052,30458.75
106955,111060,74765.0
106955,111077,178758.75
106955,111084,60937.5
106955,111164,58317.5
106955,111208,20508.75
106955,111241,14183.75
106955,111243,12637.5
106955,111283,67821.25
106955,111322,12978.75
106955,111366,18485.0
106955,111428,7552.5
106955,111442,69313.75
106955,111465,12042.5
106955,111471,4305.0
106955,111496,19661.25
106955,111529,14998.75
106955,111555,28561.25
106955,111603,8237.5
106955,111657,22822.5
106955,181083,1661.25
106955,181085,6993.75
106955,195727,438.75
106955,195913,51105.0
106955,195938,138995.0
106968,100268,13073.75
106968,106833,8620.0
106968,106843,425.0
106968,106886,306.25
106968,106899,270.0
106968,106920,8578.75
106968,106940,1048.75
106968,106955,48880.0
106968,106987,1633.75
106968,106997,1073.75
106968,110970,947.5
106968,110989,607.5
106968,110992,676.25
106968,111052,498.75
106968,111060,2535.0
106968,111077,632.5
106968,111084,681.25
106968,111164,420.0
106968,111208,402.5
106968,111217,1112.5
106968,111241,438.75
106968,111243,485.0
106968,111283,1326.25
106968,111322,993.75
106968,111366,857.5
106968,111428,1272.5
106968,111442,1345.0
106968,111465,315.0
106968,111471,231.25
106968,111496,491.25
