origin,destination,volume
103089,103841,1723.75
103089,103989,5.0
103089,103996,1425.0
103089,104050,471.25
103089,104051,16.25
103089,104064,2.5
103089,104105,486.25
103089,104110,23.75
103089,104147,30.0
103089,104153,92.5
103089,104184,101.25
103089,104201,113.75
103089,104220,230.0
103089,104233,4257.5
103089,104287,282.5
103089,124761,30.0
103089,200601,1142.5
103089,200683,273.75
103089,261939,3.75
103489,103841,2.5
103489,103989,0.0
103489,103996,147.5
103489,104015,0.0
103489,104050,16.25
103489,104051,0.0
103489,104064,26.25
103489,104105,0.0
103489,104110,0.0
103489,104147,0.0
103489,104153,0.0
103489,104184,0.0
103489,104194,0.0
103489,104201,0.0
103489,104220,0.0
103489,104226,0.0
103489,104233,7.5
103489,104287,0.0
103489,124761,0.0
103489,200683,0.0
103789,104147,3788.75
103789,104153,4035.0
103789,261939,57013.75
103839,103996,12.5
103839,104050,0.0
103839,104105,3.75
103839,104194,742.5
103839,104226,60438.75
103839,200540,58.75
103841,103089,728.75
103841,103489,6.25
103841,103989,125.0
103841,103996,7266.25
103841,104015,13293.75
103841,104050,3618.75
103841,104051,505.0
103841,104064,442.5
103841,104105,3371.25
103841,104110,201.25
103841,104147,760.0
103841,104153,6.25
103841,104184,3555.0
103841,104194,4033.75
103841,104201,1216.25
103841,104220,9383.75
103841,104233,1313.75
103841,104262,24453.75
103841,104287,113065.0
103841,124761,2588.75
103841,200601,310.0
103841,200683,10708.75
103989,103089,37.5
103989,103489,251.25
103989,103841,135.0
103989,104015,1722.5
103989,104050,1706.25
103989,104051,372.5
103989,104064,6.25
103989,104105,106.25
103989,104147,1.25
103989,104153,8.75
103989,104184,1.25
103989,104194,5.0
103989,104201,95.0
103989,104220,167.5
103989,104233,563.75
103989,104262,551.25
103989,124761,46.25
103989,200601,748.75
103989,261939,8.75
103996,103089,533.75
103996,103489,1637.5
103996,103839,1.25
103996,103841,2373.75
103996,104015,63950.0
103996,104050,38676.25
103996,104051,56582.5
103996,104064,2895.0
103996,104105,2582.5
103996,104110,997.5
103996,104147,92.5
103996,104153,135.0
103996,104184,83.75
103996,104194,261.25
103996,104201,4006.25
103996,104220,11621.25
103996,104226,20.0
103996,104233,7155.0
103996,104262,1608.75
103996,104287,241.25
103996,124761,3450.0
103996,200601,11260.0
103996,200683,353.75
103996,261939,307.5
104015,103489,415.0
104015,103841,34531.25
104015,103989,170.0
104015,103996,72967.5
104015,104050,10973.75
104015,104051,18615.0
104015,104064,11458.75
104015,104105,9392.5
104015,104110,633.75
104015,104147,8916.25
104015,104153,16243.75
104015,104184,3776.25
104015,104194,65.0
104015,104201,3155.0
104015,104220,67825.0
104015,104226,3372.5
104015,104233,187.5
104015,104262,12.5
104015,104287,7515.0
104015,124761,10056.25
104015,200601,11431.25
104015,200683,8723.75
104015,261939,6876.25
104050,103089,176.25
104050,103489,426.25
104050,103841,1098.75
104050,103989,1195.0
104050,103996,49382.5
104050,104015,2557.5
104050,104051,442.5
104050,104064,17.5
104050,104105,39050.0
104050,104110,3117.5
104050,104147,8.75
104050,104153,2.5
104050,104184,863.75
104050,104194,3396.25
104050,104201,6450.0
104050,104220,216.25
104050,104226,58.75
104050,104233,27525.0
104050,104262,905.0
104050,104287,1136.25
104050,124761,1491.25
104050,200601,4457.5
104050,200683,286.25
104050,261939,3.75
104051,103089,13.75
104051,103489,342.5
104051,103841,457.5
104051,103989,151.25
104051,103996,74171.25
104051,104015,12642.5
104051,104050,205.0
104051,104064,91770.0
104051,104105,182.5
104051,104110,135.0
104051,104147,1392.5
104051,104153,5732.5
104051,104184,32.5
104051,104194,47.5
104051,104201,1420.0
104051,104220,545683.75
104051,104226,15.0
104051,104233,177.5
104051,104262,275.0
104051,104287,68.75
104051,124761,8773.75
104051,200601,2671.25
104051,200683,595.0
104051,261939,785.0
104064,103089,12.5
104064,103489,601.25
104064,103841,387.5
104064,103989,23.75
104064,103996,15042.5
104064,104015,9213.75
104064,104050,17.5
104064,104051,100620.0
104064,104105,6.25
104064,104110,15.0
104064,104147,458.75
104064,104153,2430.0
104064,104194,2.5
104064,104201,73.75
104064,104220,156868.75
104064,104226,12.5
104064,104233,11.25
104064,104262,431.25
104064,104287,3.75
104064,124761,475.0
104064,200601,5018.75
104064,200683,3.75
104064,261939,571.25
104105,103089,297.5
104105,103489,610.0
104105,103841,2176.25
104105,103989,156.25
104105,103996,4691.25
104105,104015,4073.75
104105,104050,57097.5
104105,104051,173.75
104105,104064,2.5
104105,104110,1637.5
104105,104147,1.25
104105,104153,5.0
104105,104184,2388.75
104105,104194,15743.75
104105,104201,5832.5
104105,104220,78.75
104105,104226,358.75
104105,104233,2008.75
104105,104262,433.75
104105,104287,3476.25
104105,124761,92.5
104105,200540,1268.75
104105,200601,5703.75
104105,200683,663.75
104105,261939,2.5
104110,103089,33.75
104110,103489,253.75
104110,103841,595.0
104110,103996,656.25
104110,104015,1296.25
104110,104050,6731.25
104110,104051,111.25
104110,104064,3.75
104110,104105,2515.0
104110,104184,12.5
104110,104194,1363.75
104110,104201,36.25
104110,104220,31.25
104110,104226,12.5
104110,104262,203.75
104110,104287,717.5
104110,124761,15.0
104110,200601,1205.0
104110,200683,103.75
104110,261939,17.5
104147,103089,17.5
104147,103489,393.75
104147,103789,3836.25
104147,103841,336.25
104147,103989,26.25
104147,103996,1168.75
104147,104015,2243.75
104147,104050,93.75
104147,104051,17935.0
104147,104064,4543.75
104147,104105,6.25
104147,104110,11.25
104147,104153,66922.5
104147,104184,38.75
104147,104194,1.25
104147,104201,1938.75
104147,104220,22366.25
104147,104233,2.5
104147,104262,441.25
104147,104287,5.0
104147,124761,30293.75
104147,200601,113.75
104147,200683,145.0
104147,261939,965.0
104153,103089,43.75
104153,103489,622.5
104153,103789,6881.25
104153,103841,5.0
104153,103989,3.75
104153,103996,351.25
104153,104015,4065.0
104153,104051,18392.5
104153,104064,5373.75
104153,104147,46752.5
104153,104184,13.75
104153,104201,67.5
104153,104220,22921.25
104153,104262,907.5
104153,104287,1.25
104153,124761,3786.25
104153,200601,3.75
104153,200683,12.5
104153,261939,2742.5
104184,103089,822.5
104184,103489,3022.5
104184,103789,56.25
104184,103841,12270.0
104184,103989,7.5
104184,103996,2030.0
104184,104015,11126.25
104184,104050,526.25
104184,104051,650.0
104184,104064,135.0
104184,104105,2101.25
104184,104110,13.75
104184,104147,2.5
104184,104153,53.75
104184,104194,508.75
104184,104201,24626.25
104184,104220,650.0
104184,104226,4602.5
104184,104233,30.0
104184,104262,5216.25
104184,104287,15931.25
104184,124761,3493.75
104184,200601,9502.5
104184,200683,83885.0
104194,103489,1965.0
104194,103839,561.25
104194,103841,8391.25
