origin,destination,volume
117312,117419,35.0
117312,117527,86.25
117312,121181,152.5
117312,121326,560.0
117312,121502,3293.75
117419,117312,802.5
117419,117527,21921.25
117419,121181,430613.75
117419,121326,25200.0
117419,121499,22263.75
117419,121502,16752.5
117527,117312,495.0
117527,117419,1592.5
117527,121181,1266.25
117527,121326,143.75
117943,252058,71391.25
121181,117419,11526.25
121181,121326,1023.75
121326,117312,407.5
121326,117419,903.75
121326,117527,213.75
121326,121181,3620.0
121326,121502,2141.25
121499,117312,175.0
121499,117419,1653.75
121499,121181,1558.75
121499,121326,85.0
121502,117312,772.5
121502,117419,587.5
121502,121181,1297.5
121502,121326,830.0
252058,117943,5288.75
