origin,destination,volume
100273,100286,4141.25
100273,100289,29400.0
100273,100315,11493.75
100273,100324,38471.25
100273,100333,68261.25
100273,100380,1795.0
100273,100397,1482.5
100273,100422,1461.25
100273,100430,883.75
100273,100441,227.5
100273,100444,1445.0
100273,100487,1058.75
100273,100520,156.25
100273,106801,11023.75
100273,107065,5506.25
100273,107144,135.0
100273,107200,77.5
100273,107223,681.25
100273,196150,123865.0
100273,196755,223.75
100273,260984,1523.75
100286,100273,1065.0
100286,100289,164385.0
100286,100315,3865.0
100286,100324,64607.5
100286,100333,1686.25
100286,100380,22601.25
100286,100397,15587.5
100286,100422,711.25
100286,100430,370.0
100286,100441,12.5
100286,100444,372.5
100286,100487,16598.75
100286,100513,25.0
100286,100520,126.25
100286,106801,2142.5
100286,107065,157436.25
100286,107144,145.0
100286,107203,700.0
100286,107223,87.5
100286,196150,2673.75
100286,196755,561.25
100286,260943,1598.75
100286,260958,6.25
100286,260984,7860.0
100289,100273,10807.5
100289,100286,131616.25
100289,100315,77805.0
100289,100324,48925.0
100289,100333,4266.25
100289,100380,26041.25
100289,100397,13462.5
100289,100422,530.0
100289,100430,1123.75
100289,100441,78.75
100289,100444,165.0
100289,100487,11217.5
100289,100520,331.25
100289,106801,6390.0
100289,107065,27746.25
100289,107144,146.25
100289,107203,1387.5
100289,107223,21.25
100289,196150,9071.25
100289,196755,412.5
100289,260943,6883.75
100289,260984,8732.5
100315,100273,21870.0
100315,100286,5233.75
100315,100289,61832.5
100315,100324,637.5
100315,100333,5185.0
100315,100380,16501.25
100315,100397,1131.25
100315,100422,43.75
100315,100430,465.0
100315,100444,81.25
100315,100487,1755.0
100315,106801,2003.75
100315,107065,147482.5
100315,107144,66.25
100315,107203,782.5
100315,107223,1.25
100315,196150,376.25
100315,196755,1105.0
100315,260943,88.75
100315,260958,43.75
100315,260984,188.75
100324,100273,9447.5
100324,100286,39347.5
100324,100289,63105.0
100324,100315,226.25
100324,100333,16861.25
100324,100380,9847.5
100324,100397,75.0
100324,100422,2.5
100324,100430,1148.75
