origin,destination,volume
100543,107283,82.5
100543,107314,11870.0
100543,107341,18.75
100543,107350,31672.5
100543,107370,10700.0
100543,108085,4698.75
100543,108832,2425.0
100543,111787,46187.5
100543,111815,64681.25
100543,111823,20526.25
100543,111825,47.5
100543,124124,8137.5
100543,124164,40170.0
100543,124225,10676.25
100543,197263,43.75
100543,197345,44847.5
100543,198016,54277.5
100543,198031,28420.0
100543,198036,16070.0
100543,198087,3855.0
100543,201950,1016.25
100543,250361,16.25
106511,107283,3095.0
106511,107341,9783.75
106511,107370,81181.25
106511,111823,7142.5
106511,111825,7298.75
106511,124124,348465.0
106511,198036,28665.0
106511,198087,37996.25
106511,201950,42700.0
106511,250361,78415.0
106513,107283,1052.5
106513,107350,7767.5
106513,111815,200988.75
106513,111823,1332.5
106513,124164,19766.25
106513,124225,10656.25
107283,100543,7.5
107283,106511,2365.0
107283,106513,820.0
107283,107314,2468.75
107283,107341,228.75
107283,107350,23.75
107283,107370,45.0
107283,107375,7037.5
107283,108085,1546.25
107283,111787,2525.0
107283,111815,44212.5
107283,111823,15786.25
107283,111825,62048.75
107283,124124,983.75
107283,124164,44748.75
107283,124225,66035.0
107283,197263,7570.0
107283,197345,11091.25
107283,198016,4293.75
107283,198031,138.75
107283,198036,3341.25
107283,198087,621.25
107283,201950,490.0
107283,201959,2341.25
107283,250361,6.25
107314,100543,59477.5
107314,107283,28460.0
107314,107341,515.0
107314,107350,35096.25
107314,107370,26866.25
107314,107375,11462.5
107314,108085,8991.25
107314,108832,40937.5
107314,111787,44868.75
107314,111815,41291.25
107314,111823,30621.25
107314,111825,842.5
107314,124124,6891.25
107314,124164,54395.0
107314,124225,9028.75
107314,197263,78062.5
107314,197345,89303.75
107314,198016,1711.25
107314,198031,22343.75
107314,198036,18887.5
107314,198087,1275.0
107314,201950,1192.5
107314,250361,11.25
107341,100543,261.25
107341,106511,15043.75
107341,107283,17837.5
107341,107314,5132.5
107341,107350,38480.0
107341,107370,22488.75
107341,107375,7815.0
107341,108085,466.25
107341,108832,137.5
107341,111787,1016.25
107341,111815,46057.5
107341,111823,3695.0
107341,111825,298160.0
107341,124124,3175.0
107341,124164,70125.0
107341,124225,6092.5
107341,197263,5958.75
107341,197345,10928.75
107341,198016,81.25
107341,198036,22860.0
107341,198087,64248.75
107341,201950,9326.25
107341,201959,2780.0
107341,250361,78181.25
107350,100543,15398.75
107350,106513,14720.0
107350,107283,63.75
107350,107314,16073.75
107350,107341,11255.0
107350,107370,135482.5
107350,107375,9545.0
107350,108085,1596.25
107350,108832,230.0
107350,111787,128.75
107350,111815,30890.0
107350,111823,2086.25
107350,111825,115.0
107350,124124,10141.25
107350,124164,58917.5
107350,124225,30668.75
107350,197263,1467.5
107350,197345,23376.25
107350,198016,23272.5
107350,198031,601.25
107350,198036,10406.25
107350,198087,79706.25
107350,201950,4057.5
107350,250361,330.0
107370,100543,31536.25
107370,106511,94655.0
107370,107283,181.25
107370,107314,7433.75
107370,107341,59205.0
107370,107350,210002.5
107370,107375,40277.5
107370,108085,4556.25
107370,108832,523.75
107370,111787,108.75
107370,111815,73711.25
107370,111823,9453.75
107370,111825,767.5
107370,124124,36177.5
107370,124164,37100.0
107370,124225,35587.5
107370,197263,3836.25
107370,197345,64285.0
107370,198016,412.5
107370,198036,88236.25
107370,198087,145398.75
107370,201950,13728.75
107370,250361,73428.75
107375,107283,11781.25
107375,107314,8507.5
107375,107341,7670.0
107375,107350,9276.25
107375,107370,46107.5
107375,108085,847.5
107375,108832,146.25
107375,111787,2796.25
107375,111815,355328.75
107375,111823,61781.25
107375,111825,10198.75
107375,124164,52201.25
107375,124225,26790.0
107375,197345,232.5
107375,198087,11177.5
107375,201950,68440.0
107375,250361,14382.5
108085,100543,3313.75
108085,107283,1848.75
108085,107314,6935.0
108085,107341,336.25
108085,107350,1485.0
108085,107370,4702.5
108085,107375,1021.25
108085,111787,42862.5
108085,111815,69302.5
108085,111823,1057.5
108085,111825,528.75
108085,124124,867.5
108085,124164,3327.5
108085,124225,4563.75
108085,198016,81.25
108085,198031,9007.5
108085,198036,5748.75
108085,198087,773.75
108085,201950,650.0
108085,250361,1737.5
108832,100543,1381.25
108832,107314,33825.0
108832,107341,77.5
108832,107350,191.25
108832,107370,397.5
108832,107375,146.25
108832,111787,13203.75
108832,111815,490.0
108832,111823,320.0
108832,111825,128.75
108832,124124,130.0
108832,124164,675.0
108832,124225,443.75
108832,197263,645.0
108832,198016,3635.0
108832,198031,16267.5
108832,198036,450.0
108832,198087,178.75
108832,201950,150.0
108832,250361,388.75
111787,107283,0.0
111787,107314,55878.75
111787,107375,6011.25
111787,108085,64290.0
111787,108832,21737.5
111787,111815,97743.75
111787,111823,12475.0
111787,124124,3481.25
111787,124164,37838.75
111787,124225,26393.75
111787,197263,2115.0
111787,198016,5100.0
111787,198031,10400.0
111787,198036,10351.25
111787,201950,587.5
111815,100543,49773.75
111815,106513,251787.5
111815,107283,91436.25
111815,107314,41863.75
111815,107341,23946.25
111815,107350,38382.5
111815,107370,75938.75
111815,107375,291270.0
111815,108085,108258.75
111815,108832,845.0
111815,111787,56505.0
111815,111823,78810.0
111815,111825,36856.25
111815,124124,2698.75
111815,124164,385200.0
111815,124225,156556.25
111815,197263,8322.5
111815,198016,165627.5
111815,198031,12201.25
111815,198036,106710.0
111815,198087,80210.0
111815,201950,28697.5
111815,201959,45738.75
111815,250361,115721.25
111823,100543,22478.75
111823,106511,16427.5
111823,106513,2841.25
111823,107283,32800.0
111823,107314,34438.75
111823,107341,5401.25
111823,107350,4042.5
111823,107370,19000.0
111823,107375,105353.75
111823,108085,1673.75
111823,108832,510.0
111823,111787,9677.5
111823,111815,98925.0
111823,111825,1506.25
111823,124164,125255.0
111823,124225,40016.25
111823,197263,325173.75
111823,197345,79960.0
111823,198016,91527.5
111823,198031,1267.5
111823,198036,15733.75
111823,198087,12601.25
111823,201959,2751.25
111823,250361,25871.25
111825,100543,1937.5
111825,106511,8075.0
111825,107283,57911.25
111825,107314,36998.75
111825,107341,163856.25
111825,107350,9918.75
111825,107370,43823.75
111825,107375,7542.5
111825,108085,495.0
111825,108832,145.0
111825,111787,7498.75
111825,111815,35560.0
111825,111823,438.75
111825,124124,781.25
111825,124164,51250.0
111825,124225,24485.0
111825,197263,9236.25
111825,197345,12168.75
111825,198016,3212.5
111825,198031,232.5
111825,198036,9360.0
111825,198087,22490.0
111825,201950,15983.75
111825,201959,2692.5
111825,250361,11943.75
124124,100543,11000.0
124124,106511,371727.5
124124,107283,1672.5
124124,107314,8865.0
124124,107341,4542.5
124124,107350,11803.75
124124,107370,52775.0
124124,108085,1220.0
124124,108832,232.5
124124,111787,3172.5
124124,111815,2468.75
124124,111825,1393.75
124124,124164,9130.0
124124,124225,10552.5
124124,197263,14510.0
124124,197345,62588.75
124124,198016,618.75
124124,198087,34953.75
124124,250361,89160.0
124164,100543,62955.0
124164,106513,15058.75
124164,107283,37736.25
124164,107314,68692.5
124164,107341,34891.25
124164,107350,124896.25
124164,107370,44750.0
124164,107375,48057.5
124164,108085,3315.0
124164,108832,780.0
124164,111787,43217.5
124164,111815,325670.0
124164,111823,68197.5
124164,111825,85226.25
124164,124124,5140.0
124164,124225,661595.0
124164,197263,48087.5
124164,197345,97387.5
124164,198016,36421.25
124164,198031,953.75
124164,198036,69571.25
124164,198087,40516.25
124164,201950,2327.5
124164,201959,16291.25
