origin,destination,volume
108526,112616,11871.25
108526,112634,59443.75
108526,112655,771153.75
108526,112688,95392.5
108526,112736,241015.0
108526,112785,107637.5
108526,196346,11385.0
108526,196393,26853.75
112616,108526,9801.25
112616,112634,115600.0
112616,112655,7278.75
112616,112688,25875.0
112616,112690,38815.0
112616,112785,19713.75
112616,196346,3318.75
112616,196393,11957.5
112616,261014,30096.25
112634,108526,77361.25
112634,112616,137875.0
112634,112688,299281.25
112634,196346,17778.75
112634,261014,955145.0
112649,108526,855415.0
112649,112616,14835.0
112649,112688,153852.5
112649,112785,123706.25
112649,196346,10770.0
112649,261014,652273.75
112688,108526,104515.0
112688,112616,19555.0
112688,112634,312962.5
112688,112655,73830.0
112688,112690,757540.0
112688,112785,52546.25
112688,196346,26375.0
112688,196393,274988.75
112688,261014,444361.25
112690,112616,71375.0
112690,112688,703691.25
112690,112785,145513.75
112690,196346,32331.25
112690,196384,1943202.5
112690,196393,456997.5
112736,108526,302646.25
112736,112785,837670.0
112736,196346,47670.0
113037,108526,96767.5
113037,112616,39696.25
113037,112655,112843.75
113037,112688,84411.25
113037,112690,189251.25
113037,112736,737796.25
113037,196346,89877.5
113037,196393,33645.0
196346,108526,19661.25
196346,112616,5640.0
196346,112634,13017.5
196346,112655,13583.75
196346,112688,29397.5
196346,112690,42367.5
196346,112736,63372.5
196346,112785,104535.0
196346,196393,10605.0
196384,112690,1768406.25
196384,196393,120687.5
196393,108526,29571.25
196393,112616,16563.75
196393,112688,240516.25
196393,112690,362366.25
196393,112785,25000.0
196393,196346,7542.5
196393,196384,115607.5
196393,261014,481378.75
261014,112616,52422.5
261014,112634,905822.5
261014,112655,762397.5
261014,112688,569742.5
261014,196393,428612.5
