origin,destination,volume
112391,112406,520750.0
112391,112422,1687.5
112391,112436,505.0
112391,112563,520.0
112406,108539,20408.75
112406,112391,111507.5
112406,112421,33391.25
112406,112422,39870.0
112406,112423,76627.5
112406,112436,42442.5
112406,112456,19986.25
112406,112504,111913.75
112406,112563,11500.0
112406,112567,174840.0
112406,112616,5667.5
112406,112679,7375.0
112406,112688,33230.0
112406,112709,20682.5
112406,112743,18043.75
112406,112761,32627.5
112406,112785,9421.25
112406,115901,107706.25
112406,115902,61527.5
112406,115903,70901.25
112406,115908,6690.0
112406,196346,3565.0
112406,196349,31645.0
112406,196385,19478.75
112406,196435,11098.75
112406,196468,23691.25
112406,196514,16143.75
112414,108539,25727.5
112414,112406,87097.5
112414,112421,14620.0
112414,112422,74746.25
112414,112423,72596.25
112414,112436,31151.25
112414,112456,8778.75
112414,112504,34851.25
112414,112563,4605.0
112414,112567,127688.75
112414,112616,7346.25
112414,112679,63765.0
112414,112688,31258.75
112414,112709,15343.75
112414,112743,23327.5
112414,112761,117692.5
112414,112785,1697.5
112414,115901,58293.75
112414,115908,41390.0
112414,196346,3582.5
112414,196349,63068.75
112414,196385,2321.25
112414,196428,135633.75
112414,196468,109671.25
112414,196514,11381.25
112423,108539,26811.25
112423,112421,183533.75
112423,112422,355495.0
112423,112436,93887.5
112423,112456,204180.0
112423,112504,153648.75
112423,112563,47008.75
112423,112567,182218.75
112423,112616,10261.25
112423,112679,43522.5
112423,112709,74525.0
112423,112743,94348.75
112423,112761,38131.25
112423,112785,50202.5
112423,115901,8611.25
112423,115903,8512.5
112423,196346,3573.75
112423,196349,321130.0
112423,196435,96853.75
112423,196468,6042.5
112423,196514,20887.5
112442,108539,14325.0
112442,112406,40162.5
112442,112421,120461.25
112442,112422,91335.0
112442,112423,15931.25
112442,112436,83726.25
112442,112456,13521.25
112442,112504,71237.5
112442,112563,36795.0
112442,112567,72692.5
112442,112616,3483.75
112442,112679,20521.25
112442,112688,37956.25
112442,112709,16580.0
112442,112743,15327.5
112442,112761,8038.75
112442,112785,253.75
112442,115901,205255.0
112442,115902,426793.75
112442,115903,154775.0
112442,115908,56832.5
112442,196346,1891.25
112442,196349,41486.25
112442,196468,19860.0
112442,196514,11978.75
112456,108539,78392.5
112456,112406,78731.25
112456,112421,120971.25
112456,112422,352906.25
112456,112423,1326153.75
112456,112436,185925.0
112456,112504,226601.25
112456,112563,197041.25
112456,112567,463547.5
112456,112616,22016.25
112456,112679,115920.0
112456,112688,106340.0
112456,112709,54035.0
112456,112743,106920.0
112456,112761,92430.0
112456,112785,65095.0
112456,115901,108357.5
112456,115902,89186.25
112456,115903,1115291.25
112456,115908,168166.25
112456,196346,9717.5
112456,196349,720847.5
112456,196385,31532.5
112456,196435,159575.0
112456,196468,52011.25
112456,196514,2734405.0
112509,108539,16833.75
112509,112406,50908.75
112509,112421,120820.0
112509,112422,72666.25
112509,112423,7376.25
112509,112436,36945.0
112509,112456,3980.0
112509,112504,132121.25
112509,112563,18628.75
112509,112567,51257.5
112509,112616,3992.5
112509,112679,44876.25
112509,112688,60657.5
112509,112709,17242.5
112509,112743,13927.5
112509,112761,21778.75
112509,112785,1860.0
112509,115901,146702.5
112509,115908,51542.5
112509,196346,2321.25
112509,196349,31305.0
112509,196385,5198.75
112509,196428,2087.5
112509,196468,327267.5
112509,196514,8341.25
112556,108539,5690.0
112556,112406,286325.0
