origin,destination,volume
100577,100593,108796.25
100577,100611,3088.75
100577,100645,140.0
100577,100654,67.5
100577,100678,2060.0
100577,100721,4050.0
100577,106638,30972.5
100577,107185,25.0
100577,107428,99027.5
100577,107479,25592.5
100577,107535,32208.75
100577,107573,12287.5
100577,107576,113551.25
100577,107586,54085.0
100577,107609,44893.75
100577,107627,3175.0
100577,107654,5505.0
100577,107707,158182.5
100577,107720,162757.5
100577,107734,119637.5
100577,107763,7138.75
100577,107798,27337.5
100577,107845,428.75
100577,107881,370.0
100577,107883,62.5
100577,107919,273.75
100577,107988,50.0
100577,108057,62.5
100577,108060,388.75
100577,108084,2461.25
100577,108109,85.0
100577,108145,10495.0
100577,108208,712.5
100577,108254,27207.5
100577,108270,3851.25
100577,108272,1672.5
100577,108318,302.5
100577,108368,1346.25
100577,108381,2010.0
100577,108390,4110.0
100577,108442,298.75
100577,108444,456.25
100577,108467,401.25
100577,108492,10.0
100577,108539,317.5
100577,108541,7.5
100577,108597,430.0
100577,108623,685.0
100577,108654,9740.0
100577,108672,7330.0
100577,108692,7353.75
100577,108695,3981.25
100577,108730,21777.5
100577,108738,5328.75
100577,108745,1511.25
100577,111709,22.5
100577,111774,1.25
100577,111776,25437.5
100577,111781,10.0
100577,111870,29623.75
100577,112039,3371.25
100577,112060,1805.0
100577,112084,5296.25
100577,112088,647.5
100577,112125,578.75
100577,112171,106.25
100577,112185,103.75
100577,112212,430.0
100577,112259,0.0
100577,112286,47.5
100577,112309,2.5
100577,112406,20.0
100577,112414,16.25
100577,112422,27.5
100577,112436,2.5
100577,112442,7.5
100577,112476,18.75
100577,112490,2.5
100577,112504,6.25
100577,112509,7.5
100577,112532,5425.0
100577,112536,7191.25
100577,112556,31.25
100577,112563,8.75
100577,112575,5.0
100577,112588,5.0
100577,112602,13233.75
100577,112616,37.5
100577,112643,7.5
100577,112688,136.25
100577,112689,187.5
100577,112709,11.25
100577,112762,166.25
100577,112795,3.75
100577,112813,1.25
100577,112830,1.25
100577,112842,1.25
100577,112867,5.0
100577,112873,65.0
100577,112932,38.75
100577,112953,46.25
100577,113006,10.0
100577,113010,20.0
100577,113017,906.25
100577,113044,1616.25
100577,113083,3293.75
100577,113086,1400.0
100577,113112,1.25
100577,113248,3.75
100577,113309,3.75
100577,113313,1.25
100577,113360,16.25
100577,113411,1.25
100577,115427,0.0
100577,115491,6.25
100577,115502,1.25
100577,115681,0.0
100577,115727,816.25
100577,115741,2873.75
100577,115805,1.25
100577,115836,11.25
100577,115901,2.5
100577,115908,20.0
100577,116073,7923.75
100577,122918,18005.0
100577,122956,156.25
100577,122980,8.75
100577,123020,6480.0
100577,123103,88.75
100577,123205,1.25
100577,123609,22056.25
100577,123922,1.25
100577,126287,1.25
100577,126293,30063.75
100577,126300,248.75
100577,196346,48.75
100577,196780,1196.25
100577,196861,240.0
100577,196873,3110.0
100577,196916,142.5
100577,196922,536.25
100577,196979,78.75
100577,197204,887.5
100577,197219,288.75
100577,197249,113.75
100577,197279,180.0
100577,197286,1413.75
100577,197293,47.5
100577,197294,170.0
100577,197316,145.0
100577,197331,6.25
100577,197392,6.25
100577,197427,10.0
100577,197439,3.75
100577,197445,2.5
100577,197452,3.75
100577,198267,27808.75
100577,198353,6146.25
100577,198420,5391.25
100577,202059,986.25
100577,250152,43.75
100577,250177,43.75
100577,250196,470.0
100577,260813,91677.5
100577,261168,11317.5
100577,261179,217.5
100577,261189,75.0
100593,100577,95047.5
100593,100611,18865.0
100593,100645,833.75
100593,100654,557.5
100593,100678,10336.25
100593,100721,2305.0
100593,106638,28480.0
100593,107428,81916.25
100593,107479,16420.0
100593,107535,10705.0
100593,107573,272.5
100593,107576,6495.0
100593,107586,7090.0
100593,107609,5671.25
100593,107627,150.0
100593,107654,285.0
100593,107707,20105.0
100593,107720,66873.75
100593,107734,86613.75
100593,107798,117597.5
100593,107845,2733.75
100593,107881,2665.0
100593,107883,353.75
100593,107919,2023.75
100593,107988,303.75
100593,108057,55.0
100593,108060,130.0
100593,108084,1522.5
100593,108109,62.5
100593,108145,9305.0
100593,108208,398.75
100593,108254,53472.5
100593,108270,188.75
100593,108272,77.5
100593,108318,12.5
100593,108368,65.0
100593,108381,93.75
100593,108390,297.5
100593,108442,12.5
100593,108444,16.25
100593,108467,16.25
100593,108539,10.0
100593,108597,16.25
100593,108623,38.75
100593,108654,361.25
100593,108672,346.25
100593,108692,245.0
100593,108695,148.75
100593,108730,3006.25
100593,108738,177.5
100593,108745,60.0
100593,111774,4710.0
100593,111776,5541.25
100593,111781,18.75
100593,111870,1421.25
100593,112039,152.5
100593,112060,91.25
100593,112084,275.0
100593,112088,31.25
100593,112125,26.25
100593,112171,6.25
100593,112185,0.0
100593,112212,47.5
100593,112532,2507.5
100593,112536,3162.5
100593,112602,6281.25
100593,112688,5.0
100593,112689,5.0
100593,112762,5.0
100593,112873,1.25
100593,113017,35.0
100593,113044,58.75
100593,113083,173.75
100593,113086,56.25
100593,113112,3.75
100593,113248,1.25
100593,113360,6.25
100593,115727,391.25
100593,115741,1263.75
100593,116073,3860.0
100593,122918,7911.25
100593,122956,5.0
100593,123020,303.75
100593,123103,18.75
100593,123609,13925.0
100593,123922,15.0
100593,126293,156918.75
100593,126300,1063.75
100593,196346,0.0
100593,196780,5327.5
100593,196861,197.5
100593,196873,851.25
100593,196916,38.75
100593,196922,165.0
100593,196979,20.0
100593,197204,5358.75
100593,197219,1843.75
100593,197249,555.0
100593,197279,458.75
100593,197286,1413.75
100593,197293,68.75
100593,197294,231.25
100593,197316,181.25
100593,197331,7.5
100593,197392,6.25
100593,197427,12.5
100593,197439,2.5
100593,197445,5.0
100593,197452,6.25
100593,198267,14013.75
100593,198353,3221.25
100593,198420,2673.75
100593,202059,442.5
100593,250177,67.5
100593,250196,3123.75
100593,261168,17153.75
100593,261179,7.5
100593,261189,590.0
100611,100577,3500.0
100611,100593,19968.75
100611,100645,10653.75
100611,100654,7763.75
100611,100678,12637.5
100611,100721,591.25
100611,106638,11596.25
100611,107428,25610.0
100611,107479,4345.0
100611,107535,3246.25
100611,107573,22.5
100611,107576,588.75
100611,107586,1180.0
100611,107609,1310.0
100611,107627,36.25
100611,107654,63.75
100611,107707,766.25
100611,107720,3021.25
100611,107734,8261.25
100611,107798,131901.25
100611,107845,35662.5
100611,107881,29545.0
100611,107883,4776.25
100611,107919,25250.0
100611,107988,3476.25
100611,108057,110.0
100611,108060,210.0
100611,108084,433.75
100611,108109,116.25
100611,108145,11531.25
100611,108208,538.75
100611,108254,56758.75
100611,108270,42.5
100611,108272,16.25
100611,108318,1.25
100611,108368,12.5
100611,108381,52.5
100611,108390,177.5
100611,108442,1.25
100611,108444,2.5
100611,108467,23.75
100611,108539,1.25
100611,108597,2.5
100611,108607,2.5
100611,108623,5.0
100611,108631,1.25
100611,108654,67.5
100611,108663,43.75
100611,108672,85.0
100611,108692,51.25
100611,108695,22.5
100611,108730,492.5
100611,108738,31.25
100611,108745,11.25
100611,108757,10.0
100611,108788,1057.5
100611,108800,30.0
100611,108808,3.75
100611,111774,5538.75
100611,111781,48.75
100611,111870,350.0
100611,112039,26.25
100611,112060,20.0
100611,112084,57.5
100611,112088,5.0
100611,112125,2.5
100611,112171,7.5
100611,112185,1.25
100611,112212,56.25
100611,112286,0.0
100611,112532,720.0
100611,112536,1113.75
100611,112602,5430.0
100611,112688,0.0
100611,113017,5.0
100611,113044,10.0
100611,113083,33.75
100611,113086,10.0
100611,113112,3.75
100611,113248,3.75
100611,113313,1.25
100611,113360,7.5
100611,115727,95.0
100611,115741,376.25
100611,116073,1196.25
100611,122918,2415.0
100611,122956,1.25
100611,123020,72.5
100611,123103,22.5
100611,123609,6341.25
100611,123620,1038.75
100611,123922,311.25
100611,124358,6.25
100611,126293,5460.0
100611,126300,15485.0
100611,196253,25.0
100611,196330,6111.25
100611,196780,22035.0
100611,196861,355.0
100611,196873,910.0
100611,196916,50.0
100611,196922,187.5
100611,196979,27.5
100611,197204,35572.5
100611,197219,7666.25
100611,197249,2808.75
100611,197279,1602.5
100611,197286,3136.25
100611,197293,110.0
100611,197294,516.25
100611,197316,336.25
100611,197331,30.0
100611,197392,18.75
100611,197427,22.5
100611,197439,10.0
100611,197445,8.75
100611,197452,11.25
100611,198353,960.0
100611,198420,805.0
100611,202059,117.5
100611,250177,317.5
100611,250196,20808.75
100611,261168,16790.0
100611,261179,1.25
100611,261186,30.0
100611,261189,7381.25
100645,100577,103.75
100645,100593,585.0
100645,100611,7150.0
100645,100654,28668.75
100645,100678,1637.5
100645,106638,36661.25
100645,107428,1780.0
100645,107479,397.5
100645,107535,496.25
100645,107573,1.25
100645,107576,50.0
100645,107586,100.0
100645,107609,151.25
100645,107627,1.25
100645,107654,3.75
100645,107707,18.75
100645,107720,3773.75
100645,107734,238.75
100645,107798,26771.25
100645,107845,106620.0
100645,107881,5830.0
100645,107883,5478.75
100645,107919,50196.25
100645,107988,41667.5
100645,108057,572.5
100645,108060,832.5
100645,108084,462.5
100645,108109,526.25
100645,108145,4136.25
100645,108208,772.5
100645,108254,2042.5
100645,108270,6.25
100645,108272,1.25
100645,108368,1.25
100645,108381,17.5
100645,108390,46.25
100645,108467,10.0
100645,108654,2.5
100645,108663,1.25
100645,108672,6.25
100645,108692,2.5
100645,108695,0.0
100645,108730,40.0
100645,108738,1.25
100645,108788,1013.75
100645,108800,1.25
100645,111709,2080.0
100645,111774,14666.25
100645,111781,1218.75
100645,111870,30.0
100645,112039,5.0
100645,112060,1.25
100645,112084,3.75
100645,112088,1.25
100645,112125,1.25
100645,112171,2.5
100645,112212,28.75
100645,112286,1.25
100645,112532,2402.5
100645,112536,2166.25
100645,112602,6190.0
100645,113083,1.25
100645,113112,103.75
100645,113169,1.25
100645,113176,2.5
100645,113195,3.75
100645,113231,1.25
100645,113239,17.5
100645,113248,32.5
100645,113309,2.5
100645,113313,12.5
100645,113360,91.25
100645,113411,1.25
100645,115727,98.75
100645,115741,401.25
100645,115924,5.0
100645,116073,1397.5
100645,122918,2456.25
100645,123020,13.75
100645,123103,53.75
100645,123609,16436.25
100645,123620,963.75
100645,123922,12387.5
100645,124358,975.0
100645,126287,1.25
100645,126293,1688.75
100645,126300,14241.25
100645,196253,1.25
100645,196330,1522.5
100645,196780,1747.5
100645,196861,1502.5
100645,196873,271.25
100645,196916,36.25
100645,196922,150.0
100645,196979,85.0
100645,197204,41112.5
100645,197219,30571.25
100645,197249,53468.75
100645,197279,9292.5
100645,197286,9810.0
100645,197293,2196.25
100645,197294,7683.75
100645,197316,1623.75
100645,197331,700.0
100645,197392,552.5
100645,197427,147.5
100645,197439,97.5
100645,197445,123.75
100645,197452,103.75
100645,198353,320.0
100645,198420,598.75
100645,202059,241.25
100645,250177,7370.0
100645,250196,2496.25
100645,261168,12903.75
100645,261186,1.25
100645,261189,17445.0
100654,100577,47.5
100654,100593,362.5
100654,100611,5223.75
100654,100645,25381.25
100654,100678,2052.5
100654,106638,24478.75
100654,107428,863.75
100654,107479,172.5
100654,107535,182.5
100654,107576,21.25
100654,107586,38.75
100654,107609,56.25
100654,107627,1.25
100654,107654,1.25
100654,107707,8.75
100654,107720,7702.5
100654,107734,142.5
100654,107798,17817.5
100654,107845,33957.5
100654,107881,12732.5
100654,107883,13516.25
100654,107919,47363.75
100654,107988,19308.75
100654,108057,123.75
100654,108060,182.5
100654,108084,1328.75
100654,108109,115.0
100654,108145,1358.75
100654,108208,182.5
100654,108254,1372.5
100654,108270,2.5
100654,108381,2.5
100654,108390,6.25
100654,108467,1.25
100654,108654,0.0
100654,108672,1.25
100654,108730,17.5
100654,108788,2032.5
100654,111774,2528.75
100654,111781,122.5
100654,111870,11.25
100654,112039,1.25
100654,112084,1.25
100654,112212,6.25
100654,112532,4565.0
100654,112536,3890.0
100654,112602,5873.75
100654,113112,3.75
100654,113239,1.25
100654,113248,5.0
100654,113313,1.25
100654,113360,6.25
100654,115727,240.0
100654,115741,718.75
100654,116073,2296.25
100654,122918,4451.25
100654,123020,2.5
100654,123103,6.25
100654,123609,131055.0
100654,123620,18153.75
100654,124358,1296.25
100654,126293,4095.0
100654,126300,25001.25
100654,196330,12642.5
100654,196780,2081.25
100654,196861,347.5
100654,196873,72.5
100654,196916,7.5
100654,196922,32.5
100654,196979,17.5
100654,197204,18301.25
100654,197219,12292.5
100654,197249,7411.25
100654,197279,2306.25
100654,197286,2457.5
100654,197293,223.75
100654,197294,871.25
100654,197316,388.75
100654,197331,68.75
100654,197392,50.0
100654,197427,26.25
100654,197439,8.75
100654,197445,11.25
100654,197452,12.5
100654,198353,2727.5
100654,198420,2093.75
100654,202059,527.5
100654,250177,745.0
100654,250196,2907.5
100654,261168,25698.75
100654,261189,15467.5
100678,100577,1096.25
100678,100593,5176.25
100678,100611,7910.0
100678,100645,1068.75
100678,100654,1490.0
100678,100721,163.75
100678,106638,3457.5
100678,107428,3235.0
100678,107479,522.5
100678,107535,413.75
100678,107573,2.5
100678,107576,70.0
100678,107586,150.0
