origin,destination,volume
100699,100746,1.25
100699,116138,4298.75
100699,116410,758.75
100699,120507,22118.75
100699,120508,12741.25
100699,120537,18206.25
100699,120553,3736.25
100699,120711,167.5
100699,124372,162.5
100699,130110,305.0
100699,197591,489037.5
100722,116138,7297.5
100722,120507,42285.0
100722,120508,21996.25
100722,120537,3663.75
100722,120553,77.5
100722,197591,388238.75
100742,120711,15137.5
100742,124372,7281.25
100742,130110,12808.75
100746,100699,1.25
100746,116072,5945.0
100746,116138,32.5
100746,116410,3920.0
100746,120507,156.25
100746,120508,70.0
100746,120537,95.0
100746,120553,322.5
100746,120711,4185.0
100746,124372,3452.5
100746,130110,5957.5
100746,197591,2985.0
116072,100746,15037.5
116072,116138,97.5
116072,116410,543831.25
116072,120507,625.0
116072,120508,353.75
116072,120537,37382.5
116072,120553,68768.75
116072,120711,97200.0
116072,124372,106122.5
116072,130110,178511.25
116072,197591,4306.25
116138,100699,2057.5
116138,100722,3238.75
116138,100746,30.0
116138,116072,168.75
116138,116410,41068.75
116138,120507,33690.0
116138,120508,28506.25
116138,120537,57742.5
116138,120553,25727.5
116138,120711,29845.0
116138,124372,24166.25
116138,130110,58958.75
116138,197591,38838.75
116410,100699,1257.5
116410,100746,5630.0
116410,116072,456868.75
116410,116138,48548.75
116410,120507,75998.75
116410,120508,80773.75
116410,120537,195303.75
116410,120553,259026.25
116410,120711,217103.75
116410,124372,304115.0
116410,130110,421915.0
116410,197591,175262.5
120507,100699,13646.25
120507,100722,24111.25
120507,100746,225.0
120507,116072,922.5
120507,116138,45637.5
120507,116410,78441.25
120507,120508,50362.5
120507,120537,110233.75
120507,120553,49855.0
120507,120711,53516.25
120507,124372,45287.5
120507,130110,91362.5
120507,197591,96417.5
120508,100699,8105.0
120508,100722,15266.25
120508,100746,103.75
120508,116072,603.75
120508,116138,31013.75
120508,116410,75455.0
120508,120507,45272.5
120508,120537,111390.0
120508,120553,45655.0
120508,120711,46607.5
120508,124372,33457.5
120508,130110,85408.75
120508,197591,53492.5
120537,100699,19016.25
120537,100722,3623.75
120537,100746,167.5
120537,116072,27970.0
120537,116138,69611.25
120537,116410,197413.75
120537,120507,106121.25
120537,120508,117327.5
120537,120553,129561.25
120537,120711,114753.75
120537,124372,95266.25
120537,130110,211102.5
120537,197591,116071.25
120553,100699,1965.0
120553,100722,122.5
120553,100746,376.25
120553,116072,41510.0
120553,116138,31388.75
120553,116410,253511.25
120553,120507,46538.75
120553,120508,48040.0
120553,120537,131527.5
120553,120711,91592.5
120553,124372,98088.75
120553,130110,191180.0
120553,197591,55372.5
120711,100699,315.0
120711,100742,20027.5
120711,100746,6602.5
120711,116072,83825.0
120711,116138,36767.5
120711,116410,212173.75
120711,120507,48897.5
120711,120508,50193.75
120711,120537,113230.0
120711,120553,89557.5
120711,124372,199476.25
120711,130110,324271.25
120711,197591,54670.0
124372,100699,353.75
124372,100742,7783.75
124372,100746,6036.25
124372,116072,81977.5
124372,116138,29210.0
124372,116410,316781.25
124372,120507,42498.75
124372,120508,37537.5
124372,120537,94237.5
124372,120553,102146.25
124372,120711,197492.5
124372,130110,296331.25
124372,197591,48465.0
130110,100699,440.0
130110,100742,13131.25
130110,100746,9190.0
130110,116072,123550.0
130110,116138,70352.5
130110,116410,429746.25
130110,120507,89108.75
130110,120508,87388.75
130110,120537,206905.0
130110,120553,189875.0
130110,120711,307348.75
130110,124372,291260.0
130110,197591,103165.0
197591,100699,331590.0
197591,100722,287355.0
197591,100746,4998.75
197591,116072,5686.25
197591,116138,39552.5
197591,116410,137225.0
197591,120507,81491.25
197591,120508,58403.75
197591,120537,113433.75
197591,120553,53396.25
197591,120711,50947.5
197591,124372,45901.25
197591,130110,90618.75
