origin,destination,volume
117706,117714,18670.0
117706,121275,7915.0
117706,124478,2557.5
117714,117706,15423.75
117714,121532,130933.75
117714,124478,27340.0
121275,117706,2090.0
121275,121286,1015.0
121275,121532,25041.25
121275,121549,3941.25
121275,262062,37303.75
121275,262113,2073.75
121286,121275,3945.0
121286,121532,7918.75
121286,121549,2761.25
121286,124478,957.5
121286,262062,6365.0
121286,262113,427.5
121532,117714,53101.25
121532,121275,55958.75
121532,121286,17268.75
121532,121549,21933.75
121532,124478,14812.5
121532,262062,36586.25
121532,262113,3437.5
121549,121275,4730.0
121549,121286,3111.25
121549,121532,15396.25
121549,124478,1272.5
121549,262062,11515.0
121549,262113,465.0
124478,117706,867.5
124478,117714,11415.0
124478,121286,372.5
124478,121532,9385.0
124478,121549,1015.0
124478,262113,395.0
262062,121275,351550.0
262062,121286,7881.25
262062,121532,32137.5
262062,121549,38383.75
262113,121275,11712.5
262113,121286,538.75
262113,121532,11248.75
262113,121549,3352.5
262113,124478,1480.0
