origin,destination,volume
100766,100775,41742.5
100766,100799,1800.0
100766,100809,25768.75
100766,100830,16226.25
100766,100938,33506.25
100766,101047,462.5
100766,101166,226.25
100766,101212,1.25
100766,101221,6.25
100766,101243,1740.0
100766,101257,396.25
100766,101261,466.25
100766,101268,412.5
100766,101270,2.5
100766,101487,10.0
100766,101559,13.75
100766,101595,6.25
100766,101642,6.25
100766,101660,200.0
100766,101768,1.25
100766,101776,1.25
100766,190554,2547.5
100766,190589,325.0
100775,100766,12016.25
100775,100799,293720.0
100775,100809,125605.0
100775,100830,56901.25
100775,100849,382.5
100775,100931,2.5
100775,100938,84766.25
100775,100951,118.75
100775,100976,198.75
100775,101042,105.0
100775,101047,1665.0
100775,101068,93.75
100775,101146,120.0
100775,101166,14293.75
100775,101204,8.75
100775,101212,112.5
100775,101221,796.25
100775,101243,8648.75
100775,101257,2055.0
100775,101261,1113.75
100775,101270,7.5
100775,101308,8.75
100775,101346,6.25
100775,101375,5.0
100775,101392,420.0
100775,101434,48.75
100775,101487,26506.25
100775,101504,383.75
100775,101534,166.25
100775,101559,2566.25
100775,101582,2.5
100775,101595,39291.25
100775,101641,156.25
100775,101642,22.5
100775,101648,172.5
100775,101660,3887.5
100775,101661,488.75
100775,101692,466.25
100775,101701,98.75
100775,101709,1955.0
100775,101746,78.75
100775,101768,10473.75
100775,101776,66286.25
100775,101800,1136.25
100775,168002,26.25
100775,190554,17048.75
100775,190589,23218.75
100775,250103,8.75
100799,100766,78558.75
100799,100775,406328.75
100799,100809,31276.25
100799,100830,11378.75
100799,100849,62.5
100799,100938,13480.0
100799,100951,1.25
100799,100976,28.75
100799,101047,380.0
100799,101166,855.0
100799,101212,6.25
100799,101221,115.0
100799,101243,19628.75
100799,101257,1073.75
100799,101261,441.25
100799,101270,1.25
100799,101392,3.75
100799,101487,142.5
100799,101504,1.25
100799,101559,13.75
100799,101595,240.0
100799,101641,1.25
100799,101642,3.75
100799,101660,146.25
100799,101661,2.5
100799,101692,2.5
100799,101709,16.25
100799,101768,50.0
100799,101776,391.25
100799,101800,10.0
100799,190554,1993.75
100799,190589,16746.25
100809,100766,61385.0
100809,100775,78723.75
100809,100799,31376.25
100809,100830,122557.5
100809,100849,2.5
100809,100931,1.25
100809,100938,176688.75
100809,100951,26.25
100809,100976,47.5
100809,101042,16.25
100809,101047,1528.75
100809,101068,12.5
100809,101212,25.0
100809,101221,36.25
100809,101243,37898.75
100809,101434,10.0
100809,101487,14566.25
100809,101504,128.75
100809,101534,65.0
100809,101559,111.25
100809,101582,3.75
100809,101595,10207.5
100809,101701,8.75
100809,101800,78.75
100809,190554,29628.75
100809,190589,76085.0
100830,100766,29688.75
100830,100775,19206.25
100830,100799,5230.0
100830,100809,91241.25
100830,100849,2305.0
100830,100976,1581.25
100830,101221,626.25
100830,101243,150.0
100830,190554,120.0
100830,190589,4980.0
100849,100775,211.25
100849,100799,6.25
100849,100809,3.75
100849,100830,7327.5
100849,100931,80510.0
100849,100938,38728.75
100849,100951,12123.75
100849,100976,78990.0
100849,101019,1846.25
100849,101047,1473.75
100849,101068,568.75
100849,101146,237.5
100849,101166,7711.25
100849,101204,8.75
100849,101212,15356.25
100849,101221,8070.0
100849,101243,6446.25
100849,101257,24352.5
100849,101261,275.0
100849,101268,4368.75
100849,101270,1803.75
100849,101298,1026.25
100849,101392,1.25
100849,101487,9487.5
100849,101504,1.25
100849,101559,3.75
100849,101595,1705.0
100849,101642,7.5
100849,101660,327.5
100849,101661,2.5
100849,101692,1.25
100849,101701,7341.25
100849,101709,2.5
100849,101768,32.5
100849,101776,202.5
100849,101800,1.25
100849,168002,300.0
100849,190382,767.5
100849,190554,272.5
100849,190589,13637.5
100931,100775,6.25
100931,100809,1.25
100931,100849,72727.5
100931,100938,66303.75
100931,100951,33571.25
100931,100976,58907.5
100931,101019,43133.75
100931,101047,1992.5
100931,101068,8692.5
100931,101146,21.25
100931,101166,20381.25
100931,101204,1.25
100931,101212,92848.75
100931,101221,14433.75
100931,101243,446.25
100931,101257,16477.5
100931,101261,216.25
100931,101268,10301.25
100931,101270,181.25
100931,101298,8051.25
100931,101487,9851.25
100931,101534,3.75
100931,101559,1.25
100931,101595,5516.25
100931,101642,15.0
100931,101660,546.25
100931,101661,1.25
100931,101701,30453.75
100931,101709,1.25
100931,101768,13.75
100931,101776,22.5
100931,101800,1.25
100931,168002,2077.5
100931,190382,1156.25
100931,190554,73.75
100931,190589,450.0
100938,100766,87831.25
100938,100775,53038.75
100938,100799,12545.0
100938,100809,155717.5
100938,100849,20387.5
100938,100931,69702.5
100938,100951,185072.5
100938,100976,151201.25
100938,101019,22752.5
100938,101047,609305.0
100938,101068,90981.25
100938,101146,28236.25
100938,101166,273897.5
100938,101204,3205.0
100938,101212,63075.0
100938,101221,22815.0
100938,101243,8090.0
100938,101257,42807.5
100938,101261,61842.5
100938,101268,174998.75
100938,101270,7488.75
100938,101298,123275.0
100938,101303,5723.75
100938,101308,2970.0
100938,101346,7302.5
100938,101375,2135.0
100938,101392,49662.5
100938,101534,2831.25
100938,101559,28077.5
100938,101582,16152.5
100938,101595,96216.25
100938,101641,11591.25
100938,101648,1231.25
100938,101660,460.0
100938,101661,12898.75
100938,101692,14292.5
100938,101701,163702.5
100938,101709,2741.25
100938,101729,19101.25
100938,101746,3666.25
100938,101768,17247.5
100938,101776,19443.75
100938,101800,35328.75
100938,168002,29058.75
100938,190382,15050.0
100938,190554,7087.5
100938,190589,36345.0
100938,250103,30780.0
100951,100849,245.0
100951,100931,33931.25
100951,100938,199612.5
100951,100976,56898.75
100951,101019,215.0
100951,101042,8.75
100951,101047,6995.0
100951,101068,24897.5
100951,101166,48631.25
100951,101212,129303.75
100951,101221,16.25
100951,101257,25.0
100951,101268,27767.5
100951,101298,23608.75
100951,101487,31221.25
100951,101595,558.75
100951,101642,42.5
100951,101660,1491.25
100951,101701,188507.5
100951,101768,2.5
100951,101776,5.0
100951,168002,20.0
100951,190382,3100.0
100951,190589,3.75
100976,100775,443.75
100976,100799,12.5
100976,100809,32.5
100976,100830,4772.5
100976,100849,27997.5
100976,100931,166600.0
100976,100938,184588.75
100976,100951,45766.25
100976,101019,20403.75
100976,101042,2.5
100976,101047,5730.0
100976,101068,4723.75
100976,101146,142.5
100976,101166,27276.25
100976,101204,6.25
100976,101212,115486.25
100976,101221,32603.75
100976,101243,2470.0
100976,101257,25447.5
100976,101261,243.75
100976,101268,28405.0
100976,101270,852.5
100976,101298,16825.0
100976,101392,3.75
100976,101487,35042.5
100976,101504,10.0
100976,101534,17.5
100976,101559,61.25
100976,101595,8061.25
100976,101641,2.5
100976,101642,37.5
100976,101648,0.0
100976,101660,1535.0
100976,101661,46.25
100976,101692,16.25
