origin,destination,volume
117051,117060,13616.25
117051,120843,3003.75
117051,120844,5540.0
117051,120865,1482.5
117051,120880,121.25
117051,120893,18112.5
117051,120908,7.5
117051,120917,140873.75
117051,120952,46948.75
117051,120960,31986.25
117051,120971,84947.5
117051,120984,64277.5
117051,120992,28613.75
117051,168030,48448.75
117051,201086,1157.5
117051,201941,65.0
117051,250624,971.25
117060,117051,14843.75
117060,120843,46196.25
117060,120844,1063.75
117060,120865,27.5
117060,120880,50.0
117060,120893,705.0
117060,120917,8840.0
117060,120952,323.75
117060,120960,1376.25
117060,120971,64517.5
117060,120984,10440.0
117060,120992,172371.25
117060,168030,501.25
117060,201086,163.75
117060,201941,2.5
117060,250624,75.0
120843,117051,4648.75
120843,117060,26162.5
120843,120844,86860.0
120843,120865,16228.75
120843,120893,1822.5
120843,120908,1.25
120843,120917,442.5
120843,120952,200.0
120843,120960,2698.75
120843,120971,3461.25
120843,120984,42687.5
120843,120992,12450.0
120843,168030,12677.5
120843,201086,315.0
120843,201941,12.5
120843,250624,331.25
120844,117051,5376.25
120844,117060,290.0
120844,120843,83973.75
120844,120865,1565.0
120844,120880,112.5
120844,120893,4688.75
120844,120908,27.5
120844,120917,2100.0
120844,120952,50.0
120844,120960,29153.75
120844,120971,476.25
120844,120984,127.5
120844,120992,14216.25
120844,168030,46.25
120844,201086,4985.0
120844,201941,237.5
120844,250624,4467.5
120865,117051,393.75
120865,117060,8.75
120865,120843,10372.5
120865,120844,616.25
120865,120893,342.5
120865,120908,2.5
120865,120952,118.75
120865,120971,236.25
120865,120984,4222.5
120865,120992,2437.5
120865,168030,5381.25
120865,201086,455.0
120865,201941,25.0
120865,250624,6850.0
120880,117051,67.5
120880,117060,11.25
120880,120844,852.5
120880,120893,720.0
120880,120908,0.0
120880,120952,5.0
120880,120971,1.25
120880,120984,21.25
120880,120992,171.25
120880,168030,22.5
120880,201086,60.0
120880,201941,7.5
120880,250624,512.5
120893,117051,10296.25
120893,117060,23.75
120893,120843,152.5
120893,120844,2410.0
120893,120865,902.5
120893,120880,92.5
120893,120908,103.75
120893,120917,17.5
120893,120952,1121.25
120893,120971,8.75
120893,120984,16.25
120893,120992,7633.75
120893,168030,35.0
120893,201086,22018.75
120893,201941,497.5
120908,117051,8.75
120908,117060,3.75
120908,120843,1.25
120908,120844,40.0
120908,120865,1.25
120908,120893,15.0
120908,120917,2.5
120908,120952,2.5
120908,120971,3.75
120908,120984,1.25
120908,120992,12.5
120908,201086,620.0
120917,117051,224868.75
120917,117060,40942.5
