origin,destination,volume
100267,100459,951.25
100267,101910,583.75
100267,101986,381.25
100267,102163,847.5
100267,102188,371.25
100267,102191,513.75
100267,102220,1043.75
100267,102257,2870.0
100267,102285,8742.5
100267,102344,151.25
100267,102394,481.25
100267,102407,1386.25
100267,102499,712.5
100267,102717,326.25
100267,102754,142.5
100267,102856,1108.75
100267,104855,496.25
100267,107610,373.75
100267,108877,2115.0
100267,108913,6785.0
100267,108957,2472.5
100267,108996,1292.5
100267,109002,3927.5
100267,109028,2876.25
100267,109029,9275.0
100267,109065,90331.25
100267,109087,15268.75
100267,109124,50117.5
100267,109127,60392.5
100267,109208,5666.25
100267,109247,4088.75
100267,109299,2232.5
100267,109342,780.0
100267,109431,2715.0
100267,109433,828.75
100267,109438,1546.25
100267,109449,810.0
100267,109467,517.5
100267,109815,3603.75
100267,109868,1775.0
100267,109909,842.5
100267,109910,1131.25
100267,109951,357.5
100267,110055,1693.75
100267,110104,447.5
100267,113697,4261.25
100267,113767,4336.25
100267,113888,1112.5
100267,122855,846.25
100267,180316,437.5
100267,250385,433.75
100389,100459,7.5
100389,101505,256.25
100389,101910,3.75
100389,101986,3.75
100389,102009,30.0
100389,102038,215.0
100389,102163,10.0
100389,102188,3.75
100389,102191,3.75
100389,102220,10.0
100389,102257,32.5
100389,102285,83.75
100389,102344,1.25
100389,102394,5.0
100389,102407,18.75
100389,102499,8.75
100389,102518,131.25
100389,102568,26.25
100389,102585,76.25
100389,102624,27.5
100389,102717,6.25
100389,102754,23.75
100389,102775,10.0
100389,102800,25.0
100389,102856,33.75
100389,102978,37.5
100389,104855,7.5
100389,107097,22683.75
100389,107610,15.0
100389,108877,75.0
100389,108913,273.75
100389,108957,102.5
100389,108996,11.25
100389,109002,133.75
100389,109028,137.5
100389,109029,248.75
100389,109065,31.25
100389,109087,81.25
100389,109124,156.25
100389,109127,245.0
100389,109157,177.5
100389,109160,80.0
100389,109208,235.0
100389,109247,190.0
100389,109299,95.0
100389,109342,10.0
100389,109431,27.5
100389,109433,6.25
100389,109438,12.5
100389,109449,35.0
100389,109467,18.75
100389,109556,48.75
100389,109601,22.5
100389,109627,571.25
100389,109687,126.25
100389,109700,227.5
100389,109701,221.25
100389,109733,40.0
100389,109815,25.0
100389,109868,11.25
100389,109909,5.0
100389,109910,8.75
100389,109951,2.5
100389,110055,12.5
100389,110104,3.75
100389,110124,57.5
100389,112710,306.25
100389,113697,138.75
100389,113767,167.5
100389,113805,203.75
100389,113845,528.75
100389,113888,6.25
100389,122518,18.75
100389,122533,63.75
100389,122662,203.75
100389,122855,5.0
100389,180316,8.75
100389,202046,4580.0
100389,250385,3.75
100389,260087,1772.5
100459,100267,800.0
100459,100389,13.75
100459,100705,5237.5
100459,101505,475.0
100459,101910,15.0
100459,101950,10.0
100459,102009,1.25
100459,102163,194986.25
100459,102188,2231.25
100459,102191,5678.75
100459,102220,4603.75
100459,102257,203741.25
100459,102285,11107.5
100459,102344,2890.0
100459,102394,152922.5
100459,102407,174880.0
100459,102499,20803.75
100459,102518,201.25
100459,102624,136.25
100459,102666,5693.75
100459,102692,42.5
100459,102700,4118.75
100459,102717,80.0
100459,102754,13748.75
100459,102775,1216.25
100459,102800,85.0
100459,102856,19492.5
100459,102945,1.25
100459,102978,26.25
100459,102995,83.75
100459,104855,12836.25
100459,108769,1040.0
100459,109342,297.5
100459,109431,3.75
100459,109433,3.75
100459,109601,6071.25
100459,109627,2.5
100459,109815,437.5
100459,109868,8.75
100459,109910,0.0
100459,110055,12.5
100459,110104,2228.75
100459,113805,267.5
100459,113845,2308.75
100459,122665,5668.75
100459,122855,30.0
100459,122898,33.75
100459,180316,52067.5
100459,202046,1410.0
100459,250385,70660.0
100459,260087,1230.0
100459,260482,50.0
100705,100459,4060.0
100705,101910,1916.25
100705,101950,131.25
100705,101986,536.25
100705,102163,2993.75
100705,102188,1617.5
100705,102191,2376.25
100705,102220,9637.5
100705,102257,17593.75
100705,102344,14108.75
100705,102394,9335.0
100705,102407,23282.5
100705,102499,3132.5
100705,102717,952.5
100705,102754,4156.25
100705,102856,12647.5
100705,104855,4688.75
100705,107610,1050.0
100705,108877,4021.25
100705,108913,9880.0
100705,108957,5335.0
100705,108996,2583.75
100705,109002,6381.25
100705,109028,6522.5
100705,109029,15313.75
100705,109124,6917.5
100705,109208,13322.5
100705,109247,11308.75
100705,109299,5386.25
100705,109342,2362.5
100705,109431,6286.25
100705,109433,2893.75
100705,109449,2315.0
100705,109467,1312.5
100705,109601,43638.75
100705,109627,30617.5
100705,109815,9468.75
100705,109868,4490.0
100705,109909,2075.0
100705,109910,3247.5
100705,109951,1422.5
100705,110055,6128.75
100705,110104,1958.75
100705,113697,5958.75
100705,113767,10533.75
100705,113805,56368.75
100705,113845,40477.5
100705,113888,3346.25
100705,122665,5687.5
100705,122855,2488.75
100705,122898,81.25
100705,180316,2517.5
100705,250385,3093.75
101052,102324,742495.0
101505,100389,263.75
101505,100459,913.75
101505,101910,327.5
101505,101950,63.75
101505,101986,125.0
101505,102009,8713.75
101505,102038,35710.0
101505,102163,695.0
101505,102188,322.5
101505,102191,538.75
101505,102220,2446.25
101505,102257,3786.25
101505,102285,13381.25
101505,102344,16971.25
101505,102394,1533.75
101505,102407,8155.0
101505,102499,661.25
101505,102518,47557.5
101505,102568,16673.75
101505,102585,21496.25
101505,102624,4888.75
101505,102663,5510.0
101505,102666,41198.75
101505,102692,1343.75
101505,102700,177562.5
101505,102707,5055.0
101505,102717,226.25
101505,102754,1053.75
101505,102775,38695.0
101505,102800,20933.75
101505,102856,67536.25
101505,102886,325.0
101505,102903,947.5
101505,102945,1936.25
101505,102978,30098.75
101505,102995,50552.5
101505,103035,4071.25
101505,104855,1342.5
101505,107610,218.75
101505,108769,4455.0
101505,108877,655.0
101505,108913,1828.75
101505,108957,706.25
101505,108996,476.25
101505,109002,1325.0
101505,109028,1248.75
101505,109029,3076.25
101505,109065,6225.0
101505,109087,2978.75
101505,109124,1113.75
101505,109127,9450.0
101505,109157,7665.0
101505,109160,3847.5
101505,109208,2091.25
101505,109247,1997.5
101505,109299,935.0
101505,109342,476.25
101505,109431,1258.75
101505,109433,402.5
101505,109438,2112.5
101505,109449,465.0
101505,109467,298.75
101505,109556,10320.0
101505,109601,5511.25
101505,109627,5556.25
101505,109687,25783.75
101505,109700,42852.5
101505,109701,48038.75
101505,109733,11027.5
101505,109815,2150.0
101505,109868,901.25
101505,109909,496.25
101505,109910,667.5
101505,109951,351.25
101505,110055,1221.25
101505,110104,388.75
101505,110124,12680.0
101505,112710,1302.5
101505,113697,1025.0
101505,113767,1590.0
101505,113805,9517.5
101505,113845,16566.25
101505,113888,775.0
101505,122518,2681.25
101505,122533,15797.5
101505,122665,232.5
101505,122855,571.25
101505,122898,91.25
101505,180316,625.0
101505,202046,327797.5
101505,250385,761.25
101505,260087,187008.75
101505,260482,472823.75
101910,100267,450.0
101910,100389,7.5
101910,100459,328.75
101910,100705,2252.5
101910,101505,195.0
101910,101950,8.75
101910,101986,180.0
101910,102009,231.25
101910,102038,1.25
101910,102163,28148.75
101910,102188,64941.25
101910,102191,6931.25
101910,102220,2.5
101910,102257,8957.5
101910,102285,5966.25
101910,102499,4237.5
101910,102518,78.75
101910,102624,95.0
101910,102666,1141.25
101910,102692,1778.75
101910,102700,173.75
101910,102717,6213.75
101910,102754,3265.0
101910,102995,3.75
101910,107097,978.75
101910,107610,23300.0
101910,108769,1982.5
101910,108877,332.5
101910,108913,25771.25
101910,108957,4343.75
101910,108996,45528.75
101910,109002,7177.5
101910,109028,1913.75
101910,109029,316.25
101910,109087,15.0
101910,109124,16.25
101910,109127,17.5
101910,109208,742.5
101910,109247,18.75
101910,109299,1591.25
101910,109342,80425.0
101910,109431,55211.25
101910,109433,138702.5
101910,109438,315.0
101910,109449,16332.5
101910,109467,481.25
101910,109556,17.5
101910,109601,5788.75
101910,109627,126.25
101910,109815,37157.5
101910,109868,61162.5
101910,109909,111055.0
101910,109910,64100.0
101910,109951,2216.25
101910,110055,10375.0
101910,110104,6717.5
101910,110124,2.5
101910,113697,1927.5
101910,113767,1395.0
101910,113805,1187.5
101910,113845,1765.0
101910,113888,323.75
101910,122533,281.25
101910,122665,5458.75
101910,122855,16501.25
101910,122898,33.75
101910,180316,32.5
101910,202046,1645.0
101910,260087,1123.75
101910,260482,8.75
101950,100459,13.75
101950,100705,306.25
101950,101505,166.25
101950,101910,15.0
101950,102163,246.25
101950,102188,8.75
101950,102191,1530.0
101950,102220,620.0
101950,102257,1311.25
101950,102285,11310.0
101950,102344,7.5
101950,102394,138.75
101950,102407,78.75
101950,102775,30.0
101950,104855,11.25
101950,107610,8.75
101950,109299,71.25
101950,109449,2485.0
101950,109467,2563.75
101950,109815,11880.0
101950,109868,5311.25
101950,109909,2105.0
101950,109910,36.25
101950,109951,2416.25
101950,110055,8453.75
101950,110104,106.25
101950,113888,6161.25
101950,122855,2215.0
101950,250385,148.75
101986,100267,160.0
101986,100389,5.0
101986,100459,1.25
101986,100705,496.25
101986,101505,50.0
101986,101910,231.25
101986,102009,9117.5
101986,102038,17.5
101986,102163,5.0
101986,102188,150.0
101986,102191,25.0
101986,102257,2.5
101986,102285,1165.0
101986,102499,38.75
101986,102518,7968.75
101986,102585,40.0
101986,102624,2487.5
101986,102666,136.25
101986,102692,791.25
101986,102700,135.0
101986,102707,3.75
101986,102717,6156.25
101986,102754,4898.75
101986,107097,533.75
101986,108769,523.75
101986,108877,57.5
101986,108913,23992.5
101986,108957,262.5
101986,108996,66.25
101986,109002,1115.0
101986,109028,292.5
101986,109029,42.5
101986,109087,3625.0
101986,109124,28.75
101986,109127,5126.25
101986,109157,5.0
101986,109160,102.5
101986,109208,126.25
101986,109247,2.5
101986,109299,2.5
101986,109342,55906.25
101986,109431,6175.0
101986,109433,530.0
101986,109438,221976.25
101986,109556,8660.0
101986,109601,1583.75
101986,109627,53.75
101986,109687,113.75
101986,109701,8.75
101986,109733,26.25
101986,109815,16.25
101986,109868,3.75
101986,109910,43.75
101986,110055,15.0
101986,110124,220.0
101986,113697,217.5
101986,113767,192.5
101986,113805,253.75
101986,113845,407.5
101986,122518,15.0
101986,122533,241.25
101986,122665,1667.5
101986,122898,10.0
101986,180316,1.25
101986,202046,533.75
101986,260087,580.0
101986,260482,1.25
102009,100389,37.5
102009,100459,2.5
102009,101505,11740.0
