origin,destination,volume
103097,103101,3091.25
103097,103127,3996.25
103097,103136,31.25
103097,103155,1140.0
103097,103175,95.0
103097,103179,77.5
103097,103208,27.5
103097,103216,23.75
103097,103218,70.0
103097,103224,125.0
103097,103227,41.25
103097,103234,8.75
103097,103238,16.25
103097,103240,46.25
103097,103242,52.5
103097,103258,21.25
103097,103276,125.0
103097,103306,133.75
103097,103331,3.75
103097,104369,42.5
103097,104374,42.5
103097,104378,28.75
103097,104383,52.5
103097,104387,101.25
103097,104388,35.0
103097,104415,1463.75
103097,104440,31.25
103097,104441,105.0
103097,250677,41.25
103097,250703,62.5
103097,252114,3.75
103097,261312,80.0
103097,261913,18.75
103097,261917,235.0
103101,103097,2253.75
103101,103127,47323.75
103101,103136,1.25
103101,103155,1075.0
103101,103175,2160.0
103101,103186,323.75
103101,103208,11.25
103101,103216,0.0
103101,103224,0.0
103101,103234,0.0
103101,103238,7.5
103101,103240,183.75
103101,103242,300.0
103101,103258,0.0
103101,103306,2.5
103101,104383,0.0
103101,104440,1.25
103101,104441,2658.75
103101,200492,57.5
103101,250677,3.75
103127,103097,4172.5
103127,103101,51430.0
103127,103136,55.0
103127,103155,10458.75
103127,103175,17992.5
103127,103179,35.0
103127,103186,5751.25
103127,103208,23.75
103127,103216,2.5
103127,103224,10.0
103127,103227,0.0
103127,103240,1.25
103127,103242,576.25
103127,104440,2.5
103127,104441,208.75
103127,200492,1057.5
103127,250677,42.5
103127,250703,78.75
103136,103097,36.25
103136,103101,2.5
103136,103127,50.0
103136,103155,86195.0
103136,103175,5386.25
103136,103179,7558.75
103136,103186,2730.0
103136,103208,23817.5
103136,103216,1111.25
103136,103218,26.25
103136,103224,56416.25
103136,103227,6656.25
103136,103234,971.25
103136,103238,423.75
103136,103240,8.75
103136,103242,205.0
103136,103258,3.75
103136,103306,1.25
103136,103331,16.25
103136,104441,2.5
103136,200492,111.25
103136,250677,9167.5
103136,250703,887.5
103136,261913,1298.75
103136,261917,1235.0
103155,103097,1107.5
103155,103101,8067.5
103155,103127,45776.25
103155,103136,134031.25
103155,103175,210661.25
103155,103179,77205.0
103155,103186,312250.0
103155,103208,155786.25
103155,103216,9591.25
103155,103218,497.5
103155,103224,37581.25
103155,103227,6653.75
103155,103234,1083.75
103155,103238,533.75
103155,103240,8.75
103155,103242,5066.25
103155,103258,5.0
103155,103276,1.25
103155,103306,8.75
103155,103331,85.0
103155,104441,550.0
103155,200492,5275.0
103155,250677,57071.25
103155,252114,1.25
103155,261913,337.5
103155,261917,883.75
103175,103097,20.0
103175,103101,1216.25
103175,103127,11908.75
103175,103136,5097.5
103175,103155,142725.0
103175,103179,7420.0
103175,103186,2537.5
103175,103208,3261.25
103175,103216,371.25
103175,103218,0.0
103175,103224,6376.25
103175,103227,1901.25
103175,103234,610.0
103175,103238,987.5
103175,103240,2745.0
103175,103242,2721.25
103175,103258,775.0
103175,103276,6936.25
103175,103306,8751.25
103175,103331,1097.5
103175,104369,2257.5
103175,104374,1962.5
103175,104378,1818.75
103175,104383,3915.0
103175,104387,6458.75
103175,104388,1908.75
103175,104415,102908.75
103175,104440,1662.5
103175,104441,4755.0
103175,200492,116.25
103175,250677,2371.25
103175,250703,1398.75
103175,252114,295.0
103175,261913,972.5
103175,261917,11813.75
103179,103097,230.0
103179,103101,1.25
103179,103127,85.0
103179,103136,25773.75
103179,103155,92653.75
103179,103175,42050.0
103179,103186,15335.0
103179,103208,84358.75
103179,103216,60828.75
103179,103218,2036.25
103179,103224,1017.5
103179,103227,52.5
103179,103234,7.5
103179,103238,88.75
103179,103240,2.5
103179,103242,1192.5
103179,103331,1.25
103179,104441,10.0
103179,200492,883.75
103179,250677,74911.25
103179,250703,626.25
103179,261913,351.25
103179,261917,45.0
103186,103101,768.75
103186,103127,6945.0
103186,103136,1995.0
103186,103155,224575.0
103186,103175,2396.25
103186,103179,2775.0
103186,103208,1390.0
103186,103216,1835.0
103186,103218,1518.75
103186,103224,2540.0
103186,103227,977.5
103186,103234,256.25
