source,target,position_x,position_y,capacity,travel_speed,segment_length
103491,124927,14.470928699999998,45.3372143,9000000.0,100.0,78.46600000000001
103491,124822,14.470928699999998,45.3372143,9000000.0,100.0,12.052999999999999
103491,197695,14.470928699999998,45.3372143,9000000.0,100.0,89.79100000000001
124858,124857,18.6505864,45.7426042,9000000.0,100.0,6.235
124858,251833,18.6505864,45.7426042,9000000.0,100.0,10.897
124858,198992,18.6505864,45.7426042,9000000.0,100.0,19.878999999999998
251833,124858,18.6786133,45.65109860000001,9000000.0,100.0,10.897
251833,124855,18.6786133,45.65109860000001,9000000.0,100.0,261.464
251833,251826,18.6786133,45.65109860000001,9000000.0,100.0,72.425
124855,251833,16.252192,45.51284,9000000.0,100.0,261.464
251826,251833,18.31184822,45.14502002,9000000.0,100.0,72.425
251826,103541,18.31184822,45.14502002,9000000.0,100.0,44.678
251826,103536,18.31184822,45.14502002,9000000.0,100.0,90.241
103606,103612,16.13112492,45.80035384,9000000.0,100.0,21.319000000000003
103606,197776,16.13112492,45.80035384,9000000.0,100.0,94.916
103606,103536,16.13112492,45.80035384,9000000.0,100.0,110.45400000000001
197764,110139,15.86905637,46.26263871,9000000.0,100.0,59.785000000000004
124793,124819,13.6546029,45.452585,9000000.0,100.0,52.03999999999999
251722,124819,13.889099800000002,44.8928767,9000000.0,100.0,27.479000000000003
197776,103606,16.68494712,46.40766974,9000000.0,100.0,94.916
103626,103612,15.54827989,45.51453353,9000000.0,100.0,40.227
103626,124927,15.54827989,45.51453353,9000000.0,100.0,28.098
103626,103383,15.54827989,45.51453353,9000000.0,100.0,90.78399999999999
251191,103536,17.461194199999998,45.9340584,9000000.0,100.0,111.76000000000002
198992,124858,18.66092918,45.89565377,9000000.0,100.0,19.878999999999998
262579,103541,19.07525534,45.04913216,9000000.0,100.0,54.494
251813,103338,18.4027412,42.5058343,9000000.0,100.0,35.611999999999995
197695,103491,15.0940902,44.96429449,9000000.0,100.0,89.79100000000001
197695,124927,15.0940902,44.96429449,9000000.0,100.0,57.89
197695,103387,15.0940902,44.96429449,9000000.0,100.0,383.38800000000003
103383,103626,15.76011643,44.87709932,9000000.0,100.0,90.78399999999999
124927,103491,15.250071599999998,45.4058655,9000000.0,100.0,78.46600000000001
124927,103626,15.250071599999998,45.4058655,9000000.0,100.0,28.098
124927,197695,15.250071599999998,45.4058655,9000000.0,100.0,57.89
124857,124858,18.725525,45.7423221,9000000.0,100.0,6.235
124839,103338,17.6504298,42.8902405,9000000.0,100.0,54.803999999999995
124838,103387,17.581260699999998,42.9387869,9000000.0,100.0,17.167
124822,103491,14.33509425,45.36303770000001,9000000.0,100.0,12.052999999999999
124822,103572,14.33509425,45.36303770000001,9000000.0,100.0,14.557
124822,124819,14.33509425,45.36303770000001,9000000.0,100.0,64.74
124819,124793,13.814589800000002,45.1126089,9000000.0,100.0,52.03999999999999
124819,251722,13.814589800000002,45.1126089,9000000.0,100.0,27.479000000000003
124819,124822,13.814589800000002,45.1126089,9000000.0,100.0,64.74
110139,197764,15.848991,45.789092,9000000.0,100.0,59.785000000000004
110139,103612,15.848991,45.789092,9000000.0,100.0,5.22
110139,103530,15.848991,45.789092,9000000.0,100.0,14.373000000000001
103612,103606,15.89950678,45.75904293,9000000.0,100.0,21.319000000000003
103612,103626,15.89950678,45.75904293,9000000.0,100.0,40.227
103612,110139,15.89950678,45.75904293,9000000.0,100.0,5.22
103572,124822,14.27580234,45.47373802,9000000.0,100.0,14.557
103541,251826,18.4118925,45.13071849,9000000.0,100.0,44.678
103541,262579,18.4118925,45.13071849,9000000.0,100.0,54.494
103541,103348,18.4118925,45.13071849,9000000.0,100.0,12.737
103536,251826,17.20765535,45.23077976,9000000.0,100.0,90.241
103536,103606,17.20765535,45.23077976,9000000.0,100.0,110.45400000000001
103536,251191,17.20765535,45.23077976,9000000.0,100.0,111.76000000000002
103530,110139,15.69487473,45.84517037,9000000.0,100.0,14.373000000000001
103411,103387,17.66500944,43.04881918,9000000.0,100.0,11.317
103387,197695,17.55143605,43.0180217,9000000.0,100.0,383.38800000000003
103387,124838,17.55143605,43.0180217,9000000.0,100.0,17.167
103387,103411,17.55143605,43.0180217,9000000.0,100.0,11.317
103364,103338,18.445255,42.484498,9000000.0,100.0,44.233
103338,251813,18.08062996,42.66692958,9000000.0,100.0,35.611999999999995
103338,124839,18.08062996,42.66692958,9000000.0,100.0,54.803999999999995
103338,103364,18.08062996,42.66692958,9000000.0,100.0,44.233
103338,251806,18.08062996,42.66692958,9000000.0,100.0,1.058
103348,103541,18.49629547,45.06102339,9000000.0,100.0,12.737
251806,103338,18.0862899,42.6591059,9000000.0,100.0,1.058
