origin,destination,volume
103338,103364,4813.75
103338,124839,37608.75
103348,103491,976.25
103348,103530,3302.5
103348,103536,142.5
103348,103541,5135.0
103348,103606,1502.5
103348,103612,2681.25
103348,103626,177.5
103348,124819,605.0
103348,124857,291.25
103348,197695,23.75
103348,197764,1127.5
103348,197776,996.25
103348,198992,6506.25
103348,251191,191.25
103348,251833,12001.25
103348,262579,7318.75
103364,103338,7895.0
103364,124839,601.25
103383,103387,65.0
103383,103491,3002.5
103383,103530,153.75
103383,103572,6676.25
103383,103606,407.5
103383,103612,773.75
103383,103626,1540.0
103383,124819,2012.5
103383,197695,85.0
103383,197764,327.5
103383,197776,218.75
103387,103383,90.0
103387,103411,17891.25
103387,103491,5553.75
103387,103530,2853.75
103387,103536,3346.25
103387,103572,4525.0
103387,103606,11003.75
103387,103612,8746.25
103387,103626,4865.0
103387,124819,11722.5
103387,124838,15288.75
103387,197695,24331.25
103387,197764,4773.75
103387,197776,7942.5
103387,251191,4606.25
103411,103387,15008.75
103411,103491,581.25
103411,103530,128.75
103411,103572,1370.0
103411,103612,611.25
103411,124819,408.75
103411,124838,31845.0
103411,197695,1517.5
103411,197764,312.5
103491,103348,1085.0
103491,103383,4358.75
103491,103387,5485.0
103491,103411,546.25
103491,103530,3641.25
103491,103536,4662.5
103491,103541,4210.0
103491,103572,65857.5
103491,103606,14841.25
103491,103612,35655.0
103491,103626,6570.0
103491,124819,31670.0
103491,124838,5088.75
103491,124857,666.25
103491,197695,24597.5
103491,197764,13540.0
103491,197776,20645.0
103491,198992,2.5
103491,251191,10041.25
103491,251833,12607.5
103491,262579,7557.5
103530,103348,1401.25
103530,103383,235.0
103530,103387,1755.0
103530,103411,175.0
103530,103491,2400.0
103530,103536,5431.25
103530,103541,3683.75
103530,103606,31457.5
103530,103612,92908.75
103530,103626,2928.75
103530,124819,360.0
103530,124838,575.0
103530,124857,49822.5
103530,197695,1273.75
103530,197764,18123.75
103530,197776,37585.0
103530,198992,28.75
103530,251191,4518.75
103530,251833,14890.0
103530,262579,214782.5
103536,103348,155.0
103536,103387,2416.25
103536,103491,3580.0
103536,103530,8653.75
103536,103541,55.0
103536,103606,11555.0
103536,103612,22340.0
103536,103626,1687.5
103536,124819,1735.0
103536,124857,113.75
103536,197695,5145.0
103536,197764,6912.5
103536,197776,9205.0
103536,198992,452.5
103536,251191,1995.0
103536,251833,328.75
103536,262579,3442.5
103541,103348,4720.0
103541,103491,2741.25
103541,103530,4581.25
103541,103536,40.0
103541,103606,7761.25
103541,103612,13991.25
103541,103626,1546.25
103541,124819,1321.25
103541,124857,80.0
103541,197695,4132.5
103541,197764,2300.0
103541,197776,6192.5
103541,198992,1155.0
103541,251191,4265.0
103541,262579,655.0
103572,103383,2868.75
103572,103387,7533.75
103572,103411,308.75
103572,103491,48308.75
103572,103626,6061.25
103572,124819,32615.0
103572,124838,2470.0
103572,197695,5938.75
103606,103348,525.0
103606,103383,132.5
103606,103387,18888.75
103606,103491,13311.25
103606,103530,23061.25
103606,103536,16331.25
103606,103541,9447.5
103606,103612,140750.0
103606,103626,10835.0
103606,124819,12658.75
103606,124838,2416.25
