origin,destination,volume
103842,197795,1276.25
103842,197813,6.25
103842,197851,7365.0
103842,197857,5332.5
103842,197919,33032.5
103842,197934,232400.0
103842,197944,97796.25
103842,199034,66761.25
103842,199147,37.5
103842,199227,37708.75
103842,199241,14226.25
103842,199357,16950.0
103842,199401,642.5
103842,199551,30871.25
103842,251196,18096.25
103842,251220,15412.5
103842,251369,2457.5
197743,197795,14712.5
197743,197813,1.25
197743,197851,2020.0
197743,197857,333.75
197743,197919,1195.0
197743,197934,46.25
197743,197944,10.0
197743,199187,31.25
197743,199227,1023.75
197743,199241,380.0
197743,199357,1146.25
197743,199401,27.5
197743,199645,78.75
197743,200758,45.0
197743,200779,38.75
197743,251196,478.75
197743,251220,5.0
197743,251369,131.25
197795,103842,2323.75
197795,197743,15581.25
197795,197813,27.5
197795,197851,5347.5
197795,197857,4322.5
197795,197919,16910.0
197795,197934,631.25
197795,197944,5140.0
197795,199034,486.25
197795,199147,42.5
197795,199187,4395.0
197795,199227,70072.5
197795,199241,28161.25
197795,199357,38260.0
197795,199401,3510.0
197795,199514,6.25
197795,199551,2062.5
197795,199645,27943.75
197795,200743,31612.5
197795,200758,3815.0
197795,200779,4061.25
197795,251196,31507.5
197795,251220,290.0
197795,251356,1.25
197795,251369,7067.5
197813,103842,675.0
197813,197743,375.0
197813,197795,6022.5
197813,197851,1708.75
197813,197857,29791.25
197813,197919,9150.0
197813,197934,30.0
197813,197944,1833.75
197813,199034,0.0
197813,199147,8361.25
197813,199187,102.5
197813,199227,5525.0
197813,199241,105.0
197813,199357,10660.0
197813,199514,2.5
197813,199551,703.75
197813,199645,127.5
197813,200743,617.5
197813,200758,8.75
197813,200779,10.0
197813,251196,6118.75
197813,251220,46.25
197813,251238,5431.25
197813,251356,26953.75
197813,251369,31496.25
197851,103842,5422.5
197851,197743,580.0
197851,197795,3086.25
197851,197813,10.0
197851,197857,46640.0
197851,197919,89450.0
197851,197934,6781.25
197851,197944,133452.5
197851,199034,41.25
197851,199147,6.25
197851,199187,670.0
197851,199227,14648.75
197851,199241,5683.75
197851,199357,57998.75
197851,199401,690.0
197851,199645,6193.75
197851,200743,3381.25
197851,200758,653.75
197851,200779,645.0
197851,251196,7113.75
197851,251220,197.5
197851,251356,3.75
197851,251369,14400.0
197857,103842,12743.75
197857,197743,285.0
197857,197795,12661.25
197857,197813,37563.75
197857,197851,153891.25
197857,197919,19916.25
197857,197934,578.75
197857,197944,51207.5
197857,199034,3185.0
197857,199147,395.0
197857,199227,1010.0
197857,199241,10.0
