origin,destination,volume
101878,117133,3581.25
101878,117800,3776.25
101878,117806,960.0
101878,180211,4932.5
101878,190219,376.25
101878,190784,4052.5
101878,191074,960.0
101878,250014,3203.75
117133,101878,4348.75
117133,117800,226801.25
117133,117806,60581.25
117133,180211,137201.25
117133,190219,26017.5
117133,190784,62738.75
117133,191074,48276.25
117133,250014,40933.75
117133,250042,929695.0
117800,101878,1043.75
117800,117133,75641.25
117800,117806,136478.75
117800,180211,84902.5
117800,190219,22181.25
117800,190784,79826.25
117800,191074,1055653.75
117800,250014,11866.25
117800,250042,175408.75
117806,101878,368.75
117806,117133,24957.5
117806,117800,36187.5
117806,180211,19198.75
117806,190219,33801.25
117806,190784,48723.75
117806,191074,46478.75
117806,250014,3676.25
117806,250042,46297.5
180211,101878,872.5
180211,117133,33613.75
180211,117800,33997.5
180211,117806,13360.0
180211,190219,7442.5
180211,190784,14196.25
180211,191074,360.0
180211,250014,1816.25
180211,250042,135380.0
190219,101878,80.0
190219,117133,4563.75
190219,117800,9012.5
190219,117806,24010.0
190219,180211,11455.0
190219,190784,44615.0
190219,191074,7942.5
190219,250014,254743.75
190219,250042,8788.75
190784,101878,1577.5
190784,117133,21048.75
190784,117800,56828.75
190784,117806,44455.0
190784,180211,6131.25
190784,190219,59616.25
190784,191074,63417.5
190784,250014,43201.25
190784,250042,41850.0
191074,101878,257.5
191074,117133,14167.5
191074,117800,1028866.25
191074,117806,100336.25
191074,180211,9722.5
191074,190219,12807.5
191074,190784,107531.25
191074,250014,6535.0
191074,250042,27008.75
250014,101878,965.0
250014,117133,10938.75
250014,117800,20316.25
250014,117806,4377.5
250014,180211,4888.75
250014,190219,142677.5
250014,190784,44970.0
250014,191074,3132.5
250014,250042,21852.5
250042,117133,659738.75
250042,117800,290753.75
250042,117806,67705.0
250042,180211,324977.5
250042,190219,32552.5
250042,190784,70746.25
250042,191074,54248.75
250042,250014,44656.25
