source,target,position_x,position_y,capacity,travel_speed,segment_length
105365,105366,12.807903,41.811116,9000000.0,100.0,18.719
105365,105490,12.807903,41.811116,9000000.0,100.0,162.377
105365,105344,12.807903,41.811116,9000000.0,100.0,13.789
250331,250330,13.14938167,38.17998548,9000000.0,100.0,3.856
250331,105782,13.14938167,38.17998548,9000000.0,100.0,39.561
250331,105800,13.14938167,38.17998548,9000000.0,100.0,74.75600000000001
250330,250331,13.10964746,38.18907055,9000000.0,100.0,3.856
105731,105744,16.238964000000006,39.722168,9000000.0,100.0,46.867000000000004
105731,105741,16.238964000000006,39.722168,9000000.0,100.0,21.680999999999997
105731,105585,16.238964000000006,39.722168,9000000.0,100.0,153.897
104661,104701,8.741141,44.433159,9000000.0,100.0,12.907000000000002
104661,104660,8.741141,44.433159,9000000.0,100.0,44.86
104661,104689,8.741141,44.433159,9000000.0,100.0,31.397000000000002
104606,104636,8.451244,45.464724,9000000.0,100.0,33.243
104606,104637,8.451244,45.464724,9000000.0,100.0,48.445
104606,104598,8.451244,45.464724,9000000.0,100.0,25.076
104606,104570,8.451244,45.464724,9000000.0,100.0,28.578
250260,105890,14.95955778,36.81259025,9000000.0,100.0,30.154
105890,250260,15.19114,36.97448,9000000.0,100.0,30.154
105890,105880,15.19114,36.97448,9000000.0,100.0,63.432
105890,105770,15.19114,36.97448,9000000.0,100.0,287.347
250247,250248,12.295212,45.586504,9000000.0,100.0,27.591
250247,104977,12.295212,45.586504,9000000.0,100.0,6.416
250247,125589,12.295212,45.586504,9000000.0,100.0,4.037
250247,104966,12.295212,45.586504,9000000.0,100.0,34.741
250248,250247,12.08297339,45.44792628,9000000.0,100.0,27.591
250248,104989,12.08297339,45.44792628,9000000.0,100.0,10.556
250248,104988,12.08297339,45.44792628,9000000.0,100.0,10.297
104977,250247,12.278417,45.535772,9000000.0,100.0,6.416
104977,125589,12.278417,45.535772,9000000.0,100.0,6.525
104977,105000,12.278417,45.535772,9000000.0,100.0,5.9
104977,104989,12.278417,45.535772,9000000.0,100.0,8.777
104682,168020,7.385085000000001,45.739425,9000000.0,100.0,7.879
104682,104680,7.385085000000001,45.739425,9000000.0,100.0,42.452
104682,104567,7.385085000000001,45.739425,9000000.0,100.0,62.449000000000005
104689,104661,8.442888,44.289343,9000000.0,100.0,31.397000000000002
104689,125101,8.442888,44.289343,9000000.0,100.0,68.028
104689,180700,8.442888,44.289343,9000000.0,100.0,113.55000000000001
180700,104689,7.528816542,43.78888346,9000000.0,100.0,113.55000000000001
168020,104682,7.313396000000001,45.763512,9000000.0,100.0,7.879
168020,110661,7.313396000000001,45.763512,9000000.0,100.0,3.212
168020,100306,7.313396000000001,45.763512,9000000.0,100.0,26.465
126245,105804,15.663946,38.085175,9000000.0,100.0,32.11
126245,126246,15.663946,38.085175,9000000.0,100.0,1.818
126245,105747,15.663946,38.085175,9000000.0,100.0,127.08200000000002
126246,126245,15.663002,38.06884,9000000.0,100.0,1.818
126246,105554,15.663002,38.06884,9000000.0,100.0,8.047
126246,105750,15.663002,38.06884,9000000.0,100.0,178.164
105804,126245,15.541768,38.199537,9000000.0,100.0,32.11
105804,105871,15.541768,38.199537,9000000.0,100.0,85.782
105804,105817,15.541768,38.199537,9000000.0,100.0,97.624
126239,105817,14.552816,38.045962,9000000.0,100.0,6.501
126239,126192,14.552816,38.045962,9000000.0,100.0,1.238
126239,105802,14.552816,38.045962,9000000.0,100.0,19.596
105817,105804,14.622535999999998,38.059255,9000000.0,100.0,97.624
105817,126239,14.622535999999998,38.059255,9000000.0,100.0,6.501
105817,126192,14.622535999999998,38.059255,9000000.0,100.0,8.853
126192,126239,14.552008,38.05434,9000000.0,100.0,1.238
126192,105817,14.552008,38.05434,9000000.0,100.0,8.853
126192,105802,14.552008,38.05434,9000000.0,100.0,21.091
126196,105787,13.972259,37.746364,9000000.0,100.0,1.395
126196,105800,13.972259,37.746364,9000000.0,100.0,34.324000000000005
126196,105855,13.972259,37.746364,9000000.0,100.0,30.715999999999998
105787,126196,13.96365,37.755915,9000000.0,100.0,1.395
105771,105763,12.6269,37.9629,9000000.0,100.0,10.51
105771,105782,12.6269,37.9629,9000000.0,100.0,28.805
105771,105772,12.6269,37.9629,9000000.0,100.0,12.776
105552,105544,14.317378,40.89072,9000000.0,100.0,4.7700000000000005
105552,105534,14.317378,40.89072,9000000.0,100.0,2.158
105552,105520,14.317378,40.89072,9000000.0,100.0,22.712000000000003
105544,105552,14.315112,40.848655,9000000.0,100.0,4.7700000000000005
105544,105588,14.315112,40.848655,9000000.0,100.0,50.373000000000005
105544,105897,14.315112,40.848655,9000000.0,100.0,2121.459
105588,105544,14.782213,40.696098,9000000.0,100.0,50.373000000000005
105588,105577,14.782213,40.696098,9000000.0,100.0,8.618
105588,105585,14.782213,40.696098,9000000.0,100.0,49.94
105576,105507,14.836707,40.950474,9000000.0,100.0,19.039
105576,105514,14.836707,40.950474,9000000.0,100.0,33.668
105576,105577,14.836707,40.950474,9000000.0,100.0,26.387
105514,105576,14.498776,40.928826,9000000.0,100.0,33.668
105514,105490,14.498776,40.928826,9000000.0,100.0,19.925
105514,105577,14.498776,40.928826,9000000.0,100.0,35.184999999999995
105514,105534,14.498776,40.928826,9000000.0,100.0,15.921
105897,105544,8.669547,40.669245,9000000.0,100.0,2121.459
105897,105892,8.669547,40.669245,9000000.0,100.0,84.36700000000002
105897,104701,8.669547,40.669245,9000000.0,100.0,691.366
105126,105114,12.155329,44.427837,9000000.0,100.0,29.281
105126,105139,12.155329,44.427837,9000000.0,100.0,29.251
105126,104989,12.155329,44.427837,9000000.0,100.0,132.263
125946,104804,9.177718,45.562712,9000000.0,100.0,8.517
104782,104840,9.145076,45.214255,9000000.0,100.0,2.7720000000000002
125817,104717,9.906738,44.144403,9000000.0,100.0,5.725
125817,125818,9.906738,44.144403,9000000.0,100.0,1.065
125817,104712,9.906738,44.144403,9000000.0,100.0,1.207
104717,125817,9.859715,44.113137,9000000.0,100.0,5.725
125818,125817,9.914032,44.152413,9000000.0,100.0,1.065
104712,125817,9.902796,44.153019,9000000.0,100.0,1.207
104712,105068,9.902796,44.153019,9000000.0,100.0,100.69
104712,104704,9.902796,44.153019,9000000.0,100.0,93.607
104712,105170,9.902796,44.153019,9000000.0,100.0,42.246
105068,104712,10.234884,44.865249,9000000.0,100.0,100.69
105068,105067,10.234884,44.865249,9000000.0,100.0,28.226
105068,104874,10.234884,44.865249,9000000.0,100.0,53.102
104748,104780,9.365396,45.64174600000001,9000000.0,100.0,9.147
104997,104998,12.828315,45.792941,9000000.0,100.0,37.923
104997,125589,12.828315,45.792941,9000000.0,100.0,45.324
104997,104966,12.828315,45.792941,9000000.0,100.0,48.753
125589,250247,12.342441,45.573461,9000000.0,100.0,4.037
125589,104977,12.342441,45.573461,9000000.0,100.0,6.525
125589,104997,12.342441,45.573461,9000000.0,100.0,45.324
125474,104546,7.606192999999998,45.029697,9000000.0,100.0,1.163
104546,125474,7.597693,45.022274,9000000.0,100.0,1.163
104546,104551,7.597693,45.022274,9000000.0,100.0,23.159
104546,104585,7.597693,45.022274,9000000.0,100.0,11.026
104546,104577,7.597693,45.022274,9000000.0,100.0,8.818
105234,105332,11.129029,42.796005,9000000.0,100.0,167.99300000000002
105234,105147,11.129029,42.796005,9000000.0,100.0,158.255
105234,105194,11.129029,42.796005,9000000.0,100.0,138.646
125261,104931,11.446506,45.758957,9000000.0,100.0,35.592
104840,104782,9.134341,45.194037,9000000.0,100.0,2.7720000000000002
104840,125892,9.134341,45.194037,9000000.0,100.0,4.914
104840,104783,9.134341,45.194037,9000000.0,100.0,9.453999999999999
104783,104840,9.044481,45.249265,9000000.0,100.0,9.453999999999999
104783,104654,9.044481,45.249265,9000000.0,100.0,41.3
104783,104770,9.044481,45.249265,9000000.0,100.0,18.054000000000002
125218,104829,11.50716561,47.00368466,9000000.0,100.0,227.769
104579,104595,7.728598,45.131703,9000000.0,100.0,2.021
104579,125170,7.728598,45.131703,9000000.0,100.0,1.802
104579,104568,7.728598,45.131703,9000000.0,100.0,1.875
104579,104570,7.728598,45.131703,9000000.0,100.0,41.863
104570,104606,8.12792,45.372306,9000000.0,100.0,28.578
104570,104579,8.12792,45.372306,9000000.0,100.0,41.863
104570,104598,8.12792,45.372306,9000000.0,100.0,30.615000000000002
104570,104567,8.12792,45.372306,9000000.0,100.0,23.657999999999998
100512,104730,9.044477,45.83984,9000000.0,100.0,30.827
104652,104649,8.571736999999999,44.936092,9000000.0,100.0,26.431
104652,104654,8.571736999999999,44.936092,9000000.0,100.0,22.451
104652,104660,8.571736999999999,44.936092,9000000.0,100.0,21.535
104652,104598,8.571736999999999,44.936092,9000000.0,100.0,36.728
104649,104652,8.244419,44.910304,9000000.0,100.0,26.431
104649,104646,8.244419,44.910304,9000000.0,100.0,95.893
104649,104585,8.244419,44.910304,9000000.0,100.0,45.117
125101,104689,7.818664,44.487767,9000000.0,100.0,68.028
125101,125102,7.818664,44.487767,9000000.0,100.0,10.965
