origin,destination,volume
100060,100306,462.5
100060,100512,2276.25
100060,102673,4291.25
100060,104570,972.5
100060,104577,36322.5
100060,104606,8697.5
100060,104617,2686.25
100060,104646,17385.0
100060,104649,2445.0
100060,104654,14367.5
100060,104660,8343.75
100060,104680,2017.5
100060,104682,1972.5
100060,104689,2616.25
100060,104704,2312.5
100060,104712,1660.0
100060,104733,11431.25
100060,104748,2801.25
100060,104767,6735.0
100060,104780,8781.25
100060,104784,82658.75
100060,104823,78752.5
100060,104829,73353.75
100060,104856,28192.5
100060,104874,37073.75
100060,104950,12172.5
100060,104989,45192.5
100060,104997,32508.75
100060,104998,236580.0
100060,105011,27237.5
100060,105013,7451.25
100060,105068,14135.0
100060,105100,21577.5
100060,105110,5191.25
100060,105114,6168.75
100060,105139,10667.5
100060,105147,745.0
100060,105170,6650.0
100060,105183,5976.25
100060,105194,4610.0
100060,105228,4256.25
100060,105234,9105.0
100060,105264,7013.75
100060,105276,10777.5
100060,105321,2197.5
100060,105365,13566.25
100060,105432,13650.0
100060,105436,5073.75
100060,105490,4400.0
100060,105507,1763.75
100060,105511,736.25
100060,105544,11545.0
100060,105585,7511.25
100060,105619,1063.75
100060,105726,13727.5
100060,105731,1580.0
100060,105739,810.0
100060,105747,528.75
100060,105750,1393.75
100060,105770,750.0
100060,105771,426.25
100060,105800,2917.5
100060,105817,978.75
100060,105852,570.0
100060,105855,892.5
100060,105880,1065.0
100060,105890,1120.0
100060,105892,251.25
100060,105897,1826.25
100060,125261,45511.25
100060,125466,5928.75
100060,126044,28327.5
100060,126246,1785.0
100060,180700,46868.75
100060,250247,59943.75
100306,100060,90.0
100306,104570,3876.25
100306,104577,112223.75
100306,104606,8203.75
100306,104646,14763.75
100306,104649,1595.0
100306,104654,7763.75
100306,104660,6570.0
100306,104682,10143.75
100306,104689,2886.25
100306,104704,2343.75
100306,104712,810.0
100306,104748,152.5
100306,104767,367.5
100306,104780,627.5
100306,104784,5148.75
100306,104823,3525.0
100306,104829,3428.75
100306,104856,11652.5
100306,104874,1458.75
100306,104950,92.5
100306,104989,787.5
100306,104997,223.75
100306,104998,1231.25
100306,105011,585.0
100306,105013,158.75
100306,105056,1951.25
100306,105059,47.5
100306,105068,621.25
100306,105100,577.5
100306,105110,103.75
100306,105114,152.5
100306,105139,250.0
100306,105147,15.0
100306,105170,1700.0
100306,105183,2595.0
100306,105194,1627.5
100306,105228,60.0
100306,105234,2183.75
100306,105264,107.5
100306,105276,167.5
100306,105321,28.75
100306,105365,202.5
100306,105432,190.0
100306,105436,80.0
100306,105490,80.0
100306,105507,25.0
100306,105511,8.75
100306,105544,180.0
100306,105585,65.0
100306,105619,16.25
100306,105726,225.0
100306,105731,12.5
100306,105739,5.0
100306,105747,2.5
100306,105750,13.75
100306,105770,11.25
100306,105771,6.25
100306,105800,42.5
100306,105817,13.75
100306,105852,13.75
100306,105855,12.5
100306,105880,16.25
100306,105890,13.75
100306,105892,185.0
100306,105897,645.0
100306,125261,932.5
100306,125466,197.5
100306,126044,513.75
100306,126246,13.75
100306,180700,872.5
100306,250247,810.0
100512,100060,2070.0
100512,102673,3242.5
100512,104570,8832.5
100512,104577,99480.0
100512,104606,79020.0
100512,104617,14945.0
100512,104646,104226.25
100512,104649,15291.25
100512,104654,66387.5
