origin,destination,volume
117172,117905,14886.25
117172,201028,28176.25
117172,201029,63940.0
117172,250944,15938.75
117172,251020,83833.75
117172,262216,4073.75
117172,262225,4490.0
117270,121582,4586.25
117270,124547,51141.25
117270,251130,177447.5
117270,251136,30335.0
117905,117172,10002.5
117905,121582,20890.0
117905,124547,6686.25
117905,201028,13196.25
117905,250944,5673.75
117905,262221,20678.75
117905,262225,3296.25
121582,117270,3896.25
121582,117905,61.25
121582,124547,30257.5
121582,201028,1650.0
121582,201029,25531.25
121582,250944,1117.5
121582,251020,9735.0
121582,251130,4692.5
121582,251136,36303.75
121582,262216,110.0
121582,262225,573.75
124547,117270,68762.5
124547,117905,762.5
124547,121582,13256.25
124547,201028,33347.5
124547,201029,6495.0
124547,250944,4381.25
124547,251020,1603.75
124547,251130,85050.0
124547,251136,16606.25
124547,262216,1042.5
124547,262225,11440.0
201028,117172,35545.0
201028,117905,19213.75
201028,121582,2220.0
201028,124547,24678.75
201028,201029,86642.5
201028,250944,19758.75
201028,251020,109197.5
201028,251136,16751.25
201028,262216,6057.5
201028,262221,144322.5
201028,262225,8867.5
201029,117172,57761.25
201029,121582,6457.5
201029,124547,16597.5
201029,201028,73481.25
201029,250944,71242.5
201029,251020,135625.0
201029,251136,13095.0
201029,262216,22780.0
201029,262221,100412.5
201029,262225,18526.25
250944,117172,20428.75
250944,117905,31.25
250944,121582,1800.0
250944,124547,8347.5
250944,201028,24401.25
250944,201029,39423.75
250944,251020,27177.5
250944,251136,50.0
250944,262216,2810.0
250944,262221,30418.75
250944,262225,5062.5
251020,117172,64948.75
251020,121582,2708.75
251020,124547,11071.25
251020,201028,75073.75
251020,201029,97273.75
251020,250944,16577.5
251020,251136,6702.5
251020,262216,51985.0
251020,262221,99883.75
251020,262225,21561.25
251130,117270,162277.5
251130,121582,2635.0
251130,124547,28671.25
251130,251136,20696.25
251136,117270,37907.5
251136,121582,51201.25
251136,124547,45545.0
251136,201028,18817.5
251136,201029,5205.0
251136,250944,6.25
251136,251020,4578.75
251136,251130,49037.5
251136,262216,600.0
251136,262225,3953.75
262216,117172,19805.0
262216,121582,68.75
262216,124547,2445.0
262216,201028,27185.0
262216,201029,15477.5
262216,250944,2988.75
262216,251020,49785.0
262216,251136,240.0
262216,262221,9628.75
262216,262225,3531.25
262221,117905,11957.5
262221,201028,82991.25
262221,201029,47995.0
262221,250944,10481.25
262221,251020,59733.75
262221,262216,2688.75
262221,262225,10905.0
262225,117172,21.25
262225,117905,171.25
262225,121582,10.0
262225,124547,271.25
262225,201028,21.25
262225,201029,655.0
262225,250944,126.25
262225,251020,3117.5
262225,251136,130.0
262225,262216,48.75
262225,262221,3088.75
