source,target,position_x,position_y,capacity,travel_speed,segment_length
260752,181122,6.097286,49.812278000000006,9000000.0,100.0,6.165
110689,109685,6.124789063,49.57675233,9000000.0,100.0,9.267
110689,110729,6.124789063,49.57675233,9000000.0,100.0,3.08
110689,105918,6.124789063,49.57675233,9000000.0,100.0,9.691
108783,109685,6.3644,49.478862,9000000.0,100.0,20.751
109656,202064,5.896315,49.561362,9000000.0,100.0,6.062
109656,110695,5.896315,49.561362,9000000.0,100.0,8.582
109656,110733,5.896315,49.561362,9000000.0,100.0,14.497000000000002
202041,109685,6.121524107999999,49.473,9000000.0,100.0,2.72
109685,110689,6.1170620000000016,49.497123,9000000.0,100.0,9.267
109685,108783,6.1170620000000016,49.497123,9000000.0,100.0,20.751
109685,202041,6.1170620000000016,49.497123,9000000.0,100.0,2.72
109685,110685,6.1170620000000016,49.497123,9000000.0,100.0,9.142
181122,260752,6.091456,49.761221,9000000.0,100.0,6.165
181122,110687,6.091456,49.761221,9000000.0,100.0,53.491
181122,110697,6.091456,49.761221,9000000.0,100.0,16.529000000000003
114174,110729,6.104424,49.6006,9000000.0,100.0,2.213
110729,110689,6.087297,49.587006,9000000.0,100.0,3.08
110729,114174,6.087297,49.587006,9000000.0,100.0,2.213
110729,110733,6.087297,49.587006,9000000.0,100.0,2.111
110729,110685,6.087297,49.587006,9000000.0,100.0,10.33
110695,109656,5.976117,49.512261,9000000.0,100.0,8.582
110695,110691,5.976117,49.512261,9000000.0,100.0,1.469
110695,110685,5.976117,49.512261,9000000.0,100.0,2.2720000000000002
110685,109685,6.004137,49.520823,9000000.0,100.0,9.142
110685,110729,6.004137,49.520823,9000000.0,100.0,10.33
110685,110695,6.004137,49.520823,9000000.0,100.0,2.2720000000000002
110733,109656,6.079708999999999,49.604132,9000000.0,100.0,14.497000000000002
110733,110729,6.079708999999999,49.604132,9000000.0,100.0,2.111
110733,195722,6.079708999999999,49.604132,9000000.0,100.0,15.440000000000001
108618,105918,6.503140977,49.73345095,9000000.0,100.0,27.052
105918,110689,6.188278,49.639963,9000000.0,100.0,9.691
105918,108618,6.188278,49.639963,9000000.0,100.0,27.052
105918,123037,6.188278,49.639963,9000000.0,100.0,29.888
110697,181122,6.130499,49.628416,9000000.0,100.0,16.529000000000003
110691,110695,5.957449,49.507018,9000000.0,100.0,1.469
110687,181122,6.051603599999999,50.1558245,9000000.0,100.0,53.491
202064,109656,5.819770942000001,49.54726021,9000000.0,100.0,6.062
123037,105918,6.435961,49.811989,9000000.0,100.0,29.888
195722,110733,5.9072,49.6386,9000000.0,100.0,15.440000000000001
