origin,destination,volume
108618,108783,13512.5
108618,195722,52186.25
108618,202041,119368.75
108618,202064,47602.5
108783,108618,9160.0
108783,123037,76168.75
108783,195722,180495.0
108783,202041,67688.75
108783,202064,75528.75
110687,181122,1436323.75
123037,108783,67000.0
123037,195722,42680.0
123037,202041,1120803.75
123037,202064,19406.25
181122,110687,837083.75
195722,108618,30903.75
195722,108783,116586.25
195722,123037,54446.25
195722,202041,1637227.5
202041,108618,65156.25
202041,108783,29815.0
202041,123037,934552.5
202041,195722,1328685.0
202041,202064,47920.0
202064,108618,26867.5
202064,108783,57370.0
202064,123037,14480.0
202064,202041,24072.5
