origin,destination,volume
103176,103469,65.0
103176,103471,117.5
103176,262002,12.5
103176,262502,537068.75
103458,262002,0.0
103458,262502,0.0
103469,103176,68.75
103469,103482,5396.25
103469,198637,20.0
103469,261991,1152.5
103469,262002,182.5
103469,262502,211.25
103471,103176,0.0
103471,262002,0.0
103471,262502,0.0
103482,103469,1203.75
103482,262002,3.75
198637,103469,0.0
198637,261991,0.0
198637,262002,0.0
261991,103469,765.0
261991,198637,115.0
261991,262002,0.0
262002,103176,2325.0
262002,103458,2401.25
262002,103469,4596.25
262002,103471,2283.75
262002,103482,31.25
262002,198637,2286.25
262002,261991,2197.5
262002,262502,370.0
262502,103176,283123.75
262502,103458,21.25
262502,103469,38.75
262502,103471,18.75
262502,262002,21.25
