origin,destination,volume
106832,113439,1525.0
106832,113445,1988.75
106832,113451,5391.25
106832,113498,14807.5
106832,113520,21315.0
106832,113555,31565.0
106832,113577,24757.5
106832,113638,8635.0
106832,113686,11886.25
106832,114212,67297.5
106832,114273,50157.5
106832,116640,897.5
106832,116720,12325.0
106832,116733,7778.75
106832,116744,3588.75
106832,116769,10448.75
106832,116891,6337.5
106832,116901,1032.5
106832,116908,3970.0
106832,116910,3971.25
106832,116962,3586.25
106832,117966,25227.5
106832,181006,2040.0
106832,181011,2893.75
106832,181027,7406.25
106832,195865,105186.25
106832,195896,59766.25
106832,195969,47511.25
106832,196022,4326.25
106832,196061,582.5
106832,196109,3411.25
106832,196702,5372.5
106832,196704,838.75
108865,113439,2593.75
108865,113445,2058.75
108865,113451,6587.5
108865,113498,131906.25
108865,113520,53703.75
108865,113555,21973.75
108865,113577,21036.25
108865,113638,51768.75
108865,113658,7198.75
108865,113669,23331.25
108865,113686,7293.75
108865,114212,15861.25
108865,116640,1648.75
108865,116720,10646.25
108865,116733,15037.5
108865,116744,2866.25
108865,116769,10400.0
108865,116891,4593.75
108865,116901,1018.75
108865,116908,2756.25
108865,116910,2475.0
108865,116957,4132.5
108865,116962,6277.5
108865,117010,220026.25
108865,117020,5875.0
108865,117966,24686.25
108865,181006,2755.0
108865,181011,3888.75
108865,181027,6977.5
108865,181072,4957.5
108865,195896,11158.75
108865,195944,130857.5
108865,195969,141915.0
108865,196014,6736.25
108865,196022,7861.25
108865,196061,672.5
108865,196109,2806.25
108865,196702,6092.5
108865,196704,1065.0
112531,113669,152842.5
112531,113686,96557.5
112531,114212,249970.0
112531,117966,469856.25
112531,181072,1550590.0
112531,195896,97712.5
112601,113439,353.75
112601,113445,298.75
112601,113451,960.0
112601,113498,2223.75
112601,113520,4248.75
112601,113555,7037.5
112601,113577,6295.0
112601,113638,9666.25
112601,113669,50810.0
112601,113686,25147.5
112601,114212,59297.5
112601,114273,356538.75
112601,116640,178.75
112601,116733,2063.75
112601,116744,456.25
112601,116891,1467.5
112601,116901,302.5
112601,116908,853.75
112601,116910,755.0
112601,116957,1645.0
112601,116962,1891.25
112601,117010,89005.0
112601,181011,532.5
112601,181027,1098.75
112601,181072,26632.5
112601,195865,977925.0
112601,195896,102958.75
112601,195969,8580.0
112601,196014,3058.75
112601,196022,2253.75
112601,196061,108.75
112601,196109,858.75
112601,196702,861.25
113439,106832,1532.5
113439,108865,583.75
113439,112601,338.75
113439,113445,6455.0
113439,113451,28058.75
113439,113498,2073.75
113439,113520,1061.25
113439,113555,5767.5
113439,113577,104637.5
113439,113638,2455.0
113439,113658,408.75
113439,113669,3440.0
113439,113686,1572.5
113439,114212,2236.25
113439,114273,467.5
113439,115751,26177.5
113439,116640,52545.0
113439,116720,8782.5
113439,116733,14173.75
113439,116744,1613.75
113439,116769,5117.5
113439,116891,2283.75
113439,116901,250.0
113439,116908,2411.25
113439,116910,28383.75
113439,116957,1967.5
113439,116962,2215.0
113439,117010,11716.25
113439,117020,40.0
113439,117966,508.75
113439,181006,8362.5
113439,181011,58933.75
113439,181027,28566.25
113439,181072,862.5
113439,195865,580.0
113439,195896,393.75
113439,195944,19870.0
113439,195969,428.75
113439,196009,16588.75
113439,196014,376.25
113439,196022,657.5
113439,196061,1208.75
113439,196109,5757.5
113439,196702,51496.25
113439,196704,2525.0
113445,106832,1121.25
113445,108865,336.25
113445,112601,183.75
113445,113439,9095.0
113445,113451,55205.0
113445,113498,3470.0
113445,113520,2621.25
113445,113555,4960.0
113445,113577,4622.5
113445,113638,6182.5
113445,113658,1060.0
113445,113669,9403.75
113445,113686,3805.0
113445,114212,10131.25
113445,114273,2105.0
113445,115751,5771.25
113445,116640,11688.75
113445,116720,14537.5
113445,116733,19802.5
113445,116744,9880.0
113445,116769,30046.25
113445,116891,1796.25
113445,116901,265.0
113445,116908,2606.25
113445,116910,16332.5
113445,116957,2921.25
113445,116962,2590.0
113445,117010,11553.75
113445,117020,106.25
113445,117966,2271.25
113445,181006,21570.0
113445,181011,6510.0
113445,181027,7425.0
113445,181072,397.5
113445,195865,307.5
113445,195896,1642.5
113445,195944,9278.75
113445,195969,2636.25
113445,196009,7240.0
113445,196014,677.5
113445,196022,1600.0
113445,196061,2231.25
113445,196109,3615.0
113445,196702,32222.5
113445,196704,11782.5
113451,106832,5711.25
113451,108865,1766.25
113451,112601,980.0
113451,113439,46896.25
113451,113445,67522.5
113451,113498,26493.75
113451,113520,1933.75
113451,113555,55755.0
113451,113577,20366.25
113451,113638,2462.5
113451,113658,26.25
113451,113669,7532.5
113451,113686,4700.0
113451,114212,10698.75
113451,114273,48.75
113451,115751,35462.5
113451,116640,7125.0
113451,116720,99521.25
113451,116733,134602.5
113451,116744,21370.0
113451,116769,76930.0
113451,116891,41.25
113451,116901,5.0
113451,116908,65.0
113451,116910,10710.0
113451,116957,68.75
113451,116962,63.75
113451,117010,37370.0
113451,117020,1.25
113451,117966,56.25
113451,181006,69863.75
113451,181011,25628.75
113451,181027,72373.75
113451,181072,2155.0
113451,195865,1498.75
113451,195896,33.75
113451,195944,49642.5
113451,195969,23960.0
113451,196009,45390.0
113451,196014,16.25
113451,196022,35.0
113451,196061,58.75
113451,196109,4385.0
113451,196702,99707.5
113451,196704,8220.0
113468,113498,67561.25
113468,113520,36883.75
113468,113555,44332.5
113468,113577,41095.0
113468,113638,24480.0
113468,113658,20413.75
113468,113669,68032.5
113468,113686,6837.5
113468,116720,300573.75
113468,116733,89072.5
113468,116744,25260.0
113468,116769,37267.5
113468,116891,9742.5
113468,116901,1745.0
113468,116908,5516.25
113468,116910,1181.25
113468,116957,7891.25
113468,116962,12430.0
113468,117010,142292.5
113468,117020,18322.5
113468,181027,12616.25
113468,181072,3071.25
113468,195944,89137.5
113468,195969,69671.25
113468,196014,11635.0
113468,196022,13955.0
113468,196061,1185.0
113468,196109,5150.0
113498,106832,13895.0
113498,108865,94931.25
113498,112601,2142.5
113498,113439,5392.5
113498,113445,4507.5
113498,113451,16957.5
113498,113468,49495.0
113498,113520,51560.0
113498,113555,57005.0
113498,113577,43795.0
113498,113638,20350.0
113498,113658,2331.25
113498,113669,25121.25
113498,113686,21300.0
113498,114212,35510.0
113498,114273,22081.25
113498,115751,1727.5
113498,116640,430.0
113498,116720,32937.5
113498,116733,139665.0
113498,116744,3486.25
113498,116769,134396.25
113498,116891,1217.5
113498,116901,228.75
113498,116908,1981.25
113498,116910,7486.25
113498,116957,12477.5
113498,116962,6985.0
113498,117010,86916.25
113498,117020,378.75
113498,117966,42702.5
113498,181006,6941.25
113498,181011,4456.25
113498,181027,33648.75
113498,181072,3901.25
113498,195865,6823.75
113498,195896,11322.5
113498,195944,78632.5
113498,195969,97457.5
113498,196009,20945.0
113498,196014,5005.0
113498,196022,4937.5
113498,196061,4257.5
113498,196109,2006.25
113498,196702,5350.0
113498,196704,107.5
113520,106832,19428.75
113520,108865,35541.25
113520,112601,2287.5
113520,113439,5302.5
113520,113445,2372.5
113520,113451,14147.5
113520,113468,31242.5
113520,113498,64446.25
113520,113555,53693.75
113520,113577,31230.0
113520,113638,35515.0
113520,113658,6392.5
