origin,destination,volume
118009,118010,26615.0
118009,118022,46780.0
118009,118044,11435.0
118009,118051,9993.75
118009,121643,43220.0
118009,121697,30347.5
118009,121757,5135.0
118009,121759,30930.0
118009,121771,16731.25
118009,121785,5293.75
118009,121803,5553.75
118009,121811,2573.75
118009,250454,257771.25
118009,250459,184528.75
118009,250495,15322.5
118010,118009,43851.25
118010,118022,11040.0
118010,118044,5622.5
118010,121643,2421.25
118010,121697,7585.0
118010,121757,290.0
118010,121759,4848.75
118010,121771,2195.0
118010,121785,207.5
118010,250454,49447.5
118010,250459,32120.0
118010,250495,1852.5
118022,118009,16728.75
118022,118010,5356.25
118022,118044,15967.5
118022,118051,1340.0
118022,121643,673.75
118022,121697,47632.5
118022,121757,480.0
118022,121759,1053.75
118022,121771,1116.25
118022,121783,236.25
118022,121785,513.75
118022,121803,486.25
118022,250454,18337.5
118022,250459,70306.25
118022,250495,1761.25
118044,118009,12387.5
118044,118010,3560.0
118044,118022,7200.0
118044,118051,2.5
118044,121643,308.75
118044,121697,125.0
118044,121757,17652.5
118044,121759,5102.5
118044,121771,4946.25
118044,121783,386.25
118044,121785,25.0
118044,121803,603.75
118044,121811,1003.75
118044,250454,11443.75
118044,250459,8213.75
118044,250495,11977.5
118051,118009,20190.0
118051,118022,1401.25
118051,118044,28.75
118051,121643,48.75
118051,121697,275.0
118051,121757,17.5
118051,121759,366.25
118051,121771,123.75
118051,121785,10778.75
118051,121802,741.25
118051,121803,82.5
118051,121811,133.75
118051,250454,1508.75
118051,250459,58.75
118051,250495,600.0
118051,252067,26566.25
121643,118009,5720.0
121643,118010,3307.5
121643,118022,581.25
121643,118044,16.25
121643,121697,48.75
121643,121757,8.75
121643,121759,5.0
121643,121771,68.75
121643,121783,471.25
121643,121803,2.5
121643,121811,2.5
121643,250454,46795.0
121643,250459,37605.0
121643,250495,8.75
121697,118009,29593.75
121697,118010,9778.75
121697,118022,18707.5
121697,118044,2193.75
121697,118051,23.75
121697,121643,743.75
121697,121757,10463.75
121697,121759,2888.75
121697,121771,221.25
121697,121783,622.5
121697,121785,785.0
121697,121803,555.0
121697,121811,1112.5
121697,250454,14503.75
121697,250459,7645.0
121697,250495,1340.0
121757,118009,18493.75
121757,118010,842.5
121757,118022,660.0
121757,118044,24051.25
121757,118051,31.25
121757,121643,14395.0
121757,121697,14002.5
121757,121759,13368.75
121757,121771,728.75
121757,121783,247.5
121757,121785,81.25
121757,121803,407.5
121757,121811,153.75
121757,250454,2936.25
121757,250459,23106.25
121757,250495,9260.0
121759,118009,14547.5
121759,118010,4432.5
121759,118022,547.5
121759,118044,208.75
121759,121643,437.5
121759,121697,1206.25
121759,121757,195.0
121759,121771,351.25
121759,121783,1587.5
121759,121785,6.25
121759,121803,348.75
121759,121811,165.0
121759,250454,870.0
121759,250459,3408.75
121759,250495,767.5
121771,118009,9746.25
121771,118010,1822.5
121771,118022,550.0
121771,118044,2753.75
121771,118051,4695.0
121771,121643,36.25
121771,121697,650.0
121771,121757,3766.25
121771,121759,2837.5
121771,121783,6037.5
121771,121785,25022.5
121771,121803,123.75
121771,121811,383.75
121771,250454,4811.25
121771,250459,295.0
121771,250495,788.75
121783,118022,900.0
121783,118044,978.75
121783,121643,427.5
121783,121697,812.5
121783,121757,232.5
121783,121759,3035.0
121783,121771,7442.5
121783,121785,4570.0
121783,250454,3596.25
121783,250459,7760.0
121783,250495,478.75
121785,118009,16835.0
121785,118010,1215.0
121785,118022,760.0
121785,118044,435.0
121785,118051,2743.75
121785,121643,1091.25
121785,121697,1370.0
121785,121757,673.75
121785,121759,946.25
121785,121771,26412.5
121785,121783,14640.0
121785,121803,17.5
121785,121811,10.0
121785,250454,45.0
121785,250459,1125.0
121785,250495,47.5
121785,252067,3578.75
121802,118051,723.75
121802,121803,1805.0
121803,118009,3015.0
121803,118022,335.0
121803,118044,475.0
121803,118051,11853.75
121803,121643,10.0
121803,121697,245.0
121803,121757,4605.0
121803,121759,201.25
121803,121771,121.25
121803,121802,10668.75
121803,121811,5018.75
121803,250454,433.75
121803,250459,128.75
121803,250495,280.0
121803,252045,2585.0
121803,252067,1637.5
121811,118009,1581.25
121811,118044,18.75
121811,121643,142.5
121811,121697,322.5
121811,121757,4796.25
121811,121759,22.5
121811,121785,1.25
121811,121803,656.25
121811,250454,65.0
121811,250459,107.5
121811,250495,796.25
250454,118009,134720.0
250454,118010,22935.0
250454,118022,29930.0
250454,118044,25562.5
250454,118051,18.75
250454,121643,24695.0
250454,121697,33558.75
250454,121757,7988.75
250454,121759,5747.5
250454,121771,4925.0
250454,121783,1141.25
250454,121785,17.5
250454,121803,458.75
250454,121811,731.25
250454,250459,648541.25
250454,250495,6497.5
250459,118009,136878.75
250459,118010,17807.5
250459,118022,127532.5
250459,118044,4395.0
250459,118051,1.25
250459,121643,36055.0
250459,121697,1678.75
250459,121757,6291.25
250459,121759,2305.0
250459,121771,3088.75
250459,121783,2813.75
250459,121785,6.25
250459,121803,772.5
250459,121811,1187.5
250459,250454,669547.5
250459,250495,2191.25
250495,118009,11243.75
250495,118010,2450.0
250495,118022,1390.0
250495,118044,132.5
250495,121643,871.25
250495,121697,1263.75
250495,121757,73.75
250495,121759,5551.25
250495,121771,470.0
250495,121783,336.25
250495,121785,10.0
250495,121803,168.75
250495,121811,643.75
250495,250454,2213.75
250495,250459,2091.25
252045,121803,1532.5
252067,118051,8258.75
252067,121785,1263.75
252067,121803,350.0
