origin,destination,volume
114355,198362,203.75
114355,198427,67.5
114355,200069,176.25
114355,200123,187.5
114355,200156,173.75
114355,200189,211.25
114355,200252,292.5
114355,200279,115.0
114355,200291,20.0
114355,200959,391602.5
114355,200989,41.25
114355,201027,236.25
114355,250807,231.25
198161,198199,152515.0
198161,198230,2276.25
198161,198233,628560.0
198161,198256,82881.25
198161,198263,3512.5
198161,198315,39201.25
198161,198343,50361.25
198161,198346,14652.5
198161,198355,2877.5
198161,198362,149540.0
198161,198421,4323.75
198161,198427,4691.25
198161,199921,21233.75
198161,199945,21152.5
198161,199961,9577.5
198161,199973,68106.25
198161,199983,265930.0
198161,200069,46795.0
198161,200073,6360.0
198161,200123,4016.25
198161,200156,3917.5
198161,200189,3930.0
198161,200252,12195.0
198161,200279,8315.0
198161,200291,2240.0
198161,200876,571.25
198161,200890,2180.0
198161,200896,532.5
198161,200900,1950.0
198161,200959,1481.25
198161,200963,3017.5
198161,200989,7423.75
198161,201027,7655.0
198161,250807,17787.5
198161,250854,1617.5
198199,198161,136566.25
198199,198230,28415.0
198199,198233,360792.5
198199,198256,202202.5
198199,198263,4761.25
198199,198315,80611.25
198199,198343,229770.0
198199,198346,72227.5
198199,198355,7768.75
198199,198362,169053.75
198199,198421,13138.75
198199,198427,25395.0
198199,199921,3740.0
198199,199945,8831.25
198199,199961,3927.5
198199,199973,32308.75
198199,199983,106625.0
198199,200069,40788.75
198199,200073,5678.75
198199,200123,39610.0
198199,200156,25552.5
198199,200189,27372.5
198199,200252,31351.25
198199,200279,8212.5
198199,200291,5445.0
198199,200876,456.25
198199,200890,5976.25
198199,200896,1677.5
198199,200900,1755.0
198199,200959,14205.0
198199,200963,8495.0
198199,200989,34633.75
198199,201027,56183.75
198199,250807,36381.25
198199,250854,15650.0
198230,198161,3936.25
198230,198199,30708.75
198230,198233,98427.5
198230,198256,18246.25
198230,198263,29815.0
198230,198315,17835.0
198230,198343,10966.25
198230,198346,3203.75
198230,198355,942.5
198230,198362,35932.5
198230,198421,1500.0
198230,198427,1361.25
198230,199907,4476.25
198230,199921,22478.75
198230,199945,19878.75
198230,199961,9398.75
198230,199973,79413.75
198230,199983,176623.75
198230,200069,11753.75
198230,200073,8077.5
198230,200123,2993.75
198230,200156,3178.75
198230,200189,2861.25
198230,200252,7527.5
198230,200279,1167.5
198230,200291,1390.0
198230,200876,447.5
198230,200890,2832.5
198230,200896,380.0
198230,200900,2227.5
198230,200959,1128.75
198230,200963,60.0
198230,200989,4162.5
198230,201027,3692.5
198230,250807,17583.75
198230,250854,271.25
198233,198161,391957.5
198233,198199,262251.25
198233,198230,80981.25
198233,198256,264128.75
198233,198263,207646.25
198233,198315,117950.0
198233,198343,146783.75
198233,198346,50450.0
198233,198355,5645.0
198233,198362,664025.0
198233,198421,10172.5
198233,198427,25623.75
198233,199907,10157.5
198233,199921,47600.0
198233,199945,52468.75
198233,199961,21368.75
198233,199973,216877.5
198233,199983,568808.75
198233,200069,363863.75
198233,200073,36596.25
198233,200123,27055.0
198233,200156,31538.75
198233,200189,33843.75
198233,200252,133382.5
198233,200279,21753.75
198233,200291,9592.5
198233,200876,1272.5
198233,200890,5401.25
198233,200896,1621.25
198233,200900,7755.0
198233,200959,5316.25
198233,200963,10823.75
198233,200989,20047.5
198233,201027,22310.0
198233,250807,161015.0
198233,250854,5160.0
198256,198161,60728.75
198256,198199,223398.75
198256,198230,17290.0
198256,198233,293788.75
198256,198263,146160.0
198256,198315,2751.25
198256,198343,131507.5
198256,198346,40948.75
198256,198355,95877.5
198256,198362,179060.0
198256,198421,7328.75
198256,198427,11708.75
198256,199907,5340.0
198256,199921,6751.25
198256,199945,3056.25
198256,199961,1538.75
198256,199973,13777.5
198256,199983,42146.25
198256,200069,19117.5
198256,200073,2067.5
198256,200123,1502.5
198256,200156,1847.5
198256,200189,2427.5
198256,200252,18258.75
198256,200279,4547.5
198256,200291,9490.0
198256,200876,71.25
198256,200890,5006.25
198256,200896,71.25
198256,200900,391.25
198256,200959,282.5
198256,200963,5837.5
198256,200989,12583.75
198256,201027,6243.75
198256,250807,10542.5
198256,250854,3208.75
198263,198161,1810.0
198263,198199,2822.5
198263,198230,18185.0
198263,198233,204457.5
198263,198256,77516.25
198263,198315,31901.25
198263,198343,30083.75
198263,198346,926.25
198263,198362,17591.25
198263,198427,3.75
198263,199907,132.5
198263,199921,32791.25
198263,199945,86963.75
198263,199961,26128.75
198263,199973,200347.5
198263,199983,165646.25
198263,200069,56443.75
198263,200073,36975.0
198263,200123,85577.5
198263,200156,40965.0
