origin,destination,volume
101728,105991,6775.0
101728,105997,701.25
101728,106000,2320.0
101728,106031,14645.0
101728,106034,1985.0
101728,106037,7457.5
101728,106069,7580.0
101728,106085,10342.5
101728,106105,3703.75
101728,106108,327.5
101728,106130,46306.25
101728,106263,4648.75
101728,106278,43181.25
101728,126382,14388.75
101728,126453,355.0
101728,126507,2917.5
101728,126530,845.0
101728,190007,30015.0
101728,190093,19790.0
101728,190362,1321.25
101728,190552,8427.5
105991,101728,1762.5
105991,105997,11983.75
105991,106000,24051.25
105991,106031,13306.25
105991,106034,8037.5
105991,106037,3687.5
105991,106039,117.5
105991,106057,51522.5
105991,106069,177.5
105991,106085,23.75
105991,106108,0.0
105991,106130,6.25
105991,106278,1.25
105991,126382,7.5
105991,126451,1376.25
105991,126453,762.5
105991,126507,2907.5
105991,126530,10.0
105991,190007,0.0
105991,190093,12.5
105991,190383,958.75
105991,190552,15061.25
105997,101728,123.75
105997,105991,17641.25
105997,106000,33535.0
105997,106031,38690.0
105997,106034,16460.0
105997,106037,4890.0
105997,106039,212.5
105997,106057,12392.5
105997,106069,131.25
105997,106085,37.5
105997,106130,7.5
105997,126382,16.25
105997,126453,1316.25
105997,126507,3716.25
105997,126530,11.25
105997,190007,0.0
105997,190093,17.5
105997,190552,1910.0
105997,250071,778.75
106000,101728,805.0
106000,105991,27801.25
106000,105997,28311.25
106000,106031,81950.0
106000,106034,30965.0
106000,106037,3963.75
106000,106039,1755.0
106000,106057,21001.25
106000,106069,706.25
106000,106085,92.5
106000,106105,2.5
106000,106108,1.25
106000,106130,25.0
106000,106278,1.25
106000,126382,35.0
106000,126453,7135.0
106000,126507,10766.25
106000,126530,43.75
106000,190007,2.5
106000,190093,45.0
106000,190383,468.75
106000,190552,4350.0
106031,101728,3967.5
106031,105991,28361.25
106031,105997,79506.25
106031,106000,100422.5
106031,106034,127343.75
106031,106037,80265.0
106031,106039,3153.75
106031,106057,79297.5
106031,106069,11428.75
106031,106085,20417.5
106031,106105,328.75
106031,106108,546.25
106031,106130,16535.0
106031,106263,15.0
106031,106278,475.0
106031,126382,9286.25
106031,126451,3572.5
106031,126453,8787.5
106031,126507,78868.75
106031,126530,3923.75
106031,190007,583.75
106031,190093,13218.75
106031,190362,30.0
106031,190383,2415.0
106031,190552,17073.75
106034,101728,467.5
106034,105991,11492.5
106034,105997,1887.5
106034,106000,28358.75
106034,106031,158902.5
106034,106037,15832.5
106034,106039,29150.0
106034,106057,14368.75
106034,106069,897.5
106034,106085,151.25
106034,106105,15.0
106034,106108,120.0
106034,106130,33.75
106034,106278,1.25
106034,126382,68.75
106034,126453,55338.75
106034,126507,11368.75
106034,126530,88.75
106034,190007,2.5
106034,190093,55.0
106034,190552,3337.5
106037,101728,3401.25
106037,105991,4420.0
106037,105997,8195.0
106037,106000,8110.0
106037,106031,107312.5
106037,106034,26427.5
106037,106039,197.5
106037,106069,81666.25
106037,106085,18621.25
106037,106105,2043.75
106037,106108,4883.75
106037,106130,15380.0
106037,106263,23.75
106037,106278,281.25
106037,126382,3443.75
106037,126451,55777.5
106037,126453,14000.0
106037,126507,62563.75
106037,126530,19031.25
106037,190007,680.0
106037,190093,13840.0
106037,190362,48.75
106037,190383,1810.0
106037,190552,14186.25
106039,105991,116.25
106039,105997,466.25
106039,106000,991.25
106039,106031,2850.0
106039,106034,7792.5
106039,106037,16.25
106039,106057,8493.75
106039,106085,1.25
106039,106105,6.25
106039,106108,338.75
106039,126382,1.25
106039,126453,10011.25
106039,126507,46.25
106039,126530,23.75
106039,190093,0.0
106039,190552,732.5
106039,250071,422.5
106057,105991,105018.75
106057,105997,34645.0
106057,106000,33507.5
106057,106031,181965.0
106057,106034,28708.75
106057,106039,53390.0
106057,126453,11637.5
106057,190552,30891.25
106069,101728,2558.75
106069,105991,375.0
106069,105997,2088.75
106069,106000,1330.0
106069,106031,5707.5
106069,106034,1197.5
106069,106037,41422.5
106069,106039,21.25
106069,106085,6985.0
106069,106105,1493.75
106069,106108,1013.75
106069,106130,963.75
106069,106263,23.75
106069,106278,265.0
106069,126382,10161.25
106069,126451,39963.75
106069,126453,773.75
106069,126507,14963.75
106069,190007,493.75
106069,190093,7691.25
106069,190362,40.0
106069,190383,1358.75
106069,190552,7537.5
106085,101728,5998.75
106085,105991,637.5
106085,105997,3583.75
106085,106000,2225.0
106085,106031,13367.5
106085,106034,2126.25
106085,106037,46266.25
106085,106039,10.0
106085,106069,78812.5
106085,106105,64332.5
106085,106108,2966.25
106085,106130,33470.0
106085,106263,4063.75
106085,106278,7125.0
106085,126382,50453.75
106085,126451,56140.0
106085,126453,1331.25
106085,126507,20852.5
106085,190007,29331.25
106085,190093,56648.75
106085,190362,8253.75
106085,190383,4198.75
106085,190552,9835.0
106105,101728,1777.5
106105,105991,10.0
106105,105997,86.25
106105,106000,43.75
106105,106031,2193.75
106105,106034,52.5
106105,106037,2542.5
106105,106039,3.75
106105,106069,6745.0
106105,106085,15862.5
106105,106108,38806.25
106105,106130,6816.25
106105,106263,90.0
106105,106278,2845.0
106105,126382,12662.5
106105,126451,18425.0
106105,126453,1080.0
106105,126507,378.75
106105,126530,187.5
106105,190007,1205.0
106105,190093,5785.0
106105,190362,1707.5
106105,190383,1041.25
106105,190552,2020.0
106108,101728,122.5
106108,105991,11.25
106108,105997,75.0
106108,106000,50.0
106108,106031,3558.75
106108,106034,215.0
106108,106037,3360.0
106108,106039,1911.25
106108,106069,1071.25
106108,106085,633.75
106108,106105,22312.5
106108,106130,240.0
106108,106263,7.5
106108,106278,78.75
106108,126382,347.5
106108,126451,9020.0
106108,126453,15088.75
106108,126507,422.5
106108,126530,283.75
106108,190007,27.5
106108,190093,177.5
106108,190362,23.75
106108,190552,703.75
106130,101728,8655.0
106130,105991,78.75
106130,105997,472.5
106130,106000,297.5
106130,106031,38802.5
106130,106034,260.0
106130,106037,17992.5
106130,106039,36.25
106130,106069,4182.5
106130,106085,44528.75
106130,106105,20885.0
106130,106108,1510.0
106130,106263,4835.0
106130,106278,1300.0
106130,126382,77838.75
106130,126451,43388.75
106130,126453,288.75
106130,126507,2907.5
106130,126530,3263.75
106130,190007,137222.5
106130,190093,137173.75
106130,190362,16906.25
106130,190383,33146.25
106130,190552,8588.75
106263,101728,4161.25
106263,105991,8.75
106263,105997,5.0
106263,106031,178.75
106263,106037,8.75
106263,106039,172.5
106263,106069,411.25
106263,106085,955.0
106263,106105,110.0
106263,106108,1.25
106263,106130,12640.0
106263,106278,32658.75
106263,126382,3886.25
106263,126451,7705.0
106263,126453,13.75
106263,126507,0.0
106263,126530,10.0
106263,190007,9118.75
106263,190093,1537.5
106263,190362,9738.75
106263,190383,11663.75
106263,190552,2407.5
106278,101728,13303.75
106278,106031,1.25
106278,106037,1.25
106278,106069,2.5
106278,106085,36.25
106278,106105,13.75
106278,106108,1.25
106278,106130,1567.5
106278,106263,6210.0
106278,126382,1081.25
106278,190007,13342.5
106278,190093,260.0
106278,190362,2412.5
106278,190383,11566.25
106278,190552,1661.25
126382,101728,1856.25
126382,105991,53.75
126382,105997,248.75
126382,106000,216.25
126382,106031,18543.75
126382,106034,153.75
126382,106037,10986.25
126382,106039,25.0
126382,106069,28586.25
126382,106085,107388.75
126382,106105,8753.75
126382,106108,412.5
126382,106130,121686.25
126382,106263,18916.25
126382,106278,1828.75
126382,126451,8903.75
126382,126453,192.5
126382,126507,1968.75
126382,126530,2405.0
126382,190007,36106.25
126382,190093,84045.0
126382,190362,9192.5
126382,190383,7391.25
126382,190552,2085.0
126451,105991,4002.5
126451,106031,7705.0
126451,106037,71792.5
126451,106069,43938.75
126451,106085,42618.75
126451,106105,18972.5
126451,106108,18596.25
126451,106130,95440.0
126451,106263,835.0
126451,126382,29108.75
126451,126453,51523.75
126451,126507,30597.5
126451,126530,4681.25
126451,190007,48472.5
126451,190093,62406.25
126451,190552,1220.0
126453,101728,41.25
126453,105991,1025.0
126453,105997,6453.75
126453,106000,8055.0
126453,106031,6350.0
126453,106034,32412.5
126453,106037,4638.75
126453,106039,25130.0
126453,106057,2005.0
126453,106069,1253.75
126453,106085,116.25
126453,106105,215.0
126453,106108,15302.5
126453,106130,27.5
126453,106278,1.25
126453,126382,53.75
126453,126451,23686.25
126453,126507,1051.25
126453,126530,156.25
126453,190007,1.25
126453,190093,47.5
126453,190552,530.0
126453,250071,270.0
126507,101728,1288.75
126507,105991,1998.75
126507,105997,12696.25
126507,106000,7408.75
126507,106031,41450.0
126507,106034,7378.75
126507,106037,67481.25
126507,106039,76.25
126507,106069,7170.0
126507,106085,617.5
126507,106105,37.5
126507,106108,61.25
126507,106130,132.5
126507,106278,10.0
