origin,destination,volume
103814,103815,111.25
103814,103816,1132.5
103814,103817,5.0
103814,103822,5112.5
103814,103827,18.75
103814,103843,8092.5
103814,103849,2255.0
103814,103872,251.25
103814,103874,72.5
103814,103890,250.0
103814,103896,36623.75
103814,103903,13793.75
103814,103918,986.25
103814,103928,4662.5
103814,103954,12237.5
103814,103973,72717.5
103814,103978,392.5
103814,110166,6.25
103814,110174,28.75
103814,110200,60.0
103814,110205,4707.5
103814,110213,41.25
103814,110441,406.25
103814,124583,3.75
103814,124615,2.5
103814,168081,45.0
103814,168123,258.75
103814,200742,492.5
103814,202075,1465.0
103814,251172,1.25
103814,251175,1.25
103815,103814,455.0
103815,103816,9556.25
103815,103817,8.75
103815,103822,620.0
103815,103827,100303.75
103815,103843,7545.0
103815,103849,3176.25
103815,103868,1.25
103815,103872,8.75
103815,103890,68.75
103815,103903,800.0
103815,103918,2566.25
103815,103928,2.5
103815,103973,17292.5
103815,103978,38.75
103815,110166,87.5
103815,110441,156.25
103815,168081,25.0
103815,200742,397.5
103815,202075,2.5
103815,251175,1.25
103816,103814,5626.25
103816,103815,82788.75
103816,103817,81.25
103816,103822,4731.25
103816,103827,6361.25
103816,103843,39643.75
103816,103849,13262.5
103816,103867,102.5
103816,103868,755.0
103816,103872,31.25
103816,103890,21585.0
103816,103896,5.0
103816,103903,8143.75
103816,103918,30802.5
103816,103928,100.0
103816,103954,6.25
103816,103973,25586.25
103816,103978,310.0
103816,110166,34806.25
103816,110174,0.0
103816,110200,38.75
103816,110205,1.25
103816,110213,547.5
103816,110441,1261.25
103816,124583,125.0
103816,168081,68.75
103816,168123,18.75
103816,200742,1285.0
103816,202075,3.75
103816,251172,461.25
103816,251175,442.5
103817,103814,2.5
103817,103815,3.75
103817,103816,53.75
103817,103827,1.25
103817,103867,180.0
103817,103868,1818.75
103817,103872,1018.75
103817,103874,7.5
103817,103890,171.25
103817,103903,50.0
103817,103918,236.25
103817,103928,0.0
103817,103973,118.75
103817,103978,24593.75
103817,110173,3996.25
103817,110200,6.25
103817,110205,1.25
103817,110211,36.25
103817,110213,16806.25
103817,110241,570.0
103817,124583,12.5
103817,124615,58.75
103817,168123,14095.0
103817,200742,4675.0
103817,202075,10.0
103817,251172,37.5
103817,251175,402.5
103822,103814,11358.75
103822,103815,831.25
103822,103816,5757.5
103822,103817,66.25
103822,103827,76.25
103822,103843,31696.25
103822,103849,10957.5
103822,103867,848.75
103822,103868,970.0
103822,103872,270.0
103822,103874,241.25
103822,103890,7365.0
103822,103896,255.0
103822,103903,3977.5
103822,103918,236.25
103822,103928,480.0
103822,103954,17.5
103822,103973,108940.0
103822,103978,2292.5
103822,110166,6622.5
103822,110173,2091.25
103822,110174,173.75
103822,110200,445.0
103822,110205,760.0
103822,110211,307.5
103822,110213,6755.0
103822,110241,322.5
103822,110441,3177.5
103822,124583,1016.25
103822,124615,808.75
103822,168081,58222.5
103822,168123,4952.5
103822,200742,1393.75
103822,202075,16258.75
103822,251172,1138.75
103822,251175,1828.75
103827,103814,328.75
103827,103815,71383.75
103827,103816,9411.25
103827,103822,10.0
103827,103843,211.25
103827,103849,85.0
103827,103867,16.25
103827,103868,8.75
103827,103872,1278.75
103827,103890,208.75
103827,103903,988.75
103827,103918,20158.75
103827,103928,3.75
103827,103973,4652.5
103827,103978,727.5
103827,110166,101.25
103827,168123,8.75
103827,200742,13.75
103827,251175,3.75
103843,103814,3623.75
103843,103815,4745.0
103843,103816,36625.0
103843,103817,1.25
103843,103822,6048.75
103843,103827,1288.75
103843,103867,9145.0
103843,103868,101843.75
103843,103872,4491.25
103843,103874,27.5
103843,103890,30081.25
103843,103896,487.5
103843,103903,1687.5
103843,103918,2413.75
103843,103928,1076.25
103843,103954,422.5
103843,103973,84145.0
103843,103978,67646.25
103843,110173,702.5
103843,110174,12.5
103843,110200,287.5
103843,110205,306.25
103843,110211,35.0
103843,110213,3478.75
103843,110241,112.5
103843,110441,146.25
103843,124583,843.75
103843,124615,52.5
103843,168081,427.5
103843,168123,88400.0
103843,200742,6026.25
103843,202075,6371.25
103843,251172,66.25
103843,251175,322.5
103849,103814,1196.25
103849,103815,2218.75
103849,103816,14066.25
103849,103822,1252.5
103849,103827,532.5
103849,103867,1483.75
103849,103868,1137.5
103849,103872,1050.0
103849,103874,31.25
103849,103890,1526.25
103849,103896,122.5
103849,103903,392.5
103849,103918,711.25
103849,103928,402.5
103849,103954,106.25
103849,103973,25277.5
103849,103978,391.25
103849,110166,12101.25
103849,110173,1030.0
103849,110174,3.75
103849,110200,47.5
103849,110205,190.0
103849,110211,440.0
103849,110213,952.5
103849,110241,297.5
103849,110441,62.5
103849,124583,141.25
103849,124615,73.75
103849,168123,787.5
103849,200742,177.5
103849,202075,858.75
103849,251172,73.75
103849,251175,3206.25
103867,103814,1.25
103867,103815,1.25
103867,103816,132.5
103867,103817,325.0
103867,103822,620.0
103867,103827,38.75
103867,103843,13858.75
103867,103849,1475.0
103867,103868,102587.5
103867,103872,9130.0
103867,103890,26.25
103867,103903,0.0
103867,103918,15032.5
103867,103973,1866.25
103867,103978,17805.0
103867,110173,1.25
103867,110211,2.5
103867,110213,2065.0
103867,110441,26.25
103867,168081,16.25
103867,168123,4038.75
103867,200742,903.75
103867,251172,371.25
103867,251175,2418.75
103868,103815,8.75
103868,103816,512.5
103868,103817,1643.75
103868,103822,758.75
103868,103827,8.75
103868,103843,120367.5
103868,103849,887.5
103868,103867,89642.5
103868,103872,186.25
103868,103890,283.75
103868,103903,21.25
103868,103918,7333.75
103868,103973,2968.75
103868,103978,10061.25
103868,110173,16.25
103868,110211,16.25
103868,110213,1562.5
103868,110441,35.0
103868,168081,16.25
103868,168123,1423.75
103868,200742,2156.25
103868,251172,2958.75
103868,251175,65353.75
103872,103814,1.25
103872,103815,26.25
103872,103816,5.0
103872,103817,2186.25
103872,103822,187.5
103872,103827,260.0
103872,103843,9765.0
103872,103849,1460.0
103872,103867,167.5
103872,103868,38.75
103872,103918,25511.25
103872,103978,28937.5
103872,110213,315.0
103872,110441,20.0
103872,168081,10.0
103872,168123,1182.5
103872,200742,335.0
103872,251172,0.0
103872,251175,5.0
103874,103814,5.0
103874,103822,16.25
103874,103849,2.5
103874,103868,1.25
103874,103872,68.75
103874,103890,3.75
103874,103918,3.75
103874,103928,21.25
103874,103978,1220.0
103874,110173,46.25
103874,110174,287.5
103874,110200,11.25
103874,110205,3.75
103874,110211,337.5
103874,110213,7.5
103874,110240,1.25
103874,110241,67.5
103874,110441,25.0
103874,124583,2.5
103874,124615,75783.75
103874,168123,16.25
103874,200742,88.75
103874,202075,13810.0
103874,251172,28.75
103874,251175,263.75
103890,103814,2528.75
103890,103815,448.75
103890,103816,22078.75
103890,103817,212.5
103890,103822,7702.5
103890,103827,212.5
103890,103843,50728.75
103890,103849,2107.5
103890,103867,36.25
103890,103868,873.75
103890,103872,6.25
103890,103874,63.75
103890,103896,6.25
103890,103903,9692.5
103890,103918,1111.25
103890,103928,2830.0
103890,103954,1.25
103890,103973,2930.0
103890,103978,275.0
103890,110166,15696.25
103890,110173,1.25
103890,110174,538.75
103890,110200,4711.25
103890,110205,217.5
103890,110211,23.75
103890,110213,8.75
103890,110441,2196.25
103890,124583,42032.5
103890,124615,165.0
103890,168081,95.0
103890,168123,27.5
103890,200742,1937.5
103890,202075,108.75
103890,251172,4746.25
103890,251175,557.5
103896,103814,20225.0
103896,103815,0.0
103896,103816,6.25
103896,103817,0.0
103896,103822,417.5
103896,103827,7.5
103896,103843,1358.75
103896,103849,340.0
103896,103872,8.75
103896,103874,477.5
103896,103890,5.0
103896,103903,2798.75
103896,103918,92.5
103896,103928,3602.5
103896,103954,43691.25
103896,103973,16122.5
103896,103978,2.5
103896,110174,8.75
103896,110200,37.5
103896,110205,2271.25
103896,110441,142.5
103896,124583,1.25
103896,124615,1.25
103896,168081,35.0
103896,168123,3.75
103896,200742,98.75
103896,202075,463.75
103903,103814,17716.25
103903,103815,11527.5
103903,103816,8933.75
103903,103817,47.5
103903,103822,23345.0
103903,103827,4522.5
103903,103843,2497.5
103903,103849,493.75
103903,103867,6.25
103903,103868,305.0
103903,103872,12.5
103903,103874,128.75
103903,103890,6736.25
103903,103896,13457.5
103903,103918,5227.5
103903,103928,33940.0
103903,103954,205.0
103903,103973,245357.5
103903,103978,96.25
103903,110166,2310.0
103903,110174,525.0
103903,110200,1390.0
103903,110205,3106.25
103903,110211,31.25
103903,110213,14118.75
103903,110441,565.0
103903,124583,15598.75
103903,124615,136.25
103903,168081,26.25
103903,168123,15.0
103903,200742,10976.25
103903,202075,545.0
103903,251172,4347.5
103903,251175,731.25
103918,103814,13.75
103918,103815,1592.5
103918,103816,10281.25
103918,103817,13.75
103918,103822,30.0
103918,103827,15077.5
103918,103843,627.5
103918,103849,107.5
103918,103867,3272.5
103918,103868,1016.25
103918,103872,30575.0
103918,103890,86.25
103918,103903,237.5
103918,103928,1.25
103918,103973,542.5
103918,103978,24617.5
103918,110166,1.25
103918,110213,332.5
103918,110441,1.25
103918,168081,1.25
103918,168123,183.75
103918,200742,46.25
103918,251172,33.75
103918,251175,733.75
103928,103814,11975.0
103928,103815,188.75
103928,103816,1707.5
103928,103817,2.5
103928,103822,815.0
103928,103827,61.25
103928,103843,2576.25
103928,103849,842.5
103928,103867,0.0
103928,103868,3.75
103928,103872,3.75
103928,103874,113.75
103928,103890,9445.0
103928,103896,33850.0
103928,103903,21406.25
103928,103918,353.75
103928,103954,915.0
103928,103973,34740.0
103928,103978,23.75
103928,110166,105.0
103928,110174,515.0
103928,110200,2507.5
103928,110205,27573.75
103928,110213,1.25
103928,110441,482.5
103928,124583,450.0
103928,124615,166.25
103928,168081,35.0
103928,168123,5.0
103928,200742,182.5
103928,202075,1467.5
103928,251172,33.75
103928,251175,7.5
103954,103814,17946.25
103954,103815,6.25
103954,103816,16.25
103954,103822,20.0
103954,103843,572.5
103954,103849,122.5
103954,103872,31.25
103954,103874,5.0
103954,103890,12.5
103954,103896,48225.0
103954,103903,1722.5
103954,103928,432.5
103954,103973,835.0
103954,103978,20.0
103954,110174,42.5
103954,110200,87.5
103954,110205,3700.0
103954,110213,5.0
103954,110441,61.25
103954,124583,8.75
103954,124615,10.0
103954,168081,68.75
103954,168123,13.75
103954,200742,3.75
103954,202075,103.75
103973,103814,62311.25
103973,103815,12655.0
103973,103816,15296.25
103973,103817,148.75
103973,103822,120416.25
103973,103827,2831.25
103973,103843,111402.5
103973,103849,39368.75
103973,103868,5.0
103973,103872,2.5
103973,103890,11513.75
103973,103896,3553.75
103973,103903,101515.0
103973,103918,2741.25
103973,103928,9532.5
103973,103954,157.5
103973,103978,16185.0
103973,110166,125.0
103973,110174,17.5
103973,110200,32.5
103973,110205,16307.5
103973,110213,10112.5
103973,110441,5621.25
103973,124583,131.25
103973,124615,3.75
103973,168081,172.5
103973,200742,3662.5
103973,202075,2301.25
103973,251172,27.5
103973,251175,14458.75
103978,103814,887.5
103978,103815,82.5
103978,103816,87.5
103978,103817,18876.25
103978,103822,1246.25
103978,103827,480.0
103978,103843,46318.75
103978,103849,535.0
103978,103867,5396.25
103978,103868,2251.25
103978,103872,29833.75
103978,103874,0.0
103978,103890,5.0
103978,103903,1.25
103978,103918,5268.75
103978,103954,40.0
103978,103973,1207.5
103978,110173,560.0
103978,110213,1278.75
103978,110241,1.25
103978,124615,2.5
103978,168081,97.5
103978,168123,374763.75
103978,200742,1797.5
103978,202075,11.25
103978,251172,115.0
103978,251175,162.5
110166,103814,8.75
110166,103815,77.5
110166,103816,4057.5
110166,103822,5941.25
110166,103827,62.5
110166,103849,5962.5
110166,103890,1953.75
110166,103903,102.5
110166,103918,7.5
110166,103928,1.25
110166,103973,26.25
110166,110200,1.25
110166,110441,485.0
110166,124583,15.0
110166,168081,71.25
110173,103814,10.0
110173,103816,1.25
110173,103817,2288.75
110173,103822,2726.25
110173,103843,157.5
110173,103849,1128.75
110173,103867,2.5
110173,103868,143.75
110173,103874,42.5
110173,103890,5.0
110173,103918,13.75
110173,103954,8.75
110173,103978,1260.0
110173,110174,16.25
110173,110211,513.75
110173,110213,30242.5
110173,110240,9581.25
110173,110241,8785.0
110173,110441,75.0
110173,124615,182.5
110173,168081,46.25
110173,168123,1592.5
110173,200742,31708.75
110173,251172,860.0
110173,251175,46572.5
110174,103814,47.5
110174,103817,2.5
110174,103822,176.25
110174,103843,2.5
110174,103849,27.5
110174,103872,1.25
110174,103874,4445.0
110174,103890,72.5
110174,103903,10.0
110174,103928,23.75
110174,103954,1.25
110174,103973,5.0
110174,103978,2.5
110174,110173,3.75
110174,110205,386.25
110174,110211,45.0
110174,110213,23.75
110174,110240,25.0
110174,110241,11.25
110174,110441,231.25
110174,124583,181.25
110174,168081,10.0
110174,168123,1.25
110174,200742,851.25
110174,251172,158.75
110174,251175,186.25
110200,103814,1446.25
110200,103815,1.25
110200,103816,21.25
110200,103817,10.0
110200,103822,708.75
110200,103827,1.25
110200,103843,1065.0
110200,103849,155.0
110200,103867,1.25
110200,103868,10.0
110200,103872,1.25
110200,103874,4241.25
110200,103890,6722.5
110200,103896,8.75
110200,103903,676.25
110200,103918,11.25
110200,103928,706.25
110200,103954,16.25
110200,103973,1292.5
110200,103978,3.75
110200,110166,41.25
110200,110205,15815.0
110200,110240,15.0
110200,110441,526.25
110200,124583,19865.0
110200,124615,5126.25
110200,168081,6.25
110200,168123,1.25
110200,200742,3133.75
110200,202075,7001.25
110200,251172,66.25
110200,251175,1.25
110205,103814,9346.25
110205,103815,295.0
110205,103816,420.0
110205,103822,120.0
110205,103827,353.75
110205,103843,162.5
110205,103849,32.5
110205,103867,267.5
110205,103868,1092.5
110205,103872,3058.75
110205,103874,521.25
110205,103890,18758.75
110205,103896,13672.5
110205,103903,23578.75
110205,103918,1912.5
110205,103928,13305.0
110205,103954,3748.75
110205,103973,29131.25
110205,103978,7336.25
110205,110166,5708.75
110205,110173,26.25
110205,110174,3851.25
110205,110200,14285.0
110205,110211,108.75
110205,110213,77.5
110205,110240,23.75
110205,110241,11.25
110205,110441,341.25
110205,124583,1973.75
110205,124615,14216.25
110205,168081,7.5
110205,168123,1865.0
110205,200742,587.5
110205,202075,20572.5
110205,251172,3748.75
110205,251175,1501.25
110211,103814,1.25
110211,103816,0.0
110211,103817,81.25
110211,103822,458.75
110211,103843,31.25
110211,103849,672.5
110211,103867,2.5
110211,103868,131.25
110211,103874,360.0
110211,103890,125.0
110211,103903,8.75
110211,103973,1.25
110211,103978,3.75
110211,110173,192.5
110211,110174,93.75
110211,110213,1417.5
110211,110240,783.75
110211,110241,1453.75
110211,110441,285.0
110211,124583,81.25
110211,124615,2442.5
110211,168081,7.5
110211,200742,7383.75
110211,202075,1.25
110211,251172,31578.75
110211,251175,13972.5
110213,103814,257.5
110213,103815,1.25
110213,103816,1091.25
110213,103817,14200.0
110213,103822,6701.25
110213,103827,5.0
110213,103843,775.0
110213,103849,1726.25
110213,103867,22562.5
110213,103868,23137.5
110213,103872,5993.75
110213,103874,15.0
110213,103890,12.5
110213,103903,1837.5
110213,103918,2971.25
110213,103954,11.25
110213,103973,10552.5
110213,103978,12001.25
110213,110173,9888.75
110213,110174,12.5
110213,110211,3090.0
110213,110241,26097.5
110213,110441,262.5
110213,124583,10.0
110213,124615,198.75
110213,168081,255.0
110213,168123,10695.0
110213,200742,145220.0
110213,202075,6.25
110213,251172,11620.0
110213,251175,27956.25
110222,202073,65788.75
110240,103874,87.5
110240,110173,16096.25
110240,110174,56.25
110240,110200,25.0
110240,110205,175.0
110240,110211,540.0
