origin,destination,volume
103449,103623,2272.5
103449,103653,638.75
103449,103669,1607.5
103449,103759,342.5
103449,103806,441.25
103449,124890,31.25
103449,200694,565.0
103449,250755,18.75
103623,103449,7015.0
103623,103653,180.0
103623,103669,3595.0
103623,103720,2542.5
103623,103759,2500.0
103623,103781,105.0
103623,103797,2828.75
103623,103806,14907.5
103623,198653,961.25
103623,198696,292.5
103623,198710,7992.5
103623,198861,5306.25
103623,200551,186288.75
103623,200605,39256.25
103623,200651,2470.0
103623,200655,2478.75
103623,200687,5080.0
103623,200694,37802.5
103623,200714,2438.75
103623,250755,4506.25
103653,103449,1806.25
103653,103623,417.5
103653,103669,532.5
103653,103720,277.5
103653,103759,268.75
103653,103781,483.75
103653,103797,4126.25
103653,103806,298.75
103653,198653,237.5
103653,198696,237.5
103653,198710,855.0
103653,198861,582.5
103653,200551,79846.25
103653,200605,50142.5
103653,200651,270.0
103653,200655,278.75
103653,200687,576.25
103653,200694,5167.5
103653,200714,283.75
103653,250755,543.75
103669,103449,718.75
103669,103623,1768.75
103669,103653,193.75
103669,103759,273.75
103669,103806,703.75
103669,124890,33.75
103669,200694,898.75
103720,103623,987.5
103720,103653,100.0
103720,103781,56.25
103720,103806,431.25
103720,200694,430.0
103759,103449,0.0
103759,103623,1006.25
103759,103653,97.5
103759,103669,47.5
103759,103806,358.75
103759,124890,16.25
103759,200694,473.75
103781,103623,158.75
103781,103653,133.75
103781,103720,230.0
103781,103806,3178.75
103781,198653,5387.5
103781,198696,2595.0
103781,198710,651.25
103781,198861,326.25
103781,200605,96.25
103781,200651,110.0
103781,200655,106.25
103781,200687,338.75
103781,200694,313.75
103781,200714,87.5
103797,103623,1162.5
103797,103653,1685.0
103797,103806,693.75
103797,200694,308.75
103806,103449,586.25
103806,103623,11975.0
103806,103653,108.75
103806,103669,672.5
103806,103720,445.0
103806,103759,358.75
103806,103781,4905.0
103806,103797,647.5
103806,198653,375.0
103806,198696,471.25
103806,198710,1650.0
103806,198861,1245.0
103806,200551,14687.5
103806,200605,20421.25
103806,200651,380.0
103806,200655,403.75
103806,200687,1141.25
103806,200694,386.25
103806,200714,415.0
103806,250755,745.0
124890,103449,10.0
124890,103669,22.5
124890,103759,11.25
124890,200605,621.25
124890,200651,95.0
124890,200655,87.5
124890,200694,2852.5
124890,200714,67.5
124890,250755,1065.0
198653,103623,226.25
198653,103653,95.0
198653,103781,1010.0
198653,103806,383.75
198653,198696,115.0
198696,103623,232.5
198696,103653,97.5
198696,103781,891.25
198696,103806,532.5
198696,198653,8.75
198696,200694,242.5
198710,103623,3098.75
198710,103653,313.75
198710,103781,136.25
198710,103806,1758.75
198710,200694,705.0
198861,103623,2020.0
198861,103653,212.5
198861,103781,61.25
198861,103806,1262.5
198861,200694,445.0
200551,103623,317566.25
200551,103653,173902.5
200551,103806,34092.5
200551,200651,6.25
200551,200694,13478.75
200605,103623,78683.75
200605,103653,44645.0
200605,103720,311.25
200605,103781,292.5
200605,103797,398.75
200605,103806,8941.25
200605,124890,3346.25
200605,198696,288.75
200605,198710,852.5
200605,198861,423.75
200605,200651,341.25
200605,200655,333.75
200605,200687,458.75
200605,200694,570.0
200605,200714,153.75
200605,250755,638.75
200651,103623,990.0
200651,103653,95.0
200651,103781,31.25
200651,103806,360.0
200651,124890,6.25
200651,200605,1.25
200651,200694,521.25
200655,103623,977.5
200655,103653,98.75
200655,103781,30.0
200655,103806,378.75
200655,124890,5.0
200655,200605,1.25
200655,200694,516.25
200687,103623,1955.0
200687,103653,205.0
200687,103781,60.0
200687,103806,1093.75
200687,200694,691.25
200694,103449,771.25
200694,103623,62501.25
200694,103653,3405.0
200694,103669,845.0
200694,103720,446.25
200694,103759,471.25
200694,103781,263.75
200694,103797,491.25
200694,103806,391.25
200694,124890,4340.0
200694,198696,260.0
200694,198710,811.25
200694,198861,672.5
200694,200551,5990.0
200694,200605,347.5
200694,200651,552.5
200694,200655,557.5
200694,200687,935.0
200694,200714,801.25
200694,250755,951.25
200714,103623,938.75
200714,103653,100.0
200714,103781,22.5
200714,103806,402.5
200714,124890,3.75
200714,200694,531.25
250755,103623,1903.75
250755,103653,195.0
250755,103806,745.0
250755,124890,220.0
250755,200605,0.0
250755,200694,943.75
