origin,destination,volume
113896,117188,7426.25
113896,117271,262482.5
113896,124551,215266.25
117141,252083,1898.75
117151,121109,7626.25
117151,121274,2250.0
117151,121311,237.5
117151,201893,216.25
117151,250726,216.25
117151,252057,1453.75
117155,117141,8.75
117155,117165,156.25
117155,121274,268.75
117155,160856,156.25
117155,160864,481.25
117155,162143,156.25
117155,252057,603.75
117165,121274,413.75
117165,252057,603.75
117165,252083,291.25
117188,113896,206.25
117188,117271,1027.5
117188,124551,72.5
117212,121182,200.0
117212,121274,962.5
117212,252057,1211.25
117212,252083,246.25
117236,121182,136.25
117236,121274,562.5
117236,252057,607.5
117236,252083,2.5
117245,121274,436.25
117245,252057,603.75
117245,252083,268.75
117271,113896,270216.25
117271,117188,2627.5
117272,121182,596.25
117272,121274,1492.5
117272,252057,1835.0
117272,252083,7.5
121069,121182,201.25
121069,121274,500.0
121069,252057,606.25
121069,252083,2.5
121109,117151,202.5
121109,121274,498.75
121109,252057,605.0
121130,121274,417.5
121130,252057,603.75
121130,252083,286.25
121182,117212,7533.75
121182,117236,3941.25
121182,117245,127.5
121182,117272,22096.25
121182,121069,7390.0
121182,121130,21.25
121182,121278,36736.25
121182,121311,147.5
121182,160856,127.5
121182,160858,21.25
121182,160864,378.75
121182,161654,36833.75
121182,162143,6963.75
121182,162850,883.75
121182,162860,26.25
121182,162861,126.25
121182,162866,21.25
121182,163360,29515.0
121182,185480,13.75
121182,250732,235661.25
121182,250772,7383.75
121182,250774,15557.5
121182,250775,7351.25
121182,250776,7380.0
121274,117141,375.0
121274,117151,9460.0
121274,117155,1711.25
121274,117165,1437.5
121274,117212,7433.75
121274,117236,7568.75
121274,117245,2398.75
121274,117272,12455.0
121274,121069,4145.0
121274,121109,4160.0
121274,121130,1565.0
121274,121278,20763.75
121274,121311,22938.75
121274,160261,625.0
121274,160856,2397.5
121274,160858,1643.75
121274,160864,7166.25
121274,161654,20750.0
121274,162037,625.0
121274,162143,4118.75
121274,162850,13300.0
121274,162860,192.5
121274,162861,1908.75
121274,162866,721.25
121274,163360,16580.0
121274,185480,222.5
121274,201893,11496.25
121274,250726,11505.0
121274,250732,135611.25
121274,250772,4143.75
121274,250774,8996.25
121274,250775,4151.25
121274,250776,4143.75
121274,252057,88595.0
121274,252083,505.0
121278,121182,990.0
121278,121274,2478.75
121278,252057,3078.75
121278,252083,12.5
121311,121274,1391.25
121311,252057,1097.5
124551,113896,206312.5
124551,117188,2200.0
160261,121274,256.25
160261,162022,450.0
160261,252057,603.75
160856,121274,433.75
160856,252057,605.0
160856,252083,268.75
160858,121274,417.5
160858,252057,603.75
160858,252083,286.25
160864,121274,1295.0
160864,252057,1816.25
160864,252083,810.0
161654,121182,993.75
161654,121274,2477.5
161654,252057,3065.0
161654,252083,12.5
162022,160261,10400.0
162022,162037,10530.0
162022,162850,66576.25
162022,162860,2867.5
162022,162861,9495.0
162022,162866,10847.5
162037,121274,256.25
162037,162022,775.0
162037,252057,603.75
162037,252081,3.75
162143,121182,196.25
162143,121274,498.75
162143,252057,606.25
162143,252083,7.5
162850,121274,2948.75
162850,162022,1988.75
162850,252057,4226.25
162861,121274,421.25
162861,162022,281.25
162861,252057,606.25
162866,121274,267.5
162866,162022,436.25
162866,252057,603.75
163360,121182,801.25
163360,121274,1990.0
163360,252057,2435.0
163360,252083,10.0
201893,121274,692.5
201893,252057,618.75
250726,121274,695.0
250726,252057,415.0
250732,121182,6131.25
250732,121274,15335.0
250732,252057,19137.5
250732,252083,77.5
250772,121182,200.0
250772,121274,496.25
250772,252057,608.75
250772,252083,2.5
250774,121182,397.5
250774,121274,990.0
250774,252057,1226.25
250774,252083,5.0
250775,121182,198.75
250775,121274,495.0
250775,252057,615.0
250775,252083,2.5
250776,121182,198.75
250776,121274,495.0
250776,252057,612.5
250776,252083,2.5
252057,117151,528.75
252057,117155,400.0
252057,117165,447.5
252057,117212,930.0
252057,117236,485.0
252057,117245,463.75
252057,117272,1405.0
252057,121069,465.0
252057,121109,467.5
252057,121130,461.25
252057,121274,29088.75
252057,121278,2392.5
252057,121311,910.0
252057,160261,395.0
252057,160856,463.75
252057,160858,461.25
252057,160864,1386.25
252057,161654,2348.75
252057,162037,396.25
252057,162143,465.0
252057,162850,3190.0
252057,162861,461.25
252057,162866,447.5
252057,163360,1868.75
252057,201893,505.0
252057,250726,445.0
252057,250732,14951.25
252057,250772,466.25
252057,250774,937.5
252057,250775,475.0
252057,250776,466.25
252057,252083,398.75
252081,160261,846.25
252081,160858,160.0
252081,162037,695.0
252081,162850,1565.0
252081,162861,217.5
252081,162866,217.5
252083,117141,9361.25
252083,117155,171.25
252083,117165,10211.25
252083,117212,8620.0
252083,117236,253.75
252083,117245,9266.25
252083,117272,781.25
252083,121069,262.5
252083,121130,10213.75
252083,121274,242.5
252083,121278,1252.5
252083,121311,146.25
252083,160856,9110.0
252083,160858,9971.25
252083,160864,27345.0
252083,161654,1305.0
252083,162143,558.75
252083,162850,306.25
252083,162861,45.0
252083,163360,1053.75
252083,185480,1307.5
252083,250732,8180.0
252083,250772,266.25
252083,250774,548.75
252083,250775,260.0
252083,250776,266.25
252083,252057,603.75
