origin,destination,volume
100697,118008,1.25
100697,118533,1.25
100697,118555,1.25
100697,118587,16.25
100697,118600,1.25
100697,118669,0.0
100697,122126,6.25
100697,198485,2.5
100697,198508,2.5
100697,198527,3.75
100697,200320,6.25
101826,118011,3151.25
101826,118533,553.75
101826,118555,492.5
101826,118572,3713.75
101826,118587,2350.0
101826,118600,1047.5
101826,118621,598.75
101826,118669,200.0
101826,118678,67.5
101826,121784,1958.75
101826,121798,1985.0
101826,122012,2540.0
101826,122023,718.75
101826,122126,2251.25
101826,180002,216.25
101826,198485,1023.75
101826,198508,682.5
101826,198522,0.0
101826,198527,1053.75
101826,198565,82.5
101826,198588,306.25
101826,198635,3785.0
101826,200320,1771.25
101838,118011,8907.5
101838,118533,3548.75
101838,118555,3055.0
101838,118572,8975.0
101838,118587,17421.25
101838,118600,5572.5
101838,118669,1420.0
101838,118678,315.0
101838,122012,1062.5
101838,122126,15195.0
101838,180002,1451.25
101838,198485,6656.25
101838,198508,4305.0
101838,198522,3.75
101838,198527,6982.5
101838,198565,438.75
101838,198588,137.5
101838,200320,13737.5
118008,118555,7738.75
118008,118572,80223.75
118008,118587,70343.75
118008,118669,8126.25
118008,118678,3737.5
118008,122126,90195.0
118008,198485,25225.0
118008,198508,13111.25
118008,198522,7.5
118008,198527,3755.0
118011,101826,181.25
118011,101838,5233.75
118011,118533,13182.5
118011,118600,24860.0
118011,118621,610.0
118011,122012,8166.25
118011,122023,445.0
118011,180002,3661.25
118011,198527,9360.0
118011,198565,1195.0
118011,198588,700.0
118011,198635,1467.5
118011,200320,25437.5
118011,200386,3932.5
118011,201083,60.0
118011,250509,1630.0
118533,100697,0.0
118533,101826,203.75
118533,101838,4210.0
118533,118011,12483.75
118533,118555,8646.25
118533,118572,11378.75
118533,118587,38716.25
118533,118600,52468.75
118533,118621,506.25
118533,118669,1027.5
118533,118678,1313.75
118533,121798,296.25
118533,121807,40.0
118533,122012,30208.75
118533,122023,243.75
118533,122126,135457.5
118533,180002,92756.25
118533,198485,105015.0
118533,198508,43740.0
118533,198522,23.75
118533,198527,20400.0
118533,198565,32107.5
118533,198588,10355.0
118533,198635,355.0
118533,200320,44152.5
118533,200386,7.5
118533,201083,50.0
118533,250509,725.0
118555,100697,1.25
118555,101826,357.5
118555,101838,6908.75
118555,118008,16422.5
118555,118533,39990.0
118555,118572,34532.5
118555,118587,183082.5
118555,118600,2375.0
118555,118621,36.25
118555,118669,36743.75
118555,121784,662.5
118555,121798,226.25
118555,121807,47.5
118555,122012,1457.5
118555,122023,16.25
118555,122126,71118.75
118555,180002,11735.0
118555,198485,231973.75
118555,198508,38763.75
118555,198522,1992.5
118555,198527,13945.0
118555,198565,10546.25
118555,198588,666.25
118555,198635,18.75
118555,200320,86802.5
118555,201083,66.25
118555,250509,592.5
118572,101826,1068.75
118572,101838,31236.25
118572,118008,196375.0
118572,118533,21233.75
118572,118555,27116.25
118572,118587,259458.75
118572,118600,29821.25
118572,118621,1018.75
118572,118669,18753.75
118572,122012,9947.5
118572,122023,991.25
118572,122126,177206.25
118572,180002,7365.0
118572,198485,71705.0
118572,198508,41197.5
118572,198522,6.25
118572,198527,42393.75
118572,198565,1672.5
118572,198588,920.0
118572,198635,9548.75
118572,200320,84400.0
118572,200386,19560.0
118572,201083,825.0
118587,100697,25.0
118587,101826,1500.0
118587,101838,53141.25
118587,118008,97428.75
118587,118533,37463.75
118587,118555,229180.0
118587,118572,221207.5
118587,118600,56773.75
118587,118621,342.5
118587,118669,143786.25
118587,122012,18212.5
118587,122023,131.25
118587,122126,205446.25
118587,180002,63340.0
118587,198485,196986.25
118587,198508,52501.25
118587,198522,5077.5
118587,198527,49695.0
118587,198565,36927.5
118587,198588,4532.5
118587,198635,290.0
118587,200320,126693.75
118587,200386,58.75
118587,201083,756.25
118587,250509,2107.5
118600,100697,3.75
118600,101826,736.25
118600,101838,11096.25
118600,118011,49298.75
118600,118533,24138.75
118600,118555,2887.5
118600,118572,35881.25
118600,118587,85915.0
118600,118621,1070.0
118600,118669,1357.5
118600,118678,3618.75
118600,121784,826.25
118600,121798,701.25
118600,122012,109983.75
118600,122023,516.25
118600,122126,116972.5
118600,180002,24436.25
118600,198485,67618.75
118600,198508,30068.75
118600,198522,3.75
118600,198527,4430.0
118600,198565,13791.25
118600,198588,17098.75
118600,198635,1493.75
118600,200320,26556.25
118600,200386,21.25
118600,201083,131.25
118600,250509,1481.25
118621,101826,1412.5
118621,118011,1717.5
118621,118533,3832.5
118621,118555,50.0
118621,118572,1571.25
118621,118587,767.5
118621,118600,1661.25
118621,118669,6.25
118621,118678,55.0
118621,121784,630.0
118621,121798,85.0
118621,121807,20.0
118621,122012,60246.25
118621,122023,59537.5
118621,122126,2852.5
118621,180002,3488.75
118621,198485,562.5
118621,198508,722.5
118621,198527,306.25
118621,198565,15058.75
118621,198588,32171.25
118621,198635,43188.75
118621,200320,18046.25
118621,200386,44850.0
118621,201083,22.5
118621,250509,130.0
118669,100697,1.25
118669,101826,122.5
118669,101838,3318.75
118669,118008,8453.75
118669,118533,13152.5
118669,118555,71777.5
118669,118572,14320.0
118669,118587,105786.25
118669,118600,2246.25
118669,118621,7.5
118669,118678,495.0
118669,122012,643.75
118669,122023,3.75
118669,122126,162390.0
118669,180002,2002.5
118669,198485,34090.0
