origin,destination,volume
100054,106302,8748.75
100054,106331,7045.0
100054,106335,9643.75
100054,106347,83136.25
100054,106583,38412.5
100054,251188,2462.5
100054,251851,13372.5
100054,251853,33193.75
100054,261304,23168.75
105060,110141,106105.0
106302,100054,14046.25
106302,106331,17845.0
106302,106335,11095.0
106302,106347,81942.5
106302,106583,19792.5
106302,106632,191627.5
106302,110140,55673.75
106302,251188,69597.5
106302,251851,1096.25
106302,251853,153883.75
106302,261304,560.0
106331,100054,10423.75
106331,106302,12307.5
106331,106335,12202.5
106331,106347,20423.75
106331,106583,9496.25
106331,106632,7786.25
106331,251188,4837.5
106331,251851,6568.75
106331,251853,22323.75
106331,261304,380.0
106335,100054,12043.75
106335,106302,16682.5
106335,106331,22385.0
106335,106347,117933.75
106335,106583,81041.25
106335,106632,44801.25
106335,251188,20340.0
106335,251851,45767.5
106335,251853,131361.25
106335,261304,2188.75
106347,100054,110122.5
106347,106302,98627.5
106347,106331,39030.0
106347,106335,63222.5
106347,106583,116726.25
106347,106632,113915.0
106347,110140,4796.25
106347,251188,45083.75
106347,251851,94761.25
106347,251853,214520.0
106347,261304,2185.0
106583,100054,22822.5
106583,106302,15226.25
106583,106331,5840.0
106583,106335,20125.0
106583,106347,94876.25
106583,251851,61473.75
106583,251853,50672.5
106632,106302,154993.75
106632,106331,4650.0
106632,106335,12057.5
106632,106347,98855.0
106632,110140,195086.25
106632,251188,23765.0
106632,251853,25851.25
110140,106302,64276.25
110140,106347,3208.75
110140,106632,195251.25
110140,251188,4541.25
110141,105060,126955.0
251188,100054,5097.5
251188,106302,71710.0
251188,106331,5563.75
251188,106335,8788.75
251188,106347,48857.5
251188,106632,48525.0
251188,110140,5337.5
251188,251853,295865.0
251851,100054,12887.5
251851,106302,5358.75
251851,106331,6621.25
251851,106335,13727.5
251851,106347,130803.75
251851,106583,82072.5
251851,251853,452967.5
251851,261304,961.25
251853,100054,23498.75
251853,106302,115882.5
251853,106331,10372.5
251853,106335,36510.0
251853,106347,171633.75
251853,106583,118037.5
251853,106632,49870.0
251853,251188,163496.25
251853,251851,312803.75
251853,261304,1867.5
261304,100054,15285.0
261304,106302,993.75
261304,106331,356.25
261304,106335,792.5
261304,106347,3602.5
261304,251851,2652.5
261304,251853,1911.25
