origin,destination,volume
104181,130000,488.75
104181,148953,2072.5
104181,148956,1996.25
104181,149517,108.75
104181,149825,421.25
104181,150438,1326.25
104181,150442,1650.0
104181,150855,995.0
104181,200399,2390.0
104181,200441,6841.25
104181,200442,1931.25
104181,200486,530.0
104181,200513,576.25
104181,200522,461.25
104181,201122,1187.5
104181,201143,3320.0
104181,201187,3783.75
104181,201200,2567.5
104181,201223,218.75
104181,201243,592.5
104181,201447,2021.25
104181,201488,1977.5
104181,201495,6737.5
104181,201507,1147.5
104181,201541,1171.25
104181,201547,3295.0
104181,201559,237.5
104181,201607,2152.5
104181,201632,5145.0
104181,201706,18895.0
104181,201732,796.25
104181,201762,1075.0
104181,201825,1198.75
104181,201827,827.5
104181,250706,238.75
104181,250707,768.75
104181,261752,30.0
130000,104181,265.0
130000,200491,11.25
130000,252091,20.0
148953,104181,1167.5
148953,148956,55.0
148953,200491,53.75
148953,252091,95.0
148956,104181,1110.0
148956,149825,37.5
148956,200491,63.75
148956,252091,111.25
149517,104181,55.0
149517,148956,2.5
149517,200491,3.75
149517,252091,6.25
149825,104181,212.5
149825,148956,53.75
149825,200491,13.75
149825,252091,22.5
150438,104181,868.75
150438,200491,45.0
150438,252091,83.75
150442,104181,1073.75
150442,200491,50.0
150442,252091,92.5
150855,104181,628.75
150855,200491,22.5
150855,252091,41.25
200399,104181,1605.0
200399,200491,68.75
200399,252091,83.75
200441,104181,4887.5
200441,200491,186.25
200441,252091,231.25
200442,104181,1336.25
200442,200491,60.0
200442,252091,73.75
200486,104181,355.0
200486,200491,17.5
200486,252091,21.25
200491,130000,6.25
200491,148953,26.25
200491,148956,197.5
200491,149517,1.25
200491,149825,5.0
200491,150438,23.75
200491,150442,26.25
200491,150855,12.5
200491,200399,37.5
200491,200441,103.75
200491,200442,32.5
200491,200486,10.0
200491,200522,11.25
200491,201122,16.25
200491,201143,4677.5
200491,201187,60.0
200491,201200,35.0
200491,201223,3.75
200491,201243,11.25
200491,201447,36.25
200491,201488,31.25
200491,201495,108.75
200491,201507,21.25
200491,201541,21.25
200491,201547,58.75
200491,201559,5.0
200491,201607,42.5
200491,201632,97.5
200491,201706,343.75
200491,201732,17.5
200491,201762,17.5
200491,201825,16.25
200491,201827,12.5
200491,250706,3.75
200491,250707,10.0
200491,252091,13132.5
200513,104181,413.75
200513,252091,36.25
200522,104181,321.25
200522,200491,18.75
200522,252091,16.25
201122,104181,782.5
201122,200491,31.25
201122,252091,57.5
201143,104181,2241.25
201143,200491,1910.0
201143,252091,125.0
201187,104181,2577.5
201187,200491,112.5
201187,252091,136.25
201200,104181,1745.0
201200,200491,65.0
201200,252091,120.0
201223,104181,130.0
201223,200491,7.5
201223,252091,12.5
201243,104181,376.25
201243,200491,22.5
201243,252091,37.5
201447,104181,1353.75
201447,200491,67.5
201447,252091,95.0
201488,104181,1353.75
201488,200491,56.25
201488,252091,105.0
201495,104181,4812.5
201495,200491,193.75
201495,252091,365.0
201507,104181,745.0
201507,200491,42.5
201507,252091,72.5
201541,104181,802.5
201541,200491,37.5
201541,252091,46.25
201547,104181,2353.75
201547,200491,106.25
201547,252091,163.75
201559,104181,163.75
201559,200491,10.0
201559,252091,17.5
201607,104181,1453.75
201607,200491,82.5
201607,252091,145.0
201632,104181,3725.0
201632,200491,168.75
201632,252091,321.25
201706,104181,14061.25
201706,200491,590.0
201706,252091,1130.0
201732,104181,573.75
201732,200491,30.0
201732,252091,45.0
201762,104181,715.0
201762,200491,32.5
201762,252091,61.25
201825,104181,778.75
201825,200491,31.25
201825,252091,55.0
201827,104181,531.25
201827,200491,23.75
201827,252091,41.25
250706,104181,147.5
250706,200491,7.5
250706,252091,13.75
250707,104181,478.75
250707,200491,18.75
250707,252091,33.75
252091,130000,30.0
252091,148953,135.0
252091,148956,152.5
252091,149517,7.5
252091,149825,32.5
252091,150438,110.0
252091,150442,125.0
252091,150855,57.5
252091,200399,127.5
252091,200441,346.25
252091,200442,112.5
252091,200486,33.75
252091,200491,9253.75
252091,200513,53.75
252091,200522,28.75
252091,201122,77.5
252091,201143,158.75
252091,201187,206.25
252091,201200,165.0
252091,201223,16.25
252091,201243,53.75
252091,201447,135.0
252091,201488,145.0
252091,201495,501.25
252091,201507,102.5
252091,201541,72.5
252091,201547,228.75
252091,201559,25.0
252091,201607,202.5
252091,201632,446.25
252091,201706,1583.75
252091,201732,66.25
252091,201762,81.25
252091,201825,78.75
252091,201827,58.75
252091,250706,18.75
252091,250707,46.25
252091,261752,1.25
261752,104181,13.75
261752,148956,1.25
261752,200491,1.25
261752,252091,1.25
