origin,destination,volume
110273,110312,55.0
110273,117137,35.0
110273,117183,297.5
110273,117313,31.25
110273,162651,55.0
110312,110273,7.5
110312,110318,1122.5
110312,113929,33.75
110312,113989,17.5
110312,117137,1086.25
110312,117183,8892.5
110312,117313,652.5
110312,117671,10.0
110312,117675,16.25
110312,124659,1046.25
110312,124693,18.75
110312,148134,35.0
110312,150294,931.25
110312,162651,3646.25
110312,250731,2117.5
110318,110312,278.75
110318,114035,711.25
110318,114100,876.25
110318,114155,36.25
110387,113929,156.25
110387,113937,187.5
110387,113975,190.0
110387,113989,167.5
110387,114026,61.25
110387,114035,4790.0
110387,114100,13487.5
110387,114118,46.25
110387,114155,1157.5
110387,117137,8.75
110387,117183,325.0
110387,117617,47.5
110387,117627,48.75
110387,117643,48.75
110387,117669,43.75
110387,117671,45.0
110387,117675,41.25
110387,124640,241.25
110387,124693,162.5
110387,148134,302.5
110387,162023,180.0
110387,168122,452.5
110391,110401,20316.25
110391,200800,6763.75
110401,110391,21612.5
110401,200800,1403.75
110418,110387,5.0
110418,114035,1185.0
110418,114155,682.5
113919,114035,10637.5
113919,114100,1336.25
113919,114155,22.5
113919,117313,28.75
113919,124640,42.5
113929,110312,1.25
113929,110387,20.0
113929,114035,913.75
113929,114100,926.25
113929,114155,37.5
113937,110387,20.0
113937,114035,923.75
113937,114100,915.0
113937,114155,38.75
113975,110387,21.25
113975,114035,927.5
113975,114100,912.5
113975,114155,37.5
113989,110387,20.0
113989,114035,897.5
113989,114100,950.0
113989,114155,37.5
114026,110387,13.75
114026,114035,1182.5
114026,114155,708.75
114035,110318,4515.0
114035,110387,10873.75
114035,110418,6753.75
114035,113919,9616.25
114035,113929,5221.25
114035,113937,5353.75
114035,113975,5333.75
114035,113989,5162.5
114035,114026,6688.75
114035,114061,6650.0
114035,114118,1303.75
114035,114155,389718.75
114035,117137,1961.25
114035,117183,29161.25
114035,117313,941.25
114035,117617,3166.25
114035,117627,4288.75
114035,117643,4267.5
114035,117669,3010.0
114035,117671,3112.5
114035,117675,3005.0
114035,124640,70.0
114035,124659,4453.75
114035,124693,5117.5
114035,148134,7552.5
114035,150294,4420.0
114035,162023,20395.0
114035,168122,5212.5
114035,250731,8886.25
114061,114035,1156.25
114061,114155,745.0
114100,110318,3381.25
114100,110387,20495.0
114100,113919,2013.75
114100,113929,3563.75
114100,113937,3772.5
114100,113975,3671.25
114100,113989,3690.0
114100,114118,8282.5
114100,117137,5423.75
114100,117183,60295.0
114100,117313,260.0
114100,117617,6010.0
114100,117627,5023.75
114100,117643,4906.25
114100,117669,5910.0
114100,117671,5836.25
114100,117675,5732.5
114100,124640,2215.0
114100,124659,3172.5
114100,124693,3460.0
114100,148134,9220.0
114100,150294,3310.0
114100,162023,60571.25
114100,168122,3728.75
114100,250731,6793.75
114118,110387,10.0
114118,114035,307.5
114118,114100,1583.75
114155,110318,140.0
114155,110387,1610.0
114155,110418,2865.0
114155,113919,30.0
114155,113929,145.0
114155,113937,156.25
114155,113975,151.25
114155,113989,146.25
114155,114026,2828.75
114155,114035,401995.0
114155,114061,3131.25
114155,117627,157.5
114155,117643,152.5
114155,124659,131.25
114155,124693,137.5
114155,148134,130.0
114155,150294,133.75
114155,168122,156.25
114155,250731,280.0
117137,114035,61.25
117137,114100,146.25
117137,117675,162.5
117137,124640,230.0
117137,124659,142.5
117137,124693,137.5
117137,148134,371.25
117137,150294,167.5
117137,250731,7.5
117183,110387,10.0
117183,114035,1315.0
117183,114100,2752.5
117183,117313,17.5
117183,124640,870.0
117313,110318,6.25
117313,113929,6.25
117313,113989,5.0
117313,117183,1573.75
117313,117617,71.25
117313,117669,283.75
117313,117671,86.25
117313,124640,311.25
117313,162023,302.5
117313,250731,6.25
117617,110387,11.25
117617,114035,598.75
117617,114100,1293.75
117627,110387,10.0
117627,114035,683.75
117627,114100,1168.75
117627,114155,37.5
117643,110387,11.25
117643,114035,692.5
117643,114100,1162.5
117643,114155,37.5
117669,110387,10.0
117669,114035,568.75
117669,114100,1302.5
117669,117313,17.5
117671,110387,11.25
117671,114035,606.25
117671,114100,1285.0
117675,110387,11.25
117675,114035,600.0
117675,114100,1283.75
124640,110318,628.75
124640,110387,490.0
124640,110418,276.25
124640,113929,660.0
124640,113937,510.0
124640,113975,561.25
124640,113989,643.75
124640,114026,432.5
124640,114061,292.5
124640,114100,913.75
124640,114118,465.0
124640,117137,3405.0
124640,117183,21868.75
124640,117313,2178.75
124640,117617,571.25
124640,117627,507.5
124640,117643,567.5
124640,117669,583.75
124640,117671,657.5
124640,117675,675.0
124640,124659,647.5
124640,124693,643.75
124640,148134,1448.75
124640,150294,647.5
124640,162023,29267.5
124640,168122,465.0
124640,250731,1382.5
124659,110312,277.5
124659,114035,701.25
124659,114100,883.75
124659,114155,36.25
124693,110387,21.25
124693,114035,900.0
124693,114100,945.0
124693,114155,37.5
148134,110387,41.25
148134,114035,1485.0
148134,114100,2238.75
148134,114155,37.5
150294,110312,256.25
150294,114035,683.75
150294,114100,923.75
150294,114155,37.5
162023,114035,715.0
162023,114100,1907.5
162023,124640,1308.75
162651,110312,3.75
168122,110387,140.0
168122,114035,830.0
168122,114100,896.25
168122,114155,37.5
200800,110391,17972.5
200800,110401,2515.0
250731,110312,530.0
250731,114035,1398.75
250731,114100,1802.5
250731,114155,75.0
