origin,destination,volume
100261,100964,801.25
100261,104541,762.5
100261,114599,110850.0
100261,114616,2246.25
100261,114621,4918.75
100261,114628,807.5
100261,114647,2577.5
100261,114664,680.0
100261,114720,338.75
100261,114775,848.75
100261,114783,315.0
100261,114836,46840.0
100261,114851,345.0
100261,114964,240.0
100261,114982,547.5
100261,118764,82546.25
100261,118765,10265.0
100261,118813,18080.0
100261,118814,6590.0
100261,118827,11356.25
100261,118871,12541.25
100261,118874,8043.75
100261,118909,6445.0
100261,119008,34650.0
100261,119024,23610.0
100261,119104,1212.5
100261,119146,27333.75
100261,119162,2412.5
100261,119188,19672.5
100261,119203,145575.0
100261,119265,92713.75
100261,119287,61433.75
100261,119363,72091.25
100261,119369,71887.5
100261,119519,15987.5
100261,119536,4272.5
100261,119547,67807.5
100261,119640,660.0
100261,119682,4922.5
100261,119718,1181.25
100261,119751,9666.25
100261,119773,3461.25
100261,119826,4273.75
100261,119902,9875.0
100261,119950,14022.5
100261,120005,26265.0
100261,120078,3983.75
100261,120116,475.0
100261,120123,1690.0
100261,120133,1305.0
100261,120136,517.5
100261,120141,850.0
100261,120150,3308.75
100261,120232,663.75
100261,120236,488.75
100261,120254,768.75
100261,120327,325.0
100261,120353,945.0
100261,120377,402.5
100261,120401,102.5
100261,120454,195.0
100261,122179,40063.75
100261,122206,25757.5
100261,122283,131.25
100261,122286,82.5
100261,122327,1513.75
100261,122340,121.25
100261,122345,102.5
100261,122374,52.5
100261,170005,2675.0
100261,170007,19946.25
100261,170008,46146.25
100261,185047,266.25
100261,185048,996.25
100261,185089,376.25
100261,185102,247.5
100964,100261,237.5
100964,104541,201.25
100964,114599,2318.75
100964,114616,1486.25
100964,114621,3946.25
100964,114628,2318.75
100964,114647,13470.0
100964,114664,3756.25
100964,114720,27206.25
100964,114775,78537.5
100964,114783,593.75
100964,114836,22086.25
100964,114851,7382.5
100964,114964,6407.5
100964,114982,935.0
100964,118764,197.5
100964,118765,28.75
100964,118813,52.5
100964,118814,11.25
100964,118827,205.0
100964,118871,403.75
100964,118874,51.25
100964,118909,188.75
100964,119008,450.0
100964,119024,260.0
100964,119146,16431.25
100964,119162,48.75
100964,119188,51.25
100964,119203,343.75
100964,119265,671.25
100964,119287,97.5
100964,119363,391.25
100964,119369,250.0
100964,119519,2946.25
100964,119536,776.25
100964,119547,1488.75
100964,119640,657.5
100964,119682,5828.75
100964,119718,138.75
100964,119751,1848.75
100964,119773,398.75
100964,119826,348.75
100964,119902,1492.5
100964,119950,713.75
100964,120005,1392.5
100964,120078,2171.25
100964,120116,3003.75
100964,120123,7415.0
100964,120133,17331.25
100964,120136,10750.0
100964,120141,13460.0
100964,120150,9202.5
100964,120232,4248.75
100964,120236,7665.0
100964,120254,16436.25
100964,120327,1878.75
100964,120353,2968.75
100964,120377,81.25
100964,120401,11.25
100964,120454,0.0
100964,122179,316.25
100964,122206,111.25
100964,122283,28.75
100964,122286,6.25
100964,122327,282.5
100964,122340,13.75
100964,122345,6.25
100964,122374,3.75
100964,170005,11.25
100964,170007,983.75
100964,170008,151.25
100964,185047,115.0
100964,185048,12.5
100964,185102,116.25
104541,100261,412.5
104541,100964,553.75
104541,114599,921.25
104541,114616,237.5
104541,114621,222.5
104541,114628,33.75
104541,114647,177.5
104541,114664,52.5
104541,114720,38.75
104541,114775,242.5
104541,114783,61.25
104541,114836,27161.25
104541,114851,21.25
104541,114964,377.5
104541,114982,1936.25
104541,118764,671.25
104541,118765,82.5
104541,118813,990.0
104541,118814,527.5
104541,118827,8276.25
104541,118871,13097.5
104541,118874,7013.75
104541,118909,76430.0
104541,119008,8328.75
104541,119024,5541.25
104541,119104,521.25
104541,119146,27471.25
104541,119162,3638.75
104541,119188,216.25
104541,119203,423.75
104541,119265,7022.5
104541,119287,648.75
104541,119363,3260.0
104541,119369,1463.75
104541,119519,1100.0
104541,119536,845.0
104541,119547,2972.5
104541,119640,1340.0
104541,119682,4636.25
104541,119718,398.75
104541,119751,2148.75
104541,119773,12500.0
104541,119826,2855.0
104541,119902,6397.5
104541,119950,288.75
104541,120005,231.25
104541,120078,141.25
104541,120116,31.25
104541,120123,151.25
104541,120133,665.0
104541,120136,73.75
104541,120141,218.75
104541,120150,702.5
104541,120232,886.25
104541,120236,660.0
104541,120254,881.25
104541,120327,5998.75
104541,120353,5981.25
104541,120377,13.75
104541,120454,5.0
104541,122179,6415.0
104541,122206,907.5
104541,122283,5.0
104541,122286,2.5
104541,122327,90.0
104541,122340,5.0
104541,122345,50.0
104541,122374,6.25
104541,170005,620.0
104541,170007,9768.75
104541,170008,1156.25
104541,185047,10.0
104541,185048,27.5
104541,185089,20.0
104541,185102,15.0
114599,100261,115388.75
114599,100964,3138.75
114599,104541,1476.25
114599,114616,65557.5
114599,114621,178100.0
114599,114628,27451.25
114599,114647,106088.75
114599,114664,29461.25
114599,114720,16118.75
114599,114775,23632.5
114599,114783,8481.25
114599,114836,64103.75
114599,114851,11257.5
114599,114964,2342.5
114599,114982,4062.5
114599,118764,19006.25
114599,118765,2442.5
114599,118813,5031.25
114599,118814,2188.75
114599,118827,12651.25
114599,118871,26232.5
114599,118874,8510.0
114599,118909,12355.0
114599,119008,43188.75
114599,119024,19110.0
114599,119104,768.75
114599,119146,22153.75
114599,119162,2332.5
114599,119188,11467.5
114599,119203,147093.75
114599,119265,199542.5
114599,119287,172787.5
114599,119363,49500.0
114599,119369,29978.75
114599,119519,243680.0
114599,119536,31057.5
114599,119547,361261.25
114599,119640,4780.0
114599,119682,36385.0
114599,119718,9068.75
114599,119751,71541.25
114599,119773,16618.75
114599,119826,23112.5
114599,119902,57970.0
114599,119950,179757.5
114599,120005,172537.5
114599,120078,97278.75
114599,120116,20976.25
114599,120123,69477.5
114599,120133,18542.5
114599,120136,25832.5
114599,120141,32043.75
114599,120150,64740.0
114599,120232,5237.5
114599,120236,3811.25
114599,120254,7406.25
114599,120327,2491.25
114599,120353,6446.25
114599,120377,96.25
114599,120401,28.75
114599,120454,58.75
114599,122179,20993.75
114599,122206,10700.0
114599,122283,32.5
114599,122286,23.75
114599,122327,498.75
114599,122340,33.75
114599,122345,27.5
114599,122374,8.75
114599,170005,1708.75
114599,170007,82551.25
114599,170008,43577.5
114599,185047,86.25
114599,185048,363.75
114599,185089,118.75
114599,185102,73.75
114616,100261,1575.0
114616,100964,1916.25
114616,104541,322.5
114616,114599,61175.0
114616,114621,51467.5
114616,114628,13116.25
114616,114647,40040.0
114616,114664,12311.25
114616,114720,8242.5
114616,114775,12210.0
114616,114783,4635.0
114616,114836,29125.0
114616,114851,5560.0
114616,114964,1153.75
114616,114982,1990.0
114616,118764,611.25
114616,118765,81.25
114616,118813,171.25
114616,118814,81.25
114616,118827,1425.0
114616,118871,2717.5
114616,118874,877.5
114616,118909,1717.5
114616,119008,2862.5
114616,119024,1447.5
114616,119104,51.25
114616,119146,5577.5
114616,119162,332.5
114616,119188,317.5
114616,119203,2377.5
114616,119265,11272.5
114616,119287,4685.0
114616,119363,2208.75
114616,119369,1403.75
114616,119519,146815.0
114616,119536,15813.75
114616,119547,46022.5
114616,119640,1441.25
114616,119682,18757.5
114616,119718,4916.25
114616,119751,29948.75
114616,119773,3598.75
114616,119826,6957.5
114616,119902,22946.25
114616,119950,27770.0
114616,120005,31940.0
114616,120078,26821.25
114616,120116,13141.25
114616,120123,32017.5
114616,120133,13300.0
114616,120136,14988.75
114616,120141,19517.5
114616,120150,47175.0
114616,120232,3557.5
114616,120236,2257.5
114616,120254,3545.0
114616,120327,831.25
114616,120353,3063.75
114616,120377,1.25
114616,122179,1323.75
114616,122206,450.0
114616,122327,17.5
114616,122340,1.25
114616,170005,97.5
114616,170007,16872.5
114616,170008,912.5
114616,185047,2.5
114616,185048,6.25
114616,185089,3.75
114616,185102,3.75
114621,100261,3625.0
114621,100964,6248.75
114621,104541,318.75
114621,114599,166747.5
114621,114616,49783.75
114621,114628,62105.0
114621,114647,147132.5
114621,114720,35770.0
114621,114775,47222.5
114621,114783,15111.25
114621,114836,118718.75
114621,114851,33992.5
114621,114964,2952.5
114621,114982,2925.0
114621,118764,1093.75
114621,118765,120.0
114621,118813,236.25
114621,118814,108.75
114621,118827,1161.25
114621,118871,2621.25
114621,118874,653.75
114621,118909,1507.5
114621,119008,2447.5
114621,119024,1051.25
114621,119104,53.75
114621,119146,14077.5
114621,119162,233.75
114621,119188,616.25
114621,119203,4595.0
114621,119265,13170.0
114621,119287,10737.5
114621,119363,2838.75
114621,119369,1902.5
114621,119519,129100.0
114621,119536,11361.25
114621,119547,48821.25
114621,119640,1601.25
114621,119682,21188.75
114621,119718,2782.5
114621,119751,25762.5
114621,119773,3202.5
114621,119826,5826.25
114621,119902,17273.75
114621,119950,91921.25
114621,120005,142266.25
114621,120078,212310.0
114621,120116,53627.5
114621,120123,186103.75
114621,120133,25905.0
114621,120136,53716.25
114621,120141,73308.75
114621,120150,93961.25
114621,120232,4857.5
114621,120236,4608.75
114621,120254,10182.5
114621,120327,1162.5
114621,120353,3857.5
114621,120377,2.5
114621,120454,1.25
114621,122179,1113.75
114621,122206,691.25
114621,122283,1.25
114621,122327,22.5
114621,122340,1.25
114621,170005,123.75
114621,170007,13481.25
114621,170008,1861.25
114621,185047,3.75
114621,185048,11.25
114621,185089,3.75
114621,185102,3.75
114628,100261,1377.5
114628,100964,8447.5
114628,104541,176.25
114628,114599,71306.25
114628,114616,30541.25
114628,114621,179018.75
114628,114647,373801.25
114628,114664,2797.5
114628,114720,109611.25
114628,114775,53107.5
114628,114783,21193.75
114628,114836,456037.5
114628,114851,59268.75
114628,114964,3356.25
114628,114982,1911.25
114628,118764,420.0
114628,118765,42.5
114628,118813,87.5
114628,118814,36.25
114628,118827,566.25
114628,118871,1642.5
114628,118874,271.25
114628,118909,852.5
114628,119008,1221.25
114628,119024,537.5
114628,119104,37.5
114628,119146,33961.25
114628,119162,185.0
114628,119188,215.0
114628,119203,2098.75
114628,119265,4986.25
114628,119287,4155.0
114628,119363,1238.75
114628,119369,745.0
114628,119519,56338.75
114628,119536,4201.25
114628,119547,20042.5
114628,119640,1382.5
114628,119682,13066.25
114628,119718,1212.5
114628,119751,13860.0
114628,119773,1741.25
