origin,destination,volume
100268,106843,3833.75
100268,106882,48.75
100268,106892,542.5
100268,106940,37338.75
100268,106977,29056.25
100268,106987,34311.25
100268,106997,22972.5
100268,110970,5642.5
100268,111036,1735.0
100268,111052,17010.0
100268,111069,8693.75
100268,111077,29432.5
100268,111084,11285.0
100268,111164,20046.25
100268,111186,5267.5
100268,111208,13010.0
100268,111217,107611.25
100268,111241,883.75
100268,111243,5317.5
100268,111283,5817.5
100268,111322,3788.75
100268,111349,9627.5
100268,111359,8547.5
100268,111366,4312.5
100268,111428,768.75
100268,111442,31246.25
100268,111465,1325.0
100268,111496,920.0
100268,111529,17952.5
100268,111588,3602.5
100268,111657,64131.25
100268,111699,44516.25
100268,181083,1970.0
100268,181085,886.25
100268,195727,1261.25
100268,195913,8835.0
100268,195938,55143.75
106843,106882,2740.0
106843,106892,38586.25
106843,106987,31853.75
106843,106997,33773.75
106843,110970,100063.75
106843,111052,24755.0
106843,111069,8583.75
106843,111077,9340.0
106843,111084,14680.0
106843,111186,18321.25
106843,111208,12276.25
106843,111241,7105.0
106843,111283,23970.0
106843,111322,64456.25
106843,111359,9252.5
106843,111366,16763.75
106843,111428,22356.25
106843,111465,7177.5
106843,111588,10177.5
106843,111699,8311.25
106843,181085,6237.5
106843,195913,25452.5
106843,195938,17995.0
106882,106940,4512.5
106882,106977,1010.0
106882,110970,3290.0
106882,111036,1033.75
106882,111077,148.75
106882,111164,3915.0
106882,111186,2.5
106882,111217,1726.25
106882,111243,1710.0
106882,111322,4863.75
106882,111349,1196.25
106882,111359,1285.0
106882,111442,9787.5
106882,111471,1128.75
106882,111496,2171.25
106882,111529,5030.0
106882,111555,2750.0
106882,111657,3582.5
106882,111699,673.75
106882,181083,2996.25
106882,181085,921.25
106882,195913,1390.0
106882,195938,1247.5
106886,106892,9652.5
106886,106987,9681.25
106886,106997,7141.25
106886,110970,6052.5
106886,111052,6286.25
106886,111069,1938.75
106886,111077,2405.0
106886,111084,3500.0
106886,111186,1073.75
106886,111208,2721.25
106886,111217,413.75
106886,111241,1837.5
106886,111283,9833.75
106886,111322,2908.75
106886,111359,4038.75
106886,111366,4677.5
106886,111428,6558.75
106886,111465,1867.5
106886,111699,7827.5
106886,181085,1533.75
106886,195913,992.5
106886,195938,3028.75
106892,106940,100415.0
106892,106977,29638.75
106892,110970,71796.25
106892,111036,11476.25
106892,111077,12885.0
106892,111164,160622.5
106892,111186,2680.0
106892,111217,578035.0
106892,111243,17981.25
106892,111322,100650.0
106892,111349,32867.5
106892,111359,27065.0
106892,111442,116527.5
106892,111471,75456.25
106892,111496,36920.0
106892,111529,85928.75
106892,111555,44432.5
106892,111657,25821.25
106892,111699,21980.0
106892,181083,43320.0
106892,181085,19985.0
106892,195727,12776.25
106892,195913,25952.5
106892,195938,81890.0
106940,106987,76606.25
106940,106997,102835.0
106940,110970,59698.75
106940,111052,36120.0
106940,111069,36867.5
106940,111077,93150.0
106940,111084,11502.5
106940,111186,36712.5
106940,111208,95355.0
106940,111217,96143.75
106940,111241,10208.75
106940,111283,65031.25
106940,111322,63165.0
106940,111359,23785.0
106940,111366,22707.5
106940,111428,40957.5
106940,111465,8780.0
106940,111551,6468.75
106940,111588,28625.0
106940,111699,252730.0
106940,181083,12120.0
106940,181085,8076.25
106940,195913,57.5
106940,195938,31532.5
106977,106987,85917.5
106977,106997,213276.25
106977,110970,55463.75
106977,111052,245775.0
106977,111069,52452.5
106977,111077,180960.0
106977,111084,62558.75
106977,111186,11708.75
106977,111208,81287.5
106977,111217,33200.0
106977,111241,16318.75
106977,111283,116286.25
106977,111322,563862.5
106977,111359,37887.5
106977,111366,22665.0
106977,111428,14071.25
106977,111465,13373.75
106977,111551,11387.5
106977,111588,29986.25
106977,111699,28508.75
106977,181083,51.25
106977,181085,8281.25
106977,195938,284398.75
106987,110970,42541.25
106987,111036,10587.5
106987,111077,14925.0
106987,111164,51451.25
106987,111186,718.75
106987,111217,132703.75
106987,111243,18712.5
106987,111322,63046.25
106987,111349,14470.0
106987,111359,14551.25
106987,111442,104997.5
106987,111471,46806.25
106987,111496,24545.0
106987,111529,35052.5
106987,111555,73333.75
106987,111657,31645.0
106987,111699,15216.25
106987,181083,40416.25
106987,181085,10965.0
106987,195727,12766.25
106987,195913,16971.25
106987,195938,87047.5
106997,110970,58017.5
106997,111036,16580.0
106997,111077,79380.0
106997,111164,138513.75
106997,111186,1092.5
106997,111217,241708.75
106997,111243,20548.75
106997,111322,111731.25
106997,111349,24622.5
106997,111359,14591.25
106997,111442,266782.5
106997,111471,153330.0
106997,111496,44980.0
106997,111529,113162.5
106997,111555,31165.0
106997,111657,168097.5
106997,111699,51245.0
106997,181083,58777.5
106997,181085,19325.0
106997,195727,10060.0
106997,195913,104886.25
106997,195938,466176.25
110970,111052,58440.0
110970,111069,24882.5
110970,111077,84653.75
110970,111164,40531.25
110970,111186,79796.25
110970,111208,24123.75
110970,111217,16133.75
110970,111243,19756.25
110970,111283,89313.75
110970,111322,128676.25
110970,111359,273820.0
110970,111366,59475.0
110970,111428,26065.0
110970,111442,185510.0
110970,111465,4496.25
110970,111471,62915.0
110970,111496,18888.75
110970,111529,90785.0
110970,111551,1907.5
110970,111555,17916.25
110970,111588,35286.25
110970,111657,26727.5
110970,111699,45290.0
110970,181083,64785.0
110970,181085,11578.75
110970,195727,10071.25
110970,195913,112102.5
110970,195938,256641.25
111036,111052,7771.25
111036,111069,10022.5
111036,111186,14757.5
111036,111208,3961.25
111036,111283,7210.0
111036,111322,12387.5
111036,111359,3093.75
111036,111366,6302.5
111036,111428,10346.25
111036,111465,2770.0
111036,111471,25073.75
111036,111551,1322.5
111036,111588,4497.5
111036,111699,3228.75
111036,181083,3288.75
111036,181085,2240.0
111036,195913,22686.25
111036,195938,19638.75
111052,111077,31378.75
111052,111164,81761.25
111052,111186,222220.0
111052,111217,95226.25
111052,111243,33228.75
111052,111322,92233.75
111052,111349,20658.75
111052,111359,21340.0
111052,111442,457938.75
111052,111471,264152.5
111052,111496,50490.0
111052,111529,51985.0
111052,111555,11966.25
111052,111657,27818.75
111052,111699,71658.75
111052,181083,121158.75
111052,181085,11191.25
111052,195727,8852.5
111052,195913,247615.0
111052,195938,457706.25
111069,111077,22475.0
111069,111164,89070.0
111069,111186,58050.0
111069,111217,12471.25
111069,111243,3031.25
111069,111322,29242.5
111069,111359,3358.75
111069,111442,119937.5
111069,111471,61083.75
111069,111496,8235.0
111069,111529,16537.5
111069,111555,5477.5
111069,111657,8830.0
111069,111699,14910.0
111069,181083,32321.25
111069,181085,2872.5
111069,195727,3072.5
111069,195913,89516.25
111069,195938,286548.75
111077,111084,22957.5
111077,111164,155112.5
111077,111186,430770.0
111077,111208,30177.5
111077,111217,41536.25
111077,111241,5356.25
111077,111243,22115.0
111077,111283,41902.5
111077,111322,109135.0
111077,111359,15140.0
111077,111366,7795.0
111077,111428,6020.0
111077,111442,284736.25
111077,111465,8520.0
111077,111471,283740.0
111077,111496,39798.75
111077,111529,55142.5
111077,111551,3348.75
111077,111555,37922.5
111077,111588,9575.0
111077,111657,14622.5
111077,111699,78952.5
111077,181083,165171.25
111077,181085,15138.75
111077,195727,4136.25
111077,195913,449588.75
111077,195938,358097.5
111084,111164,45692.5
111084,111186,70463.75
111084,111217,13100.0
111084,111322,80686.25
111084,111442,64426.25
111084,111471,37891.25
111084,111496,7440.0
111084,111529,17593.75
111084,111555,8182.5
111084,111657,16765.0
111084,111699,14468.75
111084,181083,45207.5
111084,181085,5033.75
111084,195727,6487.5
111084,195913,66543.75
111084,195938,108417.5
111164,111186,151008.75
111164,111208,240053.75
111164,111217,19795.0
111164,111241,8950.0
111164,111283,79632.5
111164,111322,91420.0
111164,111359,20100.0
111164,111366,104670.0
111164,111428,33062.5
111164,111465,8710.0
111164,111551,5146.25
111164,111588,18508.75
111164,111699,247123.75
111164,181083,26438.75
111164,181085,7385.0
111164,195913,275.0
111164,195938,79162.5
111186,111208,93511.25
111186,111217,10211.25
111186,111241,24750.0
