origin,destination,volume
100699,100733,8708.75
100699,100746,2.5
100699,116125,12022.5
100699,116138,3337.5
100699,116173,10153.75
100699,116406,1547.5
100699,116410,1971.25
100699,116419,338.75
100699,120507,16052.5
100699,120508,3570.0
100699,120537,5775.0
100699,120553,24490.0
100699,120711,167.5
100699,197591,847431.25
100699,250480,2008.75
100722,100733,74786.25
100722,116125,17313.75
100722,116138,8051.25
100722,116173,14317.5
100722,116406,9203.75
100722,116419,1.25
100722,120507,35796.25
100722,120508,17870.0
100722,120537,11897.5
100722,120553,550.0
100722,197591,654540.0
100733,100746,212173.75
100733,116072,277422.5
100733,116138,41068.75
100733,116173,75455.0
100733,120507,78441.25
100733,120510,248360.0
100733,120553,450925.0
100733,197591,77175.0
100733,250480,746527.5
100742,116125,47.5
100742,116419,14818.75
100742,120711,15137.5
100742,250480,15087.5
100746,116072,337667.5
100746,116125,41411.25
100746,116138,36797.5
100746,116173,103.75
100746,116406,89557.5
100746,116410,5630.0
100746,116419,332255.0
100746,120507,49122.5
100746,120508,50193.75
100746,120537,113230.0
100746,120553,543.75
100746,120711,4185.0
100746,197591,15352.5
100746,250480,12668.75
116072,116125,513.75
116072,116138,97.5
116072,116406,37102.5
116072,116410,456263.75
116072,116419,275955.0
116072,120507,625.0
116072,120508,353.75
116072,120537,21911.25
116072,120553,69207.5
116072,120711,97388.75
116072,197591,8883.75
116072,250480,200255.0
116125,116138,33327.5
116125,116173,40070.0
116125,116410,58056.25
116125,120507,68643.75
116125,120553,127042.5
116125,197591,21195.0
116125,250480,104790.0
116138,116173,31013.75
116138,116406,25727.5
116138,116410,48548.75
116138,116419,83125.0
116138,120507,79327.5
116138,120508,28506.25
116138,120510,37345.0
116138,120537,57742.5
116138,120553,101000.0
116138,120711,29845.0
116138,197591,42676.25
116138,250480,70352.5
116173,116406,45655.0
116173,116419,118866.25
116173,120507,45272.5
116173,120537,111390.0
116173,120711,46607.5
116173,197591,12946.25
116406,116410,259026.25
116406,120507,49855.0
116406,120510,35683.75
116406,120553,129561.25
116406,197591,42880.0
116406,250480,292021.25
116410,116419,726030.0
116410,120507,75998.75
116410,120508,80773.75
116410,120537,195303.75
116410,120711,217103.75
116410,197591,117498.75
116419,120507,136650.0
116419,120553,595637.5
116419,197591,92825.0
116419,250480,628880.0
120507,120508,50362.5
120507,120510,110826.25
120507,120537,110233.75
120507,120553,152660.0
120507,120711,53516.25
120507,197591,92565.0
120507,250480,89108.75
120508,120510,19221.25
120508,120553,165367.5
120508,197591,52630.0
120508,250480,124926.25
120510,120537,28363.75
120510,197591,26.25
120537,120553,131527.5
120537,197591,104931.25
120537,250480,301142.5
120553,120711,206346.25
120553,197591,44450.0
120711,197591,50947.5
120711,250480,504841.25
197591,250480,42032.5
