origin,destination,volume
114176,120758,5828.75
114176,120760,21346.25
114176,120773,40822.5
114176,121547,132226.25
114176,121559,4977.5
114176,124496,65263.75
114176,124512,70837.5
114176,262292,344317.5
116582,120758,28560.0
116582,120760,67065.0
116582,120773,122476.25
116582,121547,141230.0
116582,121559,21926.25
116582,124496,118157.5
116582,124512,449192.5
116582,262292,59876.25
120758,121547,21290.0
120758,121559,81597.5
120758,124496,235281.25
120758,124510,12286.25
120758,262292,86245.0
120760,121547,21886.25
120760,121559,73410.0
120760,124496,167778.75
120760,124510,12028.75
120760,124512,7351.25
120760,262292,71865.0
120773,124510,6887.5
120773,124512,16942.5
121547,124496,62.5
121547,124510,15996.25
121547,124512,5730.0
121559,124496,6881.25
121559,124510,4621.25
121559,262292,24512.5
124496,124510,26417.5
124496,124512,104205.0
124496,262292,167107.5
124510,262292,57187.5
